# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 244168 244168 85792 244168
-1.040555996312714226e+00 -1.479004005779459112e+04 9.325360638104847055e-01 235223 243394 107552 318775
-2.118945183733051074e+00 -7.805242079501851549e+03 7.721691910460692920e-01 227546 243385 123315 339820
-3.131447772674403218e+00 -5.520168592810683549e+03 7.329505911017328290e-02 221894 243732 121638 355457
-4.197691302152049886e+00 -3.961495111497905782e+03 8.159558319882610489e-01 216720 243716 133344 354696
-5.177776480244309809e+00 -2.901754348149327143e+03 3.192620960773105421e-01 212695 243192 149189 364295
-6.078682389883144133e+00 -2.148009833634627284e+03 1.010990521158117161e-01 209006 243408 134302 379350
-7.114045584976900649e+00 -1.477481516087088039e+03 6.954268222692606694e-01 206001 243512 132636 366730
-8.129701428927537776e+00 -9.673164242438374458e+02 5.769878994474284539e-01 202405 243612 134731 364349
-9.124945163743342746e+00 -5.861473119986028451e+02 4.434340963428557991e-01 198800 242837 128237 364699
-1.016645563457154999e+01 -2.895543300581933295e+02 2.484105571621619823e-02 195425 242320 150120 358907
-1.104788686712283763e+01 -1.091679872796688215e+02 5.022703588816557208e-01 192447 241968 150398 378813
-1.197731624854555932e+01 2.410644015835364939e+01 3.783137239745215652e-02 189865 242267 133068 380605
-1.302422029422050365e+01 1.193347521565858642e+02 1.808491385907418092e-01 186639 242407 168733 366976
-1.381718510063206473e+01 1.636253775819609473e+02 3.785739961227293504e-01 184037 242601 169260 397122
-1.468013894596244029e+01 1.916075060951809235e+02 1.398590127990681220e-01 180210 242179 132779 398492
-1.577151833077955878e+01 2.107365060582332035e+02 5.844442534315446025e-01 176615 241943 133400 370237
-1.679065773183828725e+01 2.207450264925241186e+02 3.861090386401616614e-01 174801 242202 163578 369803
-1.761968700870927762e+01 2.264818474444836625e+02 1.345154504575890309e-01 173320 242659 235394 399896
-1.817749825213214621e+01 2.293993906308852502e+02 9.661287627520794841e-01 172447 243150 266754 472225
-1.877075837010006865e+01 2.320238465660022484e+02 2.965023381147983139e-01 172770 243366 307467 500566
-1.928225038492608689e+01 2.339883774383205548e+02 6.854166954113924959e-01 171524 243584 266625 532530
-1.998902506203584295e+01 2.363608382020205454e+02 1.086021393918408101e-01 170734 243200 194095 495672
-2.093022801503348163e+01 2.389195209006902587e+02 2.289197625803038871e-01 168791 242689 194949 425880
-2.172531143820193122e+01 2.405695364465815658e+02 3.971536078286029281e-01 168485 243202 203355 422872
-2.247391354852414835e+01 2.418056152939795425e+02 3.898622442757737616e-01 167216 242837 173600 429746
-2.338649459383274376e+01 2.430726772566561067e+02 3.338836587154905833e-01 167041 243126 189333 405162
-2.416279723160172210e+01 2.439044804463107425e+02 6.591028994119603190e-01 165473 243472 162042 419913
-2.511826390238558915e+01 2.447214582593114756e+02 6.583767801198526781e-01 165213 244117 142356 394921
-2.613709537010532458e+01 2.454089549034434299e+02 6.001991833425548428e-01 164146 244056 126328 377177
-2.722334731967641019e+01 2.460045307989789762e+02 8.270294526299344362e-01 162604 242933 123749 361106
-2.828836354959699406e+01 2.464702656513830163e+02 6.091117986098735226e-01 161166 242423 131494 358847
-2.929197919759585744e+01 2.468202621546799378e+02 7.555995529186863013e-01 160457 241928 126420 368980
-3.035730933772249074e+01 2.471117885929070610e+02 3.698656684731806976e-01 158811 241481 200421 361881
-3.097555667556326142e+01 2.472309426299008805e+02 6.506998841250708487e-01 158280 241740 212881 435819
-3.170889137432445182e+01 2.473527833519023034e+02 3.608426356030381976e-01 158228 242373 162167 448935
-3.272593152777571390e+01 2.474968247402152883e+02 5.157758412670753190e-01 158298 243063 210913 398889
-3.338577020513863403e+01 2.475633192157771418e+02 7.618682664315783448e-01 157505 243537 158383 448125
-3.442313604424129636e+01 2.476540780996074886e+02 2.924984263749621505e-01 157659 244720 93929 396762
-3.582385678302665610e+01 2.477463403347744588e+02 8.991728894367239100e-01 156801 245747 0 0
