# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32507 32507 12141 32236
-9.785729313335971291e-01 -1.163096332523621641e+04 1.203155992608339053e-01 29433 32328 15621 43453
-2.000055268430347866e+00 -4.367707670549298200e+03 1.906636355114887660e-01 27320 32363 17381 47448
-3.004045505740037036e+00 -2.134907167105333428e+03 7.065806345976155534e-01 25497 32268 19949 48619
-3.901216071908957250e+00 -1.050262877822138080e+03 3.386772354549735242e-01 24688 32328 19254 51786
-4.891223968407201639e+00 -2.953493071445897158e+02 2.674353010655394769e-02 23556 32353 25196 50960
-5.610646045826742423e+00 -3.745424937251868869e+01 1.553276665212725005e-01 22781 32418 29772 56553
-6.268333472111486948e+00 9.387449120535845282e+01 2.256433791640186648e-01 22342 32285 19618 60126
-7.381978803740900652e+00 1.967565927056650423e+02 2.243138947996023980e-01 21283 32433 25721 51106
-8.084373490735977441e+00 2.192828230602270878e+02 3.667520087627118563e-01 20703 32481 31293 56635
-8.695436423138589888e+00 2.310404355470201381e+02 7.383822902952077438e-01 20253 32395 37293 61889
-9.221087164699305561e+00 2.367864804394869225e+02 8.421453798755421660e-01 19732 32302 24475 67795
-1.023907644061253919e+01 2.425905526290638932e+02 8.801088412595862165e-01 18430 32076 11899 55477
-1.174075121825004864e+01 2.460591952587463425e+02 7.924324258930814935e-01 17132 32105 13663 43246
-1.288182484373486503e+01 2.470635975012064023e+02 3.167758627177609254e-01 16359 32316 14089 44837
-1.402827898497324277e+01 2.474954418320882894e+02 2.160816316313085850e-01 15466 32304 18966 45553
-1.491209275018594482e+01 2.476627030368546514e+02 9.282140001625591719e-01 14936 32298 21775 50247
-1.575726686140357380e+01 2.477521334857680131e+02 4.257156982869449435e-01 14505 32303 28558 52956
-1.639286171155435312e+01 2.477949713650839101e+02 6.740136178146746149e-01 14048 32326 32355 59671
-1.702125251180038035e+01 2.478244755220584921e+02 1.819319761457454387e-01 13710 32423 31032 63756
-1.775290204723727072e+01 2.478481710817876547e+02 8.045573321968714220e-01 13229 32437 30676 62736
-1.848031081146781318e+01 2.478660506512030111e+02 1.965639636296918624e-01 13131 32425 37083 62750
-1.902458621183850340e+01 2.478766477680975413e+02 6.272247033047175790e-01 13041 32380 40150 68800
-1.957954151008489418e+01 2.478854908053768327e+02 7.725818309837947373e-01 12927 32338 55365 71827
-1.986214270202013665e+01 2.478892836580139658e+02 8.965567613234948219e-01 12866 32387 72484 87132
-2.006592711809019391e+01 2.478915732906723974e+02 4.813865531506240220e-02 12770 32397 76319 104229
-2.039235481616614010e+01 2.478953597946357377e+02 1.222273143246756372e-01 12684 32368 86756 108048
-2.062735651538589465e+01 2.478976876686971025e+02 4.788728723634023687e-01 12469 32378 103925 118503
-2.077382755293775674e+01 2.478990600768494232e+02 4.592364714061286102e-01 12554 32422 122942 135702
-2.088619271646405551e+01 2.478999618123891651e+02 2.397013973707112500e-01 12531 32381 0 0
