# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32522 32522 9304 32522
-1.226452526694054024e+00 -6.067182571135723265e+03 9.293532687649505575e-02 27512 32440 16601 40837
-2.133432278390011039e+00 -1.654274908130440508e+03 1.818706176303127031e-01 25009 32461 20049 47766
-3.009267020840765916e+00 -5.071561176328671081e+02 8.014846246717247658e-01 22850 32506 15172 51268
-4.212858074723176749e+00 3.344786813361595534e+01 9.325717336179628614e-01 20131 32500 19076 46723
-5.114955394054818250e+00 1.595287537506773106e+02 5.830452090539688381e-01 18411 32483 17984 50310
-6.141955238500637293e+00 2.149257959218091116e+02 5.873453086664106593e-01 16586 32472 23355 49285
-6.902341256397953373e+00 2.302109085462398355e+02 3.065211891492305996e-01 15694 32510 14398 54357
-8.209673711925077555e+00 2.409131806211966023e+02 8.247402551282421168e-01 14355 32257 15394 45836
-9.294630038961940954e+00 2.443927888115857741e+02 8.170380120846506555e-01 13590 32332 23139 46588
-1.001107218965925583e+01 2.456043179769713731e+02 7.271683966837046986e-01 13235 32404 16346 53955
-1.119344554110318057e+01 2.467015923435104128e+02 5.592891242700341881e-01 12505 32499 14873 47889
-1.235141983786965092e+01 2.471843206810162030e+02 2.863917013213148621e-01 11533 32205 12325 45976
-1.364423469543945444e+01 2.474073233478901273e+02 9.719923349272541202e-02 10794 32162 16194 43656
-1.463649302937573715e+01 2.474844481045521150e+02 4.984902483845390364e-01 10597 32252 18972 47136
-1.555198708908620908e+01 2.475245722187531783e+02 9.528284426468363044e-01 10018 32167 22497 49999
-1.636151635176381447e+01 2.475450447007729338e+02 6.196428678040639682e-01 9801 32192 16546 53411
-1.752296194811740904e+01 2.475610710470455160e+02 7.781681940764346994e-02 9410 32106 21774 48001
-1.832521699908176060e+01 2.475672815161309188e+02 4.629586267695597890e-01 9236 32099 34689 53405
-1.878123687296391253e+01 2.475697952310673884e+02 9.016523088172767597e-01 8960 32228 44185 65956
-1.920268081013204764e+01 2.475714271589411624e+02 3.331533716907845166e-01 8808 32254 48190 75909
-1.967402368144175284e+01 2.475728820110950608e+02 4.728392911593619630e-01 8761 32254 54037 79762
-2.008098100034252553e+01 2.475738805112209775e+02 3.007272820914494993e-01 8532 32272 50523 85691
-2.062277282466850181e+01 2.475749112587797072e+02 1.727661481819386946e-01 8440 32264 59774 82154
-2.095929043821381654e+01 2.475753707022939238e+02 7.981455439032699717e-01 8210 32197 55849 91324
-2.146447622329789340e+01 2.475759509934042057e+02 9.724463730765929570e-02 8211 32194 48459 87407
-2.206614919904109584e+01 2.475764317728693982e+02 1.548371005714983539e-01 8007 32186 40301 80014
-2.276227680027101030e+01 2.475768375317454115e+02 9.129428083889956635e-02 7842 32312 43010 71970
-2.329340430882661295e+01 2.475770378907182021e+02 3.722926630923293345e-01 7640 32262 52095 74589
-2.367176328490649340e+01 2.475771370236744815e+02 9.765931589766552179e-01 7424 32271 0 0
