# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32869 32869 11475 32869
-1.047652952511142432e+00 -1.106848622492407958e+04 9.616744834916572948e-01 28631 32975 15419 43450
-2.081179042119023492e+00 -4.784715149533968543e+03 2.284046758173073621e-01 25615 33011 24042 47370
-2.776734138261979457e+00 -2.965272529481881065e+03 2.602565336218614078e-01 24129 32917 18205 55435
-3.883783296705543897e+00 -1.305289260054797523e+03 3.982238083620504021e-01 21783 32829 20462 49953
-4.782381760699486506e+00 -5.772497572998266833e+02 4.689445935722025283e-01 20611 32896 14616 52059
-6.035030254382569126e+00 -4.138058524415762918e+01 9.810261274582320334e-01 18869 32854 18755 46541
-6.949459914416574513e+00 1.187266146266762092e+02 4.688726362369234901e-01 17711 32849 17205 50266
-8.017172064756893590e+00 1.976899469635258697e+02 9.634685202209006261e-02 16574 32552 23490 48549
-8.757934468794015714e+00 2.203319325681695204e+02 5.018139687726359544e-01 15480 32486 12511 54326
-1.019399730906012458e+01 2.379966027643507118e+02 9.184888368099775047e-01 14460 32808 13767 44525
-1.135526779543967812e+01 2.429148663977896376e+02 1.939031405565478650e-01 13851 32938 27078 45528
-1.189995832900112838e+01 2.442179532766618308e+02 6.174085351776800179e-01 13655 32948 20396 58112
-1.294450968497837096e+01 2.458953385683126385e+02 9.402592430927809719e-01 12971 32939 13311 52264
-1.428718832469846589e+01 2.468129152088523313e+02 7.591044562904224191e-02 12131 33154 12735 45622
-1.554282887618254883e+01 2.472173621947629272e+02 5.982978166943790921e-01 11749 33265 17529 45258
-1.649463364178486913e+01 2.473790067249044284e+02 7.167707309006300376e-01 11410 33288 16881 49591
-1.756742805285335862e+01 2.474781222414226249e+02 1.776646969743178595e-01 10966 33251 27977 49867
-1.816614712842743984e+01 2.475077498757115677e+02 5.835967373437701555e-01 10414 33247 15425 59039
-1.948782450854203674e+01 2.475459935461913972e+02 8.263905802968896097e-01 10104 33162 20260 47337
-2.034530197161657838e+01 2.475573152438598186e+02 2.033162349071594432e-01 9683 32904 13156 51424
-2.168347568737168984e+01 2.475684575385947426e+02 8.998505496899726896e-01 9220 32729 9141 44831
-2.322197589862295430e+01 2.475743656180732444e+02 7.916037914102368178e-02 8578 32336 8670 40687
-2.471695985858901423e+01 2.475765462882022234e+02 6.359082518349997715e-01 7955 31970 16878 40299
-2.559616388301992274e+01 2.475770780099480817e+02 1.081801226588324782e-01 7531 31423 14025 47621
-2.680320443456723467e+01 2.475773735154857604e+02 3.924271796930824951e-01 7041 31480 10470 44866
-2.822112253874843546e+01 2.475774997765606145e+02 9.690865984373948638e-01 6605 31412 16773 41221
-2.912715609514221882e+01 2.475775264225881074e+02 5.894089584663572134e-01 6357 31629 26044 47777
-2.975430201059209878e+01 2.475775373438247868e+02 4.365031477078886724e-01 6141 31732 25103 57134
-3.058528351096418163e+01 2.475775467260036748e+02 9.571638481885784699e-01 5955 31783 0 0
