# level_assignment log_likelihood tiebreaker ID
0 -1.889486497663710179e+04 1.596773640228092150e-01 1
1 -4.124655158578983901e+03 2.223769529408136658e-01 0
2 -4.109921983900943815e+03 6.590227824412078217e-01 1
3 -2.288389081521735534e+03 7.219390007273566168e-01 1
0 -8.134957549140644915e+03 8.533621653193450562e-01 1
2 -4.757039307435254159e+03 2.166144631809230336e-02 0
5 -5.560841436415042836e+02 1.671440703137153927e-01 2
5 -1.950576600640845868e+02 6.179122616222709752e-02 4
2 -4.743585774629473235e+03 1.699549753893769832e-02 2
0 -8.751442498544802220e+03 7.967993919486282550e-01 1
3 -2.371671421123180608e+03 3.999981098375530730e-01 4
4 -1.024927608955103778e+03 7.198147215263817067e-02 2
6 -1.984273082393180232e+01 2.112757918471299956e-01 3
2 -3.458318241943579778e+03 6.691357777999940026e-02 2
3 -2.463813215593333098e+03 7.811797881560007539e-01 2
7 1.389953995759347549e+02 4.514463119745178443e-01 2
7 1.344437630028443778e+02 7.928409034469843242e-01 0
9 2.228721529753973414e+02 1.993675748967786432e-01 3
8 2.133879197238647976e+02 8.734030895788438276e-01 1
9 2.264574149123935172e+02 8.270825208852248256e-01 1
10 2.397967194215018196e+02 7.926902306881586924e-01 2
1 -8.379036162596788927e+03 9.890979347934792942e-01 4
9 2.275374721961019304e+02 8.600574302194652354e-01 2
2 -2.977821322123920709e+03 6.171989069620412716e-01 3
12 2.451100537855682830e+02 6.869376340630850564e-02 4
11 2.462152308980244300e+02 2.881069648013791507e-01 2
13 2.466397800025875711e+02 8.994387264339201993e-01 2
11 2.458769296778262969e+02 3.915639491239434333e-01 4
9 2.305292511390938444e+02 2.167642673866924247e-02 4
3 -1.119154363220664436e+03 3.879799662666627014e-01 4
3 -1.668924341239837077e+03 8.083435972366928013e-01 3
9 2.253100123547919225e+02 2.802338336940496943e-01 4
14 2.468739298633730073e+02 7.810127742583077293e-01 4
14 2.473184975773869780e+02 7.867973304337797513e-01 2
13 2.465388175521933931e+02 5.162913389014026633e-01 4
15 2.473096919451647011e+02 6.691954556813333177e-01 1
4 -1.127664000498174573e+03 2.334437965446050922e-01 2
7 1.262720124359489091e+02 6.197291591479885398e-01 2
7 1.562026760364063875e+02 1.481109877167660072e-01 2
7 2.286714418530169723e+02 9.910589716864275367e-01 2
3 -1.066210701557651646e+03 1.940585524520124228e-01 0
14 2.472830833393712737e+02 8.103297514631564447e-01 4
11 2.435676230730396128e+02 8.735121455477274921e-01 0
8 2.061408670612855758e+02 8.623288917799339093e-02 2
12 2.459328967729569229e+02 1.598363655947244721e-01 4
13 2.459506387012756647e+02 3.005891101132783239e-01 0
11 2.459622036250013934e+02 8.813864582645587475e-01 3
12 2.454419480886429596e+02 5.300778919087801855e-01 2
17 2.475200151973951677e+02 5.101133313363382937e-01 0
15 2.474063368083032515e+02 7.711332307712008838e-01 3
18 2.475186463529880427e+02 6.837311396211485925e-02 3
11 2.466159970388702618e+02 6.616137013262096689e-01 0
19 2.475528084106763629e+02 8.783166735923642054e-01 3
19 2.475517817949162236e+02 2.729927123085334473e-01 1
11 2.445462837969234045e+02 6.909388329784054150e-01 4
14 2.469497770823275005e+02 4.890848720559315410e-01 0
20 2.475592675101195255e+02 2.470154527351022811e-01 1
21 2.475770672335488598e+02 8.755524504469178737e-01 3
19 2.475688229420862001e+02 7.892398309002307544e-01 3
13 2.459955342118386739e+02 9.782352760785424373e-01 0
14 2.472689562319785921e+02 3.373536140291900076e-01 1
12 2.451076739898443577e+02 5.043581697650264539e-01 2
14 2.468228140715045811e+02 7.806005182548704860e-03 0
19 2.475711942684964129e+02 6.191435919570906776e-01 1
18 2.475434028091672758e+02 3.706924542552565427e-01 1
11 2.458011774015822937e+02 2.414616926556360788e-01 2
19 2.475481695396301518e+02 2.547498879978107311e-01 0
14 2.470171367866792025e+02 8.267659862868004250e-01 2
14 2.471284974227567659e+02 5.271480724637460646e-01 2
12 2.446728771995475711e+02 7.625075183398274392e-01 4
16 2.475597047346411159e+02 8.154084005723138961e-01 0
12 2.467462965448398506e+02 6.818385454061806072e-01 4
15 2.474436460810181302e+02 8.735204322846423786e-01 1
9 2.318148354593277816e+02 3.058548385966197714e-02 4
19 2.475631924002447022e+02 4.834481683091902404e-01 3
21 2.475757885556200222e+02 1.717107237804267328e-01 0
10 2.432871687298615484e+02 1.857291753826285641e-01 2
23 2.475771131599568662e+02 1.662358819567187063e-01 0
23 2.475770646788132012e+02 4.924730418108680396e-02 0
22 2.475743787650033596e+02 7.111237495787603446e-02 1
24 2.475773620538461159e+02 5.417197522448908842e-01 3
21 2.475741383390932810e+02 9.068506771799020871e-01 1
24 2.475773218592777880e+02 5.407827587237790112e-03 4
24 2.475774140879603067e+02 5.734925025671731014e-01 4
16 2.473893426522495531e+02 4.060043569550321751e-01 1
19 2.475598599410996599e+02 5.466621375240293679e-01 0
20 2.475742968386460348e+02 1.260220890619715151e-01 2
21 2.475722292133449969e+02 6.717321046256152783e-01 2
24 2.475771631315940908e+02 8.780007650853960399e-02 0
26 2.475775078933785949e+02 4.117615361809612295e-01 3
27 2.475775440564702592e+02 2.654725157895900800e-01 3
25 2.475775091447544298e+02 4.766716251957400230e-01 3
22 2.475766698353488380e+02 9.818999520958312521e-01 4
22 2.475750602424444082e+02 2.087694016206666781e-01 0
19 2.475730200982712574e+02 6.344195734246899088e-01 3
21 2.475735093429095741e+02 9.410861270666152911e-02 2
26 2.475775022534695040e+02 6.921048975847160500e-01 4
24 2.475772425079367451e+02 9.832221620578618371e-03 3
21 2.475698728614032404e+02 3.255931881473616007e-01 2
23 2.475770001886768910e+02 1.428434714973094710e-01 3
24 2.475772141996754385e+02 7.100742593689446380e-02 3
28 2.475775449101016648e+02 7.474602100022362805e-01 4
28 2.475775399663269809e+02 4.913834339643567972e-01 0
29 2.475775468448537424e+02 4.293429295638720444e-01 4
0 -3.415857476660711654e+03 7.618668787964985034e-01 1
17 2.475255511307988741e+02 5.557096142782652626e-01 2
27 2.475775334322121353e+02 9.724301553464894665e-01 4
