# level_assignment log_likelihood tiebreaker ID
0 -5.322784746290891781e+04 3.798980599434820249e-02 2
1 -4.958443908831400222e+03 8.330259786104730058e-01 2
2 -2.231763737500505158e+03 2.475333172259562842e-01 3
2 -2.815798205278720161e+03 9.548014662045349876e-01 0
0 -3.919222442677384242e+04 9.528321338925527240e-01 0
0 -3.004254773081690018e+03 6.025700273753301639e-01 2
3 -2.507798598951023337e+02 5.058507134170889818e-01 0
4 2.317386290991464364e+02 4.216773561437219264e-01 2
5 2.959572962465341561e+01 9.298443191919858464e-03 0
4 -1.898740917967353994e+02 6.042675110912005820e-01 0
3 -4.959356457687657667e+02 7.653045656267640773e-01 1
7 2.322543648300919301e+02 4.539042507069747101e-01 3
5 1.424974221610227403e+02 8.678173482416964291e-01 4
7 2.222369059525688613e+02 3.190938706753991827e-01 3
6 2.311412725627244527e+02 9.984236699409082538e-01 1
5 3.258900416328461347e+01 5.849666965896013204e-01 0
2 -5.475549692245384676e+02 8.858303047783522288e-02 4
3 -4.234767374584573929e+01 3.022731827179718778e-01 4
6 1.971357380088655020e+02 1.661450467626663929e-01 4
2 -2.495760885033575960e+03 5.238953883203816275e-01 0
11 2.463129056775572678e+02 4.843211577883556607e-01 4
8 2.432350283358850902e+02 6.032235905724081526e-01 3
11 2.438244223206919230e+02 6.457696436640699700e-01 1
5 2.402527263941939566e+02 6.254987239581695224e-01 1
12 2.468360853400614019e+02 5.557988605536756666e-02 2
11 2.440426840865858935e+02 7.490000577991606789e-01 0
5 9.786553180970076937e+01 5.501746848033217674e-02 4
13 2.462169074540006477e+02 2.798182391185689011e-01 0
14 2.469822642329458517e+02 3.421611255372223881e-01 3
12 2.463225307252365610e+02 8.863650469382067243e-01 4
10 2.421051020562546512e+02 6.223826743414435647e-01 2
16 2.472348702049681037e+02 7.722098313428648053e-01 3
14 2.467423884323145558e+02 1.946407509578307327e-03 4
9 2.438008988737774700e+02 1.882195595129143584e-03 1
13 2.465613591041173436e+02 1.772066167720161567e-01 3
12 2.463644501360722074e+02 1.608774763640757888e-01 4
10 2.434749211750912252e+02 3.746410238980298346e-01 2
14 2.469247345217841030e+02 4.940001222003234105e-01 0
14 2.467967959296389608e+02 9.479382813972188349e-02 2
5 2.442703764823149726e+01 3.746323389723080211e-01 1
6 1.653029447445950950e+02 1.972277626281857543e-01 1
17 2.473779510734660789e+02 2.580988353062967922e-01 0
14 2.468131921934974287e+02 6.222160771064202400e-01 3
8 2.390844897112792751e+02 1.363534340138573553e-01 2
18 2.473899178283231777e+02 9.361979789638196214e-01 0
