# level_assignment log_likelihood tiebreaker ID
0 -3.374238407850541262e+04 4.030932871328706257e-01 4
0 -1.203015016560964114e+03 8.869951589484512677e-01 1
0 -2.055223166805153596e+04 8.023300103130461824e-01 0
2 -5.964251022934254820e+01 6.897243929055322242e-01 1
0 -2.123497239859661204e+04 4.019473782826032959e-02 4
4 -8.347807824541197874e+01 4.032720005861794021e-01 0
5 1.251718997139134615e+02 6.583664979905536896e-01 3
1 -1.563717791330952878e+03 4.657894754259383485e-01 3
4 2.770868088049485323e+01 3.255794967261461115e-01 2
4 -3.635309951454576094e+01 6.382093478390239438e-01 0
6 2.151076748409174684e+02 5.550412561846052029e-02 3
4 1.810450473416629507e+02 2.279593209025247980e-01 0
4 6.764388843664141859e+01 6.583836030797485250e-02 1
8 2.382170056395940492e+02 9.517233133915308230e-01 2
7 2.243072286533807187e+02 8.763575081682210000e-01 1
5 1.601312290182294191e+02 3.576480446977403083e-01 1
7 2.239822861362043227e+02 2.212523964658698605e-01 3
9 2.447470571879122190e+02 9.640080592151583083e-01 2
8 2.437546283691290796e+02 7.316213042435216751e-01 3
5 1.361193602371207874e+02 6.746901009449159103e-02 4
11 2.452745475513102633e+02 6.375615959807490185e-01 2
9 2.414413177838450508e+02 8.502374777902087510e-01 4
5 2.213329583495667805e+02 1.838366768279022789e-01 3
4 -5.533665413822474477e+01 5.511226119642671506e-01 3
9 2.419629112241945563e+02 4.082449788863430906e-01 3
11 2.457138847860969406e+02 8.737976976559957976e-01 1
1 -1.184734306308950863e+03 3.149015531890881903e-01 0
12 2.466427845381921315e+02 2.707581939667865201e-01 1
8 2.388679968972249981e+02 7.867401470334647318e-01 2
11 2.457096171591666121e+02 8.695068638168806929e-01 0
10 2.444427753460994666e+02 1.893252395165645474e-01 0
9 2.412045848693106223e+02 1.869759167304727576e-01 3
12 2.466987749840823767e+02 6.595372048816130484e-01 0
9 2.418007140186786614e+02 2.303760326508772494e-01 3
12 2.468139287100650563e+02 5.786499822954653816e-01 1
11 2.463389330654031255e+02 1.964121962298411572e-01 0
7 2.363570527019502379e+02 4.574714056262200179e-01 1
8 2.347297885784972209e+02 9.934591825914984575e-01 0
8 2.389152027151410493e+02 8.361013335145008885e-01 0
12 2.460056010592326174e+02 1.785896454255833099e-01 4
14 2.469843310999829384e+02 2.793051003414070976e-02 4
10 2.442100285242634641e+02 2.313697768036188651e-01 4
13 2.468678716426842072e+02 8.068887512456365263e-01 4
12 2.468511241813820050e+02 6.962235858126213373e-01 4
12 2.466817143282558504e+02 5.135270483710776546e-01 4
11 2.461082169285152759e+02 5.387143872553927793e-01 1
8 2.352493832512777203e+02 9.303043072321770524e-03 1
8 2.442750883022079051e+02 1.364114661016254948e-01 4
7 2.319534412132643411e+02 2.948514151956183049e-02 4
11 2.450595797125307058e+02 8.461403238670737181e-01 2
13 2.468414115543858998e+02 9.843162725952225856e-01 3
13 2.469079511094416546e+02 9.839094201440420351e-01 3
10 2.441793075822756123e+02 9.068217996098759670e-01 0
11 2.469532586589082825e+02 2.525587222741655369e-01 1
17 2.470798590807887081e+02 4.508426371112349007e-01 2
5 1.774795410390399297e+02 2.470986264442487368e-02 1
6 2.147337869777232129e+02 9.271312795045297817e-01 0
5 1.274512083596702325e+02 9.345604090470709391e-01 0
5 1.612165197447945957e+02 1.606490404805640537e-01 0
15 2.470308415563023914e+02 7.031301647723220416e-01 2
16 2.470835372990619305e+02 4.371747866112478398e-02 2
13 2.468045048189793533e+02 3.357553696610038330e-01 1
7 2.269047423966625558e+02 8.420951390194124642e-01 1
9 2.418107446913397780e+02 5.231823682377045870e-01 1
10 2.443877391090601918e+02 9.253358672468936508e-01 1
6 2.374948977737048210e+02 7.068654125049604886e-01 0
14 2.469418467321846720e+02 1.704247707127866107e-01 4
16 2.470789086249664024e+02 1.037698275703213824e-03 4
8 2.355629880267790952e+02 9.433242958487678131e-02 1
13 2.467612025184033939e+02 9.601241066643653177e-01 2
14 2.469485595399876843e+02 8.385912989827808417e-01 2
16 2.470532605427002011e+02 4.657004174044256928e-01 0
14 2.469474021780899307e+02 4.470657558731572223e-01 3
16 2.470599824301822025e+02 7.364650764847551212e-01 0
12 2.460068771938092027e+02 5.571101968461693588e-01 1
20 2.471080403757320596e+02 8.835533405061317680e-01 4
11 2.460614984083629793e+02 3.725173974756951778e-01 3
20 2.471077853559681046e+02 1.536509045956776787e-01 4
13 2.467112710216066489e+02 7.564702452581597569e-01 3
10 2.467089941537492450e+02 1.870830365523476480e-01 3
11 2.453785997083479629e+02 1.858585413472542414e-01 3
9 2.443187882044159664e+02 8.893633698944308774e-01 3
23 2.471102596650179350e+02 3.550442506118303698e-01 4
22 2.471098365037132396e+02 8.151554607320118939e-02 0
24 2.471107777054423025e+02 8.538528328686997293e-01 0
20 2.471092950745774317e+02 2.813901634368051741e-01 2
23 2.471099114950279727e+02 5.495191194427735404e-01 2
12 2.464946908523508000e+02 1.048794911168426658e-01 3
17 2.470814927104951551e+02 9.323527381203056130e-01 1
23 2.471102304009543502e+02 9.770353012964960726e-02 0
21 2.471090190365628700e+02 4.547472239748129863e-01 2
21 2.471088407077646139e+02 2.016979769571682901e-01 2
26 2.471111855855688759e+02 7.973790183565776513e-01 4
10 2.455638864773507635e+02 4.162762053511469551e-01 3
20 2.471070953015326666e+02 2.697657977393073114e-01 0
16 2.470675147068332080e+02 8.022082561769346976e-01 2
27 2.471112723629296397e+02 1.126781257032531680e-01 0
17 2.470807452064029803e+02 3.989436916750423445e-01 3
15 2.470594799682008329e+02 1.324546574719016323e-01 3
15 2.470364344993178065e+02 9.213864851218945828e-01 3
22 2.471102214728814772e+02 1.170343839184653234e-01 2
16 2.470583894292118146e+02 1.455692816284601676e-01 3
19 2.471034768448787986e+02 1.172160151067463685e-01 3
19 2.471074146910303853e+02 7.083433538217159819e-01 3
18 2.471013316919276122e+02 6.988859445440662732e-01 1
24 2.471107536876600363e+02 3.205421665680747711e-01 2
20 2.471063503719045968e+02 6.837671048750486591e-01 1
25 2.471110454049842247e+02 4.045790963785380612e-01 4
19 2.471067092572449724e+02 5.682513101384207843e-01 1
25 2.471111746003247731e+02 5.694721518151375506e-01 3
28 2.471113397219074557e+02 3.466830459355847993e-01 0
24 2.471107788069133733e+02 6.797529667278313648e-01 4
22 2.471099501431378656e+02 3.742636581015399422e-01 1
27 2.471112388813336906e+02 7.587701305681704422e-01 0
25 2.471109527909413544e+02 6.786617662710938692e-01 3
28 2.471113141612290747e+02 3.363335010856388085e-01 2
24 2.471108661843259711e+02 3.766521053494388260e-01 3
24 2.471108852084499858e+02 3.705499755462184908e-01 2
24 2.471106477621058843e+02 9.243515462938941551e-01 0
29 2.471113218567483614e+02 6.118970778028512969e-01 2
20 2.471067526368142637e+02 7.040226017479642717e-01 4
19 2.471035145337155257e+02 6.255060834957529847e-01 3
24 2.471107902003280685e+02 6.008220333597196205e-01 2
15 2.470865263621659551e+02 2.175298113830531899e-01 3
23 2.471099175517632602e+02 1.600208580531388147e-01 2
4 2.226744430337985818e+02 5.091171268085888935e-01 3
13 2.470633919065314785e+02 7.345840193510541072e-01 1
13 2.466570757981772317e+02 5.786337870295295005e-01 3
10 2.468193429850863936e+02 2.472273050065263433e-01 2
14 2.470934684843667526e+02 8.391836621300399202e-01 4
3 -5.552799853576818805e+02 1.555558530492172631e-01 0
9 2.410408277184529595e+02 5.959150863273912080e-01 3
1 -2.768090120134178960e+03 7.060999984786474615e-01 4
14 2.470111252315480215e+02 5.582355197307126843e-02 1
14 2.469784969650530968e+02 9.578913822967788372e-02 1
9 2.403764525014772175e+02 3.395816694866008595e-02 4
5 2.445375573325744085e+02 1.321323498777320360e-01 2
12 2.462963771430723909e+02 7.590028861155332374e-01 2
6 2.140014191035347721e+02 6.653186268538174852e-01 1
4 1.430946110206249955e+02 1.802230156909652437e-01 4
1 -4.586457955857687011e+03 7.593254459296527870e-01 3
7 2.307574208051768778e+02 3.902848777713648354e-01 3
5 1.458756595503428457e+02 7.018028644372247271e-01 4
11 2.452261731384906511e+02 1.326977686693339709e-01 2
0 -1.482625371562666260e+04 1.207452780780913087e-01 1
13 2.468161967241481136e+02 6.690726546285309662e-02 3
3 -1.433184762298117221e+02 9.474471730807308978e-01 1
16 2.470630214477936306e+02 9.805045107942098603e-01 3
16 2.470494691653119332e+02 6.221447932670045589e-01 1
17 2.470928145404943166e+02 9.227915706308336130e-01 3
15 2.470240222105974226e+02 5.834862790883477146e-01 1
3 -3.694385512724966816e+02 8.924440095521901650e-01 2
0 -2.994587048521466204e+04 7.068417169195685412e-01 4
20 2.471062603038976704e+02 7.280577330446340589e-01 3
17 2.470842003337691608e+02 5.007805343643364493e-01 1
25 2.471110656683706566e+02 9.842197617350143535e-01 0
20 2.471090394412457272e+02 7.212991111051128001e-01 3
22 2.471092697282383313e+02 3.925364629459586752e-01 3
24 2.471109362790058412e+02 1.037692831263171689e-01 0
5 2.231281544523477578e+02 2.982905106662157024e-01 2
6 2.025504518994868022e+02 3.197118619271150375e-01 2
21 2.471088856229423527e+02 7.349641347190773999e-01 1
0 -2.173948326767180697e+04 6.422431963341530547e-01 2
16 2.471021999269046887e+02 1.997196395141025496e-02 3
6 2.022118772421093240e+02 3.622208402212423461e-01 4
26 2.471111687720924124e+02 2.308025552762928423e-01 1
29 2.471113102215651338e+02 7.367603169459809864e-01 0
0 -9.808320015977427829e+03 2.178428290093719077e-01 2
25 2.471109598958161655e+02 4.185932207352615064e-01 3
3 5.094294829603386887e+01 2.256781792784289808e-01 2
15 2.471017464891035615e+02 3.603220571294858399e-01 4
27 2.471112928934028901e+02 1.826829205768665809e-01 1
13 2.468389423660084958e+02 6.778652141782547103e-02 3
15 2.470669872841424421e+02 4.530852144990398789e-01 4
23 2.471101823056107207e+02 5.229145779717425668e-01 0
16 2.470935324672593651e+02 9.732633229617206894e-01 4
24 2.471109130190261567e+02 6.272055635420532571e-01 1
25 2.471111742624979399e+02 8.040486421043234744e-01 1
19 2.471038260772143360e+02 8.950964344269738415e-01 3
10 2.441881206771959967e+02 3.794214880550445534e-01 2
3 -1.042889368581847407e+02 5.069275053015047661e-01 2
29 2.471113311731753583e+02 6.628735961083496164e-01 1
3 -2.298771604037083875e+02 1.816896244049375775e-01 2
13 2.467484940254788057e+02 7.447073746132112371e-01 3
29 2.471113150396672040e+02 5.331926673390678939e-01 1
26 2.471111805765455642e+02 4.583209635778065505e-01 0
14 2.470387955108067217e+02 3.256969902640485248e-01 2
9 2.462427467680746247e+02 2.423715681768747188e-01 4
8 2.344549395867947510e+02 4.548468143138117981e-02 3
22 2.471104806692313502e+02 6.737778573857934328e-01 2
23 2.471103659190777648e+02 5.795534819838128460e-01 2
8 2.428273998973956509e+02 6.938689588922947182e-01 3
26 2.471111595858691885e+02 4.749536392004098384e-01 0
15 2.470475638292936083e+02 2.419933589075782265e-01 1
10 2.440130440157495002e+02 1.928073686271520870e-01 1
5 2.129783057728209315e+02 9.788837123472151625e-01 3
29 2.471113140651669937e+02 2.548321816428228970e-01 0
27 2.471113056194337503e+02 7.907901390914404693e-01 0
10 2.460109064502934189e+02 5.822754297422045866e-01 1
6 2.143710363738853175e+02 1.179090300655730311e-01 1
10 2.462472821518230717e+02 6.112176072826959183e-01 3
26 2.471112909886120121e+02 1.981354744055391082e-01 0
25 2.471109658911024098e+02 1.952118218334473743e-01 2
16 2.470510987604704667e+02 6.685898131236311936e-02 3
14 2.470466187240331521e+02 1.211752373308709052e-01 4
17 2.470785942465796836e+02 6.311103702948790417e-01 3
17 2.470873918084511729e+02 1.001353527419039935e-01 3
5 1.430801537448096781e+02 5.381944059601497660e-02 4
4 6.645054889665026110e+00 2.329839484065254762e-02 4
1 -2.909537115903045560e+03 6.212934000809067214e-01 4
8 2.418741603269141365e+02 3.546844596257169857e-01 3
6 2.002560317915119867e+02 4.728075585909706779e-01 4
4 1.084337371734422959e+02 3.844128047057751019e-01 3
23 2.471099203349273807e+02 8.569599515303272241e-02 1
9 2.412818468370562925e+02 7.050930037805746009e-01 4
13 2.469648567504644632e+02 2.174243598451379433e-01 0
25 2.471110515583638403e+02 8.277367574990321941e-01 2
16 2.470755631971040032e+02 9.615087603767460411e-01 2
0 -1.097631847533485416e+04 4.321710458730880777e-01 4
0 -7.460981413452135166e+04 8.732698096990003656e-01 3
1 -5.533370831201350484e+02 1.896713907514997188e-01 3
7 2.316725748727641303e+02 5.553898733714038860e-01 4
5 1.930657374016992662e+02 8.046018975974480458e-01 4
28 2.471112864515182252e+02 3.812816465753159356e-01 2
19 2.471066221493507840e+02 7.042979400204367746e-01 0
21 2.471095696871360019e+02 9.030437077241542099e-01 0
2 -1.232459481185394225e+03 8.125973691272538879e-01 4
25 2.471110172139858605e+02 8.257941829129552547e-01 3
7 2.439473304752700074e+02 4.088762580151949488e-01 4
21 2.471077334287620033e+02 4.905736706836781313e-01 0
24 2.471109545594681833e+02 7.685616843264000408e-01 4
25 2.471110272946416160e+02 4.262351802339211515e-01 4
5 1.755525242032838946e+02 3.905678726442969317e-01 1
