# level_assignment log_likelihood tiebreaker ID
0 -9.524674195596762002e+05 1.596773640228092150e-01 1
1 -2.147218105916388959e+04 6.113185487653222117e-01 2
0 -1.488288754694620820e+03 6.157346926042477353e-01 0
0 -8.954899533313862776e+03 7.130287274709918854e-01 2
0 -4.769782708770199097e+05 5.693674499781753440e-01 3
5 -1.003526622115009445e+03 2.505404832831779616e-01 1
5 -5.184167982242905737e+02 3.922397876060425004e-01 4
5 -4.175368351001836800e+02 4.002608050803104223e-01 1
4 -8.201384593834077350e+02 7.095534448080035306e-01 1
5 -8.171106884207183612e+02 8.370353666337430054e-01 4
0 -4.457541011726433680e+03 3.004403697995044475e-01 3
4 2.262255328626870607e+02 7.920591276078248200e-04 4
7 1.928209301456734011e+02 3.528263273982711334e-01 3
6 2.341569035846395508e+01 4.390449506572622340e-01 3
6 -8.441100019916027009e+01 5.682688641753816938e-01 3
5 -9.120326314998494581e+02 2.471739731334283707e-01 0
0 -1.527364666097841109e+04 1.083116324561761296e-01 0
1 -1.730218137868342455e+04 2.032531526508405406e-01 0
2 -2.898886330424333664e+03 8.900363997856882703e-01 0
9 2.023831789451076588e+02 2.570411707878658691e-01 4
9 2.124289352915789095e+02 2.889394571386940669e-01 4
2 -1.494502790181208184e+03 6.662425500508131204e-01 3
10 2.134674239117273657e+02 4.468356728514062959e-01 2
11 2.228061115752992976e+02 3.119960662135752294e-01 3
11 2.175483238964874886e+02 2.068359582035479427e-01 0
11 2.202165072337812148e+02 1.046551142201543882e-01 3
4 -1.358546318622904892e+03 9.230095839616900832e-01 3
4 -1.357754907413426281e+03 5.504955533128770284e-01 3
3 -1.388412040009632165e+03 8.565786548765399466e-01 2
0 -3.930439294514920675e+03 2.575060843210627004e-01 2
8 1.747429967648006084e+02 5.998111854958640965e-01 1
9 2.292886169238544198e+02 1.649523590058617484e-01 1
14 2.423991099539752270e+02 5.646793634391078509e-01 0
0 -8.326206404127067071e+04 4.667543482061083382e-01 4
11 2.189136968810170174e+02 5.674255597727361211e-01 3
14 2.405527017543104193e+02 5.340516802680723707e-01 1
13 2.411857889894974960e+02 8.068410981738409760e-01 1
12 2.297689517863632602e+02 1.654799528416922294e-01 2
14 2.414224692423373995e+02 3.415274448769142768e-02 1
11 2.273123252541544730e+02 9.428004095287803032e-01 2
11 2.184909778960967799e+02 5.371855997915577774e-01 4
13 2.435714228220884934e+02 1.293989047084964095e-01 4
13 2.382592154724138993e+02 3.541423983241337448e-01 4
10 2.158189075558727268e+02 6.813621647781061830e-01 2
15 2.428859480582359538e+02 5.575908870310781751e-01 1
14 2.422046875052010364e+02 3.159885332645807621e-01 1
6 -3.602830153599784779e+01 4.135689858502091809e-01 3
15 2.430414751278397887e+02 1.021496106999954384e-01 1
12 2.358944217245393133e+02 9.918779411041902527e-01 1
13 2.355084450561077460e+02 7.869379747609652753e-01 2
13 2.417952048929550415e+02 7.173306129134726650e-01 1
2 -4.690286437164600102e+03 8.545742521734425168e-01 3
12 2.315826908414566390e+02 9.675199275251247788e-02 2
4 -1.314462655620426858e+03 1.937022996156091137e-01 3
3 -1.360179861693956354e+03 2.905637240812515287e-01 3
13 2.389673969889157377e+02 1.528508833777539877e-01 1
14 2.413286527276749212e+02 6.077854478782729331e-03 2
14 2.422713357033603927e+02 2.444842285548395715e-03 1
14 2.399993583024841541e+02 3.510486124382090622e-01 1
0 -1.389743573211506600e+03 3.440032080172218398e-01 3
15 2.429839485234837753e+02 3.591381795425514500e-01 4
18 2.473561757562886498e+02 6.313786851658462762e-01 0
13 2.356237311948556794e+02 6.112658607545397027e-01 1
16 2.457223534660353153e+02 9.618728473334385853e-01 0
2 -3.446596063136335033e+03 7.560043448673285926e-01 3
4 -1.358385617711566965e+03 2.620126200340262557e-01 1
13 2.384222670040169874e+02 1.223558668687250162e-01 4
11 2.194747520063477566e+02 3.640524287699520301e-01 3
3 -1.774797499799093657e+03 1.140167174317156529e-01 3
0 -1.032570141140596243e+05 8.723103586258871278e-01 4
16 2.477099598639343299e+02 8.880171206736020562e-01 0
2 -4.150261183532813448e+03 2.345082564950948800e-01 3
0 -4.532108293800967658e+04 3.654435879674056142e-01 3
8 1.880482043869160407e+02 8.111279544217278037e-01 1
20 2.478601728367085002e+02 6.548766587780060489e-01 0
13 2.370412119998517539e+02 8.616307060315946398e-01 2
6 7.685126297874145962e+01 3.130140358372494047e-01 3
21 2.478933186364473045e+02 3.997871904910519358e-01 0
14 2.409277944491790322e+02 2.812173772470405453e-02 2
18 2.473227580268419956e+02 3.518392862058844495e-01 0
11 2.230284138686986353e+02 8.624591296459940271e-01 4
11 2.257097549801784737e+02 3.507312393820901097e-01 3
14 2.398588877355824707e+02 7.720449427085757099e-01 2
21 2.478813902434043825e+02 2.247586593145221023e-01 0
12 2.321868660609035828e+02 6.107564730719827750e-01 2
