# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32300 32300 14165 32300
-8.387651616097203666e-01 -1.361902876090619429e+04 4.111086910102303982e-01 28221 32170 20462 45009
-1.639661431607343012e+00 -4.260747321021191965e+03 5.958672805697035058e-01 25960 32300 20390 51334
-2.567262824399728416e+00 -1.289831499343031737e+03 1.142614379513844369e-01 23612 32343 18487 51446
-3.589353929567823620e+00 -3.621067162997951527e+02 5.339358982010800059e-01 21235 32282 20282 49666
-4.490892816228484463e+00 -6.497628973703091049e+01 3.656599747434583492e-01 19601 32385 20820 51367
-5.399345378486502867e+00 7.036575608197358633e+01 1.204342386367383000e-01 18591 32351 21573 51872
-6.283336656314300939e+00 1.471413917427946672e+02 4.179071008213628979e-01 17909 32427 15666 52707
-7.483228780608577324e+00 2.027706436139573611e+02 4.459825862181077127e-01 16805 32495 20005 47232
-8.350599201785811943e+00 2.232000444503772769e+02 7.200366207916752970e-03 15936 32367 18444 51267
-9.371597681623249798e+00 2.351669060244689149e+02 6.661675209345206961e-01 15247 32403 22947 49913
-1.016066725866026665e+01 2.399866953083194403e+02 7.958829626621444220e-02 14718 32391 19921 54010
-1.115820593170218622e+01 2.434890126403691113e+02 1.129663755463682362e-01 13880 32025 13592 51089
-1.246022943609004052e+01 2.457477826549550173e+02 6.631467765055290009e-01 13117 31895 15340 44720
-1.352541267725056073e+01 2.466325699580073660e+02 4.345615502451198320e-01 12555 32070 13593 46240
-1.473373789515116883e+01 2.470487212774065426e+02 5.079509790381981915e-01 11799 31834 12036 44505
-1.601781837204200087e+01 2.472448698502727211e+02 5.564302546963766360e-01 11242 31902 14791 43126
-1.708297682202261925e+01 2.473237012642674415e+02 7.943254124148602102e-02 10952 32022 20885 46429
-1.789355364372790902e+01 2.473584600317751665e+02 8.120708653257580067e-02 10516 31930 31721 52173
-1.841396590614303719e+01 2.473722525147409215e+02 2.186722683185135518e-02 10138 31862 25232 62951
-1.933214781177847996e+01 2.473886403524111302e+02 7.282563646746286201e-01 9881 31993 38170 56578
-1.975007979403514469e+01 2.473933242756457958e+02 8.790591770691950080e-01 9749 32027 36529 69565
-2.040733839932009275e+01 2.473987836077782845e+02 2.284103721021375488e-01 9577 31953 20113 67851
-2.161261064579402813e+01 2.474048533273643784e+02 3.401860310315753533e-01 9146 31918 22900 51380
-2.243089654443977921e+01 2.474067826970758688e+02 5.033395845818160463e-01 8765 31883 26314 54146
-2.316597893834497057e+01 2.474079744510539172e+02 5.948105401982868301e-01 8556 31985 21244 57647
-2.416433285413483034e+01 2.474089345815640399e+02 4.530232490242865340e-01 8126 31886 28383 52491
-2.479751252119858052e+01 2.474092580202341480e+02 1.662845533975340073e-01 8150 32083 35612 59836
-2.533579085000584641e+01 2.474094457858700196e+02 2.024189874281893953e-01 7822 32034 52259 66980
-2.560808556751677045e+01 2.474095141832599438e+02 5.677138286452096949e-01 7873 31987 0 0
