# level_assignment log_likelihood tiebreaker ID
0 -5.789203738609718857e+04 1.440075494667957812e-01 0
1 -2.412902055430056691e+02 2.882614020442570424e-01 0
2 -1.697293282513658141e+03 6.551104327786060333e-01 4
2 -3.420296682245678312e+03 4.207112307574738530e-01 3
2 1.474438737266269754e+02 3.064824698481787846e-01 0
1 -1.208505713888990385e+03 5.759738216740246664e-01 2
4 -3.390885802948291712e+02 6.115200640854116625e-03 2
6 2.295510037162681556e+02 3.163092186063733990e-01 0
6 1.620613807505503701e+02 1.145541749666101339e-01 0
2 8.546185027869607609e+01 4.307664884757009816e-01 2
6 1.682562477870901887e+02 5.550811621824731645e-01 0
1 -1.313008938195890005e+04 3.719225707884912802e-01 1
3 -1.609964525677824270e+02 9.293916015997494284e-01 4
5 -4.746185945805956408e+01 7.098187505699877775e-01 3
8 2.360444024089653112e+02 2.782158647055131828e-01 1
1 -1.791823491720394713e+03 4.306512768102604416e-01 0
7 1.830486318762165752e+02 9.028063503135186352e-01 4
1 -4.227706095219626150e+03 8.229607235581681834e-01 3
4 -2.709350222543108089e+02 6.536782930708665562e-01 3
1 -6.697306249062004099e+03 6.476736267563607541e-01 0
9 2.244062238265743190e+02 3.386833769082001622e-01 4
9 2.359163704727923800e+02 4.941883723449391752e-01 0
8 2.127430542480978204e+02 7.561944148653798603e-01 3
12 2.467820831258165128e+02 8.966154241500952082e-01 1
10 2.360647572909384166e+02 9.637857293258567104e-01 3
11 2.409431705079683752e+02 2.932166304307814997e-03 3
7 1.515614221037151310e+02 1.951611955878824745e-01 2
13 2.463316020964010988e+02 9.386456104247771215e-01 0
7 1.509173816955558607e+02 3.009437664054465111e-01 2
10 2.411244830499508680e+02 3.553038143436737517e-02 4
7 1.728270095722217548e+02 6.647676198480846343e-01 2
7 1.816721116050054547e+02 1.150202447957933138e-01 2
13 2.466241491783782465e+02 2.532431953986064577e-01 4
14 2.467451139319979347e+02 3.638823707023400300e-01 4
12 2.435357122844823721e+02 4.107686416505574867e-01 4
13 2.469727506699588560e+02 2.004984820453359351e-01 4
2 2.321496282432684666e+01 6.611568764663365849e-01 2
3 -6.467651396724884307e+02 4.648170964255466941e-01 0
8 2.240477992739187130e+02 2.252469356295527803e-03 3
8 2.140701366557464382e+02 7.819233953025522821e-01 3
15 2.471022294819000251e+02 1.703528089899928322e-01 4
4 -1.472732988975853345e+02 3.994465930546097776e-01 1
15 2.472033182996432288e+02 5.279746418443185263e-01 4
15 2.472979415019767941e+02 1.815827646079259949e-02 4
8 2.113846078742885766e+02 9.441506338537475340e-01 2
4 2.087591264192337803e+02 2.986038496621826188e-01 0
12 2.440641561245606681e+02 7.324345059068499975e-01 4
12 2.445294747098658945e+02 2.949314750375053862e-01 1
8 2.436999057059219354e+02 1.156101696743742080e-01 2
16 2.473168786892613298e+02 6.216685763877159987e-01 1
13 2.458804349934173388e+02 3.709266947021104266e-01 3
17 2.473602270695778316e+02 1.237751170742197870e-01 4
13 2.462897818873792630e+02 4.101488947418835962e-01 3
13 2.471258584580268689e+02 2.904043944907879760e-01 1
6 1.430718130626573270e+02 4.396701779848373182e-01 0
12 2.464680956351694476e+02 6.394280544387036247e-02 2
13 2.460705043535217271e+02 7.582091023963772880e-01 2
10 2.426597314718979987e+02 2.715891429952654867e-01 2
10 2.390595646857300380e+02 4.249536690628765712e-01 3
13 2.471119332019927128e+02 6.323118969944862000e-01 2
12 2.439690298066314824e+02 7.903415233350346014e-01 4
13 2.470348772164985007e+02 7.125535932675670647e-01 2
4 -3.150047688633648022e+02 8.552137195408402448e-01 0
2 -3.098473210193244540e+03 2.029641333914273815e-01 0
1 -1.905831546683719353e+03 3.441747761433564534e-01 2
0 -6.771704679874843350e+03 4.730882080859046823e-01 1
6 1.502035943897275843e+02 6.936476508778190997e-01 2
16 2.473494425269583417e+02 6.563349824955884149e-01 4
16 2.472610974069655185e+02 1.908317408172806040e-01 4
18 2.473837911143357076e+02 8.671140755950348389e-01 3
15 2.471090314959577654e+02 6.153958845626885665e-01 4
13 2.459619514935541247e+02 2.890963057273391451e-02 4
19 2.473767941506021657e+02 6.708309255816851113e-01 3
6 1.657232014728483023e+02 5.309396637186041268e-01 1
14 2.471825459505636786e+02 8.562037695077213684e-01 4
18 2.473910842613687464e+02 5.616455927219564659e-01 3
11 2.400041434693322344e+02 9.281961756939081098e-01 0
9 2.297866678231143283e+02 8.654466900272703711e-01 0
15 2.472590172126624850e+02 3.241724858743715298e-01 4
17 2.473739068939977699e+02 6.933524775633378434e-01 3
18 2.473638230034021603e+02 6.738911963441966968e-01 3
11 2.419110581880168240e+02 3.071046421730279086e-01 1
5 3.060174159911426273e-01 7.543554937245220415e-01 0
7 1.605739612323510528e+02 1.286655850057195905e-01 0
21 2.473943342167049764e+02 5.995006810811907005e-01 2
4 2.053762591018003150e+02 1.409906510113537181e-01 1
20 2.474087360051738074e+02 4.055924341230404684e-01 3
5 -6.363452690870197870e+01 9.763297150833696314e-01 1
7 1.956717209285180843e+02 3.868357866300993209e-01 0
17 2.473356413626360109e+02 9.720203271471927753e-01 4
17 2.473537006102635587e+02 7.968688934232786014e-01 4
3 -6.558969421420251820e+02 8.571130139028495520e-01 1
24 2.474081168871996681e+02 3.291106893042296533e-01 3
7 1.969836657197773206e+02 7.190111240791963176e-01 1
6 1.837019965269664681e+02 9.674838360617813438e-01 1
20 2.473887935228502499e+02 6.179371975553969998e-01 0
22 2.474038006414189681e+02 9.891710692622890377e-01 2
25 2.474090303786645393e+02 8.577363001258156983e-01 0
11 2.403960900029059076e+02 7.293158847475520457e-01 1
26 2.474090172939117451e+02 9.992769250117630175e-01 3
25 2.474088959721623837e+02 8.636515713376174963e-01 0
27 2.474093267882662417e+02 7.276517517705860527e-02 0
21 2.474046855981824251e+02 6.887538729068594101e-01 2
26 2.474091604302074643e+02 2.972841257731202447e-01 3
24 2.474081133179236076e+02 7.845567902853670117e-02 3
7 2.251649291604412610e+02 4.369952190022274863e-02 4
25 2.474079869377322893e+02 3.913300846219338602e-01 2
3 -3.944736178930401138e+02 2.549195986491676891e-01 4
0 -2.254939995574709974e+04 8.038272277538363042e-01 4
29 2.474096756066790022e+02 3.866150235407499886e-02 0
27 2.474095862152356062e+02 8.059846957951712909e-01 0
29 2.474096213981638357e+02 8.745097443344185262e-01 2
1 -4.960731301150411127e+03 8.567321324223140522e-01 4
24 2.474089014879193087e+02 2.801014619153842089e-01 0
5 1.665066015255375760e+02 6.295092205739205582e-01 4
25 2.474087142622467468e+02 1.559766508328268575e-01 3
27 2.474094797742525316e+02 4.559137640002886016e-01 3
28 2.474096493717589738e+02 7.776956196246563868e-01 2
21 2.473939362325236857e+02 4.341328263498716589e-01 0
9 2.336289006969126660e+02 2.160895176961740716e-01 4
28 2.474095812216881711e+02 3.486590281705660987e-01 2
25 2.474087104504617969e+02 5.398565314177701246e-01 3
19 2.474020512309596143e+02 3.593449242035362534e-01 0
6 8.826428294154101195e+01 5.403952363347928056e-01 1
26 2.474095313474780085e+02 4.224429666908874337e-02 2
21 2.473957634214118855e+02 5.934722632598266046e-01 0
19 2.473821695992411946e+02 5.758386696833150964e-02 3
22 2.474027404754079384e+02 7.404558354054933123e-01 2
18 2.473884456090883361e+02 2.177611679054057559e-01 0
19 2.473909690594976496e+02 7.924633975128867469e-01 0
27 2.474095584547865201e+02 9.145144393594716314e-01 3
20 2.474055318267569135e+02 8.463674766342474953e-01 2
27 2.474095261026029107e+02 9.690689487062958962e-01 4
26 2.474095539470326059e+02 8.559181520030758605e-01 3
20 2.474013922305517781e+02 9.114425994518409180e-01 2
17 2.473267382042028828e+02 1.119364355174723435e-01 0
29 2.474097443878927436e+02 7.508928976479012363e-01 2
21 2.474056624295149618e+02 4.966781395489399120e-01 4
14 2.470734651712839423e+02 1.680685707209492452e-01 0
4 -1.780159672354644727e+02 8.470124662772328394e-02 1
19 2.473841107490646607e+02 5.963886037414263264e-01 3
19 2.473829162765817387e+02 5.032948989326829770e-01 0
20 2.473977283223076142e+02 2.130741803868389517e-01 4
23 2.474051084107779275e+02 4.148007294503561204e-01 3
21 2.474000755079765099e+02 8.324588704953513885e-01 0
13 2.469190546482006141e+02 5.255748709237550997e-02 1
17 2.473237585884098735e+02 3.229123959722296489e-01 0
28 2.474094914071905293e+02 7.537464922813910118e-01 3
13 2.459072235964000868e+02 9.865562967311301001e-01 1
11 2.418425356819706735e+02 2.531281770717394575e-01 1
18 2.473810263184029736e+02 4.830326429761205298e-01 4
