# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30615 30615 11283 30615
-9.983619465847691776e-01 -9.138582754706014384e+03 9.390109620928495104e-01 26540 30587 17320 40685
-1.862204154205522988e+00 -2.183440155663653059e+03 2.286999362911584788e-01 23757 30536 16986 46440
-2.867606910048186464e+00 -7.771689927326644920e+02 8.265201627944541718e-01 21264 30650 21099 46420
-3.668343038867031058e+00 -3.075293695997880832e+02 7.620062917688550375e-01 19802 30692 21675 50380
-4.520373335480123878e+00 -5.989723084029375855e+01 7.628282783518417487e-01 18633 30603 16771 50973
-5.625142817739941847e+00 1.127183737475901637e+02 9.316341200076398987e-01 17327 30510 14951 46269
-6.746017545489545242e+00 1.882374005000419572e+02 8.371351423931280289e-01 16239 30411 11573 44374
-8.063053799898922236e+00 2.223782435260007730e+02 6.600011104798506612e-01 15262 30341 9488 41014
-9.485559626648955245e+00 2.377842124755443365e+02 5.202918307648816132e-01 14340 30454 6708 39250
-1.116977601886318183e+01 2.440247049261967902e+02 4.172018995845833134e-01 13301 30276 8960 36446
-1.253397388056260375e+01 2.459907007303340833e+02 9.799578129065596999e-01 12526 29926 9345 38243
-1.390521631126218338e+01 2.468343144539442164e+02 8.817513715056524148e-01 11450 29650 13044 38462
-1.498014190792651945e+01 2.470952252860721785e+02 7.824495248577463258e-01 11020 29712 15711 42113
-1.596710902156648793e+01 2.472248859003402117e+02 7.483249393703348407e-01 10813 29846 28088 44355
-1.645227477538329452e+01 2.472624614556962968e+02 9.348549857229497828e-01 10479 29841 26878 56162
-1.720161262322655205e+01 2.473077098621159564e+02 8.205647409766246847e-01 10114 29761 26418 55235
-1.795174149919607132e+01 2.473354923950258240e+02 9.221516760802330737e-01 9961 29811 24880 54698
-1.875000976511793027e+01 2.473544216471025550e+02 6.616369790627425473e-01 9558 29845 16641 53183
-1.990206693180202535e+01 2.473701200726523552e+02 8.892720758076558818e-01 9308 29947 9833 45341
-2.138613966084623641e+01 2.473804984064312293e+02 2.542017198831625358e-03 8852 30078 11204 39339
-2.262061664588800980e+01 2.473841048983837823e+02 9.767156617165353438e-01 8356 30066 13971 39964
-2.366778332695304954e+01 2.473853934966185761e+02 8.783633911565285057e-01 8143 30086 22011 42915
-2.435505614478932301e+01 2.473859352572359569e+02 6.753216265038365362e-01 7802 30009 12679 50648
-2.571279105765505690e+01 2.473865670634851881e+02 6.482784121948335088e-01 7523 29877 11653 42331
-2.697963681516288759e+01 2.473867829070255482e+02 9.152768874274603839e-01 6865 29178 23653 40182
-2.753730703276126590e+01 2.473868313888004593e+02 6.953270149474978234e-01 6852 29211 40219 52218
-2.782867387304798257e+01 2.473868501683188299e+02 3.945290809044966207e-01 6732 29319 39184 68890
-2.840853909177489101e+01 2.473868810964002023e+02 6.801853931248192341e-03 6606 29354 44443 67882
-2.885179406008972336e+01 2.473868995956503340e+02 4.374734314794636036e-01 6443 29496 0 0
