# level_assignment log_likelihood tiebreaker ID
0 -1.428068673462107108e+04 9.313831178604086158e-01 3
0 -3.717917994319265563e+04 7.481388769522098192e-01 4
1 -1.921579471752015706e+03 2.457546877232074656e-01 4
1 -1.949629170087641569e+03 8.632890561663301154e-01 1
0 -4.259242163498412992e+03 1.045623818997458709e-01 0
2 -1.161702393473410098e+02 3.757433273034038734e-01 4
4 2.350202527785113489e+02 1.597841373339772275e-01 1
4 8.540709530524526372e+01 8.421281061337992924e-02 3
6 2.274742463256956739e+02 3.002222841404864617e-01 3
2 -1.433458245176070989e+02 3.708450283086013322e-01 0
1 -1.382565222339802631e+03 1.962718795809861860e-01 4
2 -1.567687687892628219e+03 1.259362229324908489e-01 1
3 2.048759419027630599e+02 6.484860057098426056e-01 2
5 2.302613557300700222e+02 9.977439555893713452e-01 0
0 -6.039698736939016089e+04 7.351492850550860325e-01 0
4 1.965811531042123761e+01 8.833139390671616020e-01 1
1 -7.037857335709225026e+02 2.662811501894957189e-01 4
3 -6.501524981805090420e+01 9.034326852943292963e-01 4
7 2.357625070666989302e+02 4.250533124026443232e-01 2
3 -3.212635754729632254e+02 2.872175585970179051e-02 3
6 2.453686292364736232e+02 7.586099787901077196e-01 1
6 2.375029755738772508e+02 8.808323537093947220e-01 0
3 -3.261084617330047877e+02 8.036047331072011524e-01 4
1 -3.190550239329520082e+03 8.694683457224178236e-01 4
8 2.418640962089333470e+02 4.196804390944430807e-02 3
0 -7.038979221376920577e+03 1.539511581582564403e-01 2
6 2.397358805007779665e+02 2.294946332924589771e-01 0
7 2.402130563373214613e+02 1.081262182630058355e-01 0
3 -7.505961771522873960e+01 2.391096156244875148e-01 0
8 2.437767869891075918e+02 4.050570482927400850e-01 0
7 2.404277538268808598e+02 6.553270036665681531e-01 0
11 2.471905103494021319e+02 8.055116341838118865e-01 1
10 2.463714437172330918e+02 7.553598852538970787e-01 2
11 2.470148543981158866e+02 3.451941866692500582e-01 1
11 2.468615811621031071e+02 4.296105706595179097e-01 2
12 2.474025859313602496e+02 5.535230883360748866e-01 1
10 2.462113995032237312e+02 9.139252897107539297e-01 0
10 2.466249464124963424e+02 4.983456749781596251e-01 0
7 2.388277691995327814e+02 9.193588700069579289e-01 0
14 2.477150472054446197e+02 3.994231989494849144e-01 1
14 2.476847527551078372e+02 4.378555688977718297e-01 1
14 2.476292408708404196e+02 5.620491632965839424e-01 3
1 -4.477326156328794241e+03 4.759104504535191515e-03 0
13 2.476690928108193930e+02 7.919277714423409442e-01 2
7 2.344609326220969194e+02 4.419584898029871312e-02 0
16 2.477093714746660851e+02 3.574380366544348264e-02 4
4 5.214800613769644144e+01 2.344775067897533205e-01 3
17 2.477244884471427326e+02 8.650664455892089766e-01 1
16 2.477221706916109554e+02 8.606918684236508632e-02 1
14 2.476396287042742301e+02 1.356011366224885162e-01 2
16 2.477063323727746251e+02 8.939736642119275878e-01 4
16 2.477022350503685857e+02 3.200371757860929756e-01 2
15 2.476810123387825797e+02 4.047334997077420282e-01 1
16 2.477183979673976921e+02 3.033177804768669716e-01 2
11 2.472638931689247954e+02 5.201242121659852558e-01 2
16 2.477096813319898558e+02 2.336038260700696867e-01 1
17 2.477209648617775315e+02 1.149920001327581903e-01 4
19 2.477275536635293918e+02 9.319169757075407290e-01 4
19 2.477287301826487464e+02 8.549651194129710419e-01 1
16 2.477256556925679547e+02 8.790651275986706148e-01 4
16 2.477087780427368955e+02 7.995913658345259467e-01 4
17 2.477220634555831964e+02 2.112255699567325840e-01 2
17 2.477197455555481156e+02 9.455827467317897694e-01 1
10 2.466039908646670540e+02 5.254793489358520198e-01 0
16 2.477239427339102349e+02 6.014775892987529460e-01 2
13 2.476607732011661085e+02 9.848719001971506515e-02 3
17 2.477216960743377854e+02 1.732247817918385613e-01 1
16 2.477019801375289489e+02 5.278417659993177580e-01 3
22 2.477305511120144388e+02 8.298883004718240475e-01 2
18 2.477250020265272497e+02 8.519725775280215796e-01 2
9 2.460055603189479712e+02 1.469308472329569071e-01 3
6 2.265911130421278585e+02 4.106256844847472331e-01 3
22 2.477302966947011100e+02 4.575655488839808216e-01 2
7 2.439575172629952533e+02 8.215825905036810983e-01 3
1 -1.481752890241502428e+03 6.587842840490916174e-01 0
24 2.477305827800652196e+02 7.897182501993565973e-02 4
24 2.477304808465834469e+02 3.879289233214784360e-01 4
7 2.412321858031229169e+02 8.037604654522363390e-01 3
