# level_assignment log_likelihood tiebreaker ID
0 -6.644789383536597143e+02 9.313831178604086158e-01 3
0 -6.533778245688587776e+04 2.576863532827883829e-01 1
2 -1.293438334748522493e+03 6.264416184213850158e-02 0
1 -1.294512693408764790e+03 2.496324692147240398e-01 3
2 -1.265087843770646032e+03 9.724150988172722831e-01 3
1 -5.325947186227751899e+02 5.792272256619086512e-01 1
4 2.348136697482105433e+02 6.394064844519096180e-01 2
0 -7.266343114103015978e+03 3.009657033903622714e-01 0
3 -1.911598143772003198e+02 4.466115365034184492e-01 0
4 4.711117140567630912e+01 4.872827914002901828e-01 0
2 -1.519588035604740753e+03 2.242495206021548615e-01 2
1 6.894921689995881309e+01 2.501696831457955739e-02 4
2 -2.097805039349415893e+03 9.033537794662164222e-01 3
7 2.332292712490377369e+02 8.758256250062945725e-01 2
8 2.377955087912879435e+02 8.690059877356055562e-01 2
3 -2.538575534431245728e+02 5.497097269817841081e-01 3
8 2.347426831027901244e+02 9.321159515098418336e-01 2
2 -9.092695089726513515e+02 5.226550462195693747e-01 0
3 9.226899917661174300e+01 3.842542927084482418e-01 1
9 2.379959853570518646e+02 2.132897159943905052e-01 4
2 -1.376610652223463148e+03 6.247374864489475543e-01 2
2 -1.811758755888427913e+03 5.661961248494745691e-01 4
0 -9.338243648118890633e+03 9.268132984628725257e-01 4
8 2.357764314598106239e+02 6.244401782910840026e-01 3
6 2.116953745481594638e+02 3.220196973257583584e-01 0
3 -1.584873274207831173e+02 8.793457194037012092e-01 3
3 -3.006878519582002696e+01 3.257931189935475702e-01 0
8 2.370182559987794093e+02 7.157081277087622428e-01 2
4 8.241225101331677649e+01 5.594908769205879651e-01 0
6 2.365304391843337726e+02 7.000984204552478385e-01 2
2 -1.972264873518500053e+03 8.569864579333312804e-01 1
12 2.380343710898016525e+02 6.767797803618355590e-02 3
10 2.379427823255540204e+02 7.291157652620828822e-01 3
12 2.380411402651054118e+02 5.876968576718997195e-01 2
11 2.379539133315950608e+02 2.772793964402162636e-01 0
6 2.199676608590700653e+02 9.611375354746702904e-01 3
0 -1.860368292004981777e+04 3.953383623054959051e-01 0
4 8.240225482088277431e+01 2.120183935497816918e-01 4
5 1.842573867950620752e+02 5.803670909632507868e-02 1
9 2.371659059416124933e+02 1.258011775981637270e-01 1
10 2.377180737991676551e+02 5.129084138992174441e-02 2
7 2.298948120928031074e+02 8.865960218134494308e-01 3
11 2.380132042687232854e+02 5.567832527138682347e-02 2
8 2.368943691629851571e+02 6.124465918761288208e-01 4
3 -5.328806499507022636e+02 6.599221325130426585e-01 1
7 2.269244563232428504e+02 6.871105946866293834e-01 4
8 2.364128004913029031e+02 7.401925205218836679e-01 2
0 -7.728337695679467288e+04 3.175848859875968766e-01 4
11 2.380218602307754168e+02 1.253415269906336116e-01 3
5 1.991802888025402467e+02 2.890863203627532241e-01 0
3 -4.115915712909426247e+02 8.218870757558427442e-02 4
10 2.378727979613220782e+02 1.708037091851508649e-01 2
6 2.282133061175414923e+02 3.728522096782564410e-01 4
4 -1.913445653434790117e+01 8.519260713214727998e-01 0
5 1.965356599139101093e+02 7.017591774692832907e-01 0
0 -3.916456966874285717e+04 1.727293668626811995e-01 1
4 1.603127965054228241e+02 6.859740567491903196e-01 0
7 2.368315815311336507e+02 2.974976797869006706e-01 4
9 2.375353805567241352e+02 5.725765618903970733e-01 0
11 2.379530351825530090e+02 9.032548354774954102e-01 1
9 2.376767564863206417e+02 9.957515455918428682e-01 1
11 2.380273644936859228e+02 2.229511414085649790e-02 2
8 2.349800530522896338e+02 6.736546457581837899e-02 0
16 2.380461420298758526e+02 7.656217592223233392e-01 4
16 2.380460984685270489e+02 9.525228967906684829e-01 4
14 2.380457740476021513e+02 6.239364075687688915e-01 2
9 2.373094312108520683e+02 1.987435862045192347e-01 3
6 2.210376819886847670e+02 1.411483164596063489e-01 3
8 2.362269245266387259e+02 6.768950279432429662e-01 4
14 2.380443208276569749e+02 7.929335281206609798e-01 2
15 2.380462523027705402e+02 8.457437741836233425e-01 0
12 2.380350477076070206e+02 6.084807816238239075e-01 3
9 2.377411260431762798e+02 8.302334377567276436e-01 4
18 2.380463365330825241e+02 2.451562908998186074e-01 0
9 2.377310330422919264e+02 8.176895845532077267e-01 3
16 2.380463131050554466e+02 3.299946600241310257e-01 0
19 2.380463531723708570e+02 4.326949953738790100e-02 4
17 2.380462321091916067e+02 3.918400247962310345e-01 1
17 2.380462309598963202e+02 4.518046931336182175e-03 1
17 2.380462665269242564e+02 5.636473259124405999e-01 1
15 2.380458933004257744e+02 6.979413075049022419e-01 2
0 -7.959413128856547246e+02 6.975857632338373915e-02 3
12 2.380208221180901660e+02 6.056524869357196028e-01 0
19 2.380463391612411783e+02 9.397072773880507102e-01 1
15 2.380457353994371488e+02 5.331745760721444682e-01 2
11 2.380331377983929428e+02 2.544952229574271030e-01 2
12 2.380320957858523911e+02 8.456234053513157489e-01 0
7 2.322378725742107122e+02 6.117716801447130592e-01 2
10 2.377389091889654367e+02 8.780341226953334299e-01 2
17 2.380462931785993703e+02 9.723134736389060784e-01 1
19 2.380463381651663042e+02 7.886408722584619113e-01 3
21 2.380463611413240983e+02 6.472974602959666868e-01 3
6 2.221785173123874699e+02 6.509765467718908738e-01 0
22 2.380463622677216335e+02 1.814782655394598376e-01 1
22 2.380463635931753856e+02 1.290963464024775520e-01 1
11 2.379648102554475884e+02 6.622082069389865211e-01 2
21 2.380463599059972353e+02 3.773307972206842997e-01 1
7 2.354384513505511904e+02 1.791562856601114639e-01 0
20 2.380463631061859360e+02 6.765927347424098848e-01 1
6 2.146348351785077568e+02 1.260032789152258914e-01 2
12 2.380352544197853035e+02 8.346561238256791082e-01 4
17 2.380462172713447160e+02 9.664911521990999788e-01 3
8 2.338267905875260908e+02 6.290073438596834876e-01 0
4 1.443636672585550400e+02 8.206927079955976811e-01 2
16 2.380462498865707062e+02 5.998667887702394674e-01 3
19 2.380463327591737652e+02 5.661477984203134861e-01 4
12 2.380294347209971590e+02 3.586533644181555402e-01 3
20 2.380463596691162138e+02 4.802276689158067602e-01 4
8 2.371907029588879539e+02 9.852834660830106506e-01 0
20 2.380463484345069958e+02 6.389557244581856033e-01 4
18 2.380463479569190781e+02 2.517851868317751429e-01 4
13 2.380456361775052017e+02 5.674791233642651443e-03 2
20 2.380463637292554608e+02 4.262986175873143546e-01 4
25 2.380463638935883921e+02 2.163848274642051206e-01 1
7 2.267762172947389558e+02 8.684757367903770398e-01 3
27 2.380463638795847032e+02 9.090170638348135657e-02 4
9 2.369252552579422968e+02 1.339679434470477659e-01 0
0 -2.605676509396361507e+04 6.233616393693774960e-01 3
28 2.380463639164549363e+02 5.731435195701447549e-01 1
28 2.380463639182858628e+02 3.757396157191870978e-02 1
2 -1.370386484687562927e+02 2.111862168206405169e-02 3
27 2.380463639139609882e+02 5.505873020253102545e-01 1
0 -5.382866086540179094e+04 2.444893058853689349e-03 3
23 2.380463636806532861e+02 2.583489657792930050e-01 1
1 -8.022511062227518778e+03 4.942269579415295988e-01 0
6 2.348910878589354638e+02 5.479006291915814453e-01 3
28 2.380463639169535668e+02 4.641318193513351287e-01 2
29 2.380463639448017261e+02 6.710353428028619227e-01 2
26 2.380463638990183313e+02 2.657720308797722336e-03 4
23 2.380463636244130612e+02 3.259019475452041292e-01 4
24 2.380463638092231236e+02 6.745494302732364389e-01 1
10 2.379530868712180336e+02 2.229854167280080901e-01 3
29 2.380463639426803866e+02 4.620489412928385775e-01 2
27 2.380463639475848652e+02 8.797641682752970205e-01 4
28 2.380463639135702465e+02 6.091690788124897171e-01 4
29 2.380463639318493847e+02 3.433360752623899614e-01 4
22 2.380463638378263624e+02 8.351959500713490581e-01 2
25 2.380463637666410932e+02 5.023585941636302676e-01 1
27 2.380463638721714688e+02 4.180283841184359028e-01 1
1 -7.468426979899736580e+03 6.754632164106409986e-01 3
29 2.380463639492219272e+02 9.638214468933892221e-02 1
7 2.327045688739500520e+02 6.852646255552058419e-01 0
28 2.380463639268299971e+02 1.183119548058751275e-01 1
16 2.380463399789171604e+02 8.176414258622660691e-01 2
24 2.380463636409619141e+02 8.843523281834444472e-01 1
5 2.074693301432019155e+02 9.984473976277836726e-01 0
21 2.380463602876780556e+02 8.043600477103263202e-01 1
