# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 181395 181395 85076 181395
-7.896646398820204027e-01 -1.997747587941153824e+03 4.901739880313016329e-02 178500 181662 93032 253030
-1.790166448294234547e+00 -1.533105568974774997e+03 5.831895110005212990e-01 174977 181510 101030 263011
-2.751495157612837250e+00 -1.458101783914637963e+03 4.171077738969009574e-01 170965 181770 95047 270560
-3.792690158677115342e+00 -1.435853419589607711e+03 7.001586920812092885e-01 167616 182275 101405 265365
-4.758653739751473211e+00 -1.422171849976273052e+03 4.342722647544054460e-01 165536 182635 102873 271641
-5.732626201341409100e+00 -1.410668485307855235e+03 6.595230491243525561e-01 162719 182422 112345 273297
-6.632567563369253349e+00 -1.401921778785381775e+03 5.003756022296564909e-01 160472 182245 110864 281740
-7.571839412063265939e+00 -1.394215622828427513e+03 9.608784316113405666e-01 157914 181474 102479 280893
-8.579310724456268744e+00 -1.387230335127878334e+03 8.131172633264139790e-03 156391 181805 88285 273565
-9.695884740761835374e+00 -1.380188677840832952e+03 5.855113614775646624e-01 154695 182479 91185 261809
-1.074456600977499043e+01 -1.374848545646428192e+03 5.094610363751657101e-01 153050 182344 97039 263511
-1.174365717061889924e+01 -1.370491239665235298e+03 7.286754066568277288e-01 151572 182914 123428 267413
-1.253849064614288622e+01 -1.367547803445190084e+03 4.965468948823634765e-01 150790 183305 148005 291446
-1.324344419736966927e+01 -1.365260677378165838e+03 9.401910288422978823e-01 149635 183658 159861 315519
-1.394862646627130331e+01 -1.363220074480656876e+03 5.373321651981914915e-01 148729 183855 110826 326853
-1.502270842538592355e+01 -1.360579396109275194e+03 3.982154163961406507e-02 147213 184145 121780 284785
-1.588628757763025590e+01 -1.358918081146250188e+03 5.729677154673695760e-01 145255 183897 132925 291924
-1.669194748617680801e+01 -1.357725405479781330e+03 1.418085116342611696e-01 144147 184199 97094 301709
-1.781224255340450568e+01 -1.356427142221584518e+03 5.958952215008850306e-01 142381 184570 83239 270198
-1.896954386981033025e+01 -1.355531599286015989e+03 9.281352498127679387e-03 139100 184474 86340 257955
-2.005327232257033998e+01 -1.355096271448684547e+03 8.908004874210564417e-01 136349 184511 96797 261360
-2.104727792094681504e+01 -1.354900626332746015e+03 7.594879759068302594e-01 133550 184710 87466 270037
-2.216045496632758116e+01 -1.354792763473458308e+03 7.174638905876231654e-01 129718 182968 124604 260135
-2.292197959991642620e+01 -1.354757083271399551e+03 6.132156619169926159e-01 128136 182592 119483 292109
-2.382580945810560280e+01 -1.354730868702680709e+03 9.239581227650007778e-01 126166 182227 122619 287532
-2.469176394879332648e+01 -1.354714658625144693e+03 3.231502904129679443e-01 125399 182459 64323 289350
-2.613296251363661682e+01 -1.354695335469893507e+03 8.983068080876508432e-01 122830 180919 88920 238811
-2.712230110781862891e+01 -1.354686706786681498e+03 3.294774734359954271e-01 122069 180610 46152 259408
-2.873899678775593713e+01 -1.354675325465280366e+03 2.617818358749846031e-01 120018 179681 66548 222192
-2.991657078133347269e+01 -1.354670464707830433e+03 6.627625777228849380e-01 119231 180036 84104 238570
-3.095409787596313222e+01 -1.354667510925781016e+03 2.115319269785673195e-01 119605 180612 59483 252639
-3.233967718272855052e+01 -1.354663747225717998e+03 8.438546435398867063e-01 117613 179331 95939 231278
-3.323328974567053962e+01 -1.354661958764525480e+03 5.469543639919971501e-01 117626 179696 132507 261835
-3.394423523643595786e+01 -1.354660693444386652e+03 3.377779322138967366e-01 117961 180416 105117 295230
-3.497370709212216155e+01 -1.354658943089934155e+03 5.367124968942543761e-01 117724 180606 60782 274514
-3.641532192384850219e+01 -1.354656598308846242e+03 3.697445312133708084e-01 117559 180265 68800 235028
-3.761383328068271936e+01 -1.354654888321503222e+03 9.311770097287066505e-01 117340 180137 39076 238421
-3.928630942625296285e+01 -1.354652413335140864e+03 9.448186206378097474e-01 115898 177861 28232 214096
-4.110499311791448207e+01 -1.354650258685901008e+03 6.822462745771316894e-02 112903 175101 46519 197209
-4.247491514643395050e+01 -1.354649008275777305e+03 8.146020472322490491e-02 111932 173832 87701 214015
-4.338028123110385792e+01 -1.354648358759576240e+03 9.811137191660002088e-01 110804 172592 117453 253976
-4.417438696152144217e+01 -1.354647822475395969e+03 5.073365875441022688e-01 109485 170455 135786 281580
-4.492795587122295586e+01 -1.354647285756535211e+03 6.476379426160847608e-01 108596 168718 160397 298182
-4.557878504315134194e+01 -1.354646809588658471e+03 5.758178602270020985e-01 107215 166654 141244 320728
-4.641377581899374860e+01 -1.354646133938015282e+03 3.567377711204700041e-01 104912 163593 72441 298495
-4.778152459724205414e+01 -1.354645061058226929e+03 4.474602796405235949e-01 103607 162556 67808 228663
-4.896828612052166108e+01 -1.354644384214829643e+03 6.869011965004325759e-01 102435 162674 79301 224166
-5.000250020794030803e+01 -1.354643956552824648e+03 2.234776652561642762e-01 102028 161951 30795 234928
-5.184025155707973909e+01 -1.354643082467165641e+03 9.186534978223568348e-01 99412 160070 0 0
