# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 329214 329214 112507 329214
-1.067012926348254176e+00 -1.546176812830675772e+03 8.657880224570768668e-01 311369 327472 159684 429872
-2.057965849117696866e+00 -1.449421471808303068e+03 9.999868909185145593e-01 294574 326960 162831 474835
-3.123686376530655728e+00 -1.418795381392432773e+03 9.575676802102786600e-02 284976 327067 178088 479037
-4.113833411959880948e+00 -1.400033610745102806e+03 3.251425489067193420e-01 278192 327582 171269 493696
-5.168886257631850611e+00 -1.384971322339892822e+03 3.920074366739745297e-01 271064 327333 212616 488070
-6.009365171215906187e+00 -1.376108441299352307e+03 2.098282717725797331e-01 266357 327956 212464 526732
-6.922278973762296062e+00 -1.368474349465089745e+03 7.344461080549312681e-01 261381 327993 212049 527497
-7.838415529913046242e+00 -1.362949939456202628e+03 6.324632346431232621e-01 254859 326894 209786 526183
-8.762367756769958049e+00 -1.359418655741944576e+03 6.554410371697060311e-01 248797 326519 175617 523943
-9.849908301372476416e+00 -1.356969288115501513e+03 1.060948952424922709e-04 241703 327273 188909 493051
-1.081165939433378398e+01 -1.355950171023222083e+03 8.736844610908279796e-01 234596 327349 192092 505230
-1.178061038964359497e+01 -1.355457869369413629e+03 5.769424141297150310e-01 229184 327855 212272 508236
-1.266069430313599753e+01 -1.355211494914633931e+03 5.311367479582551621e-02 224811 328451 209261 528287
-1.359078524635138585e+01 -1.355047520965907097e+03 8.200807971570986954e-01 219587 328110 170594 524543
-1.470659663726085675e+01 -1.354913474539041772e+03 9.984603046685229799e-01 214057 327045 153271 486430
-1.585130826668596526e+01 -1.354824592940976345e+03 8.553887567374842682e-01 206634 324966 176732 468340
-1.682745834799287366e+01 -1.354776662711322388e+03 1.728867376869901440e-01 201460 323036 189709 489091
-1.777765200388912703e+01 -1.354743849093963945e+03 8.667046574854317953e-01 197787 322043 114427 499643
-1.921615431105843541e+01 -1.354710468204116751e+03 9.524602068206359240e-01 190409 319843 146075 429271
-2.028857447042221906e+01 -1.354695168612538509e+03 5.134728066716679473e-01 187027 319560 193200 458698
-2.116143728803191237e+01 -1.354685736754781601e+03 1.385187684623726823e-01 185236 319832 223497 504243
-2.198518064310280451e+01 -1.354678562158404702e+03 2.656947808356595608e-01 182006 319544 233123 536777
-2.282774214215151432e+01 -1.354672502798141977e+03 1.371779344545414059e-01 179281 318137 228678 545370
-2.370363627768587378e+01 -1.354667168273058223e+03 2.902787222119407318e-01 177028 316919 247322 539268
-2.449417819969125532e+01 -1.354663110478549015e+03 8.119711856026954333e-01 175326 317041 262942 558041
-2.525850463449318539e+01 -1.354659701753955233e+03 5.926810060960230331e-01 172669 316619 334998 573232
-2.581523068609353544e+01 -1.354657551370289866e+03 8.986103975909998098e-01 170837 316542 365349 645207
-2.640045167922068003e+01 -1.354655559603674192e+03 2.168645423784567594e-01 169679 316572 332649 675601
-2.712033638056837859e+01 -1.354653351890794283e+03 8.061419998017282929e-01 168017 316700 0 0
