# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32100 32100 14685 32100
-7.997477722651420429e-01 -1.548154028738843408e+03 5.112649285891643913e-01 26802 32075 20526 45352
-1.604784143385560968e+00 -1.428661015636595039e+03 4.223819011305628840e-02 23826 32054 17553 51207
-2.671186963912276724e+00 -1.383657451787651553e+03 8.614439187370379614e-01 21395 32051 21389 48624
-3.502472641437898382e+00 -1.368383258819651928e+03 8.635942069546452826e-01 20044 32120 12759 52215
-4.883149799039246730e+00 -1.358792598546328463e+03 8.522281462508446426e-02 18207 32074 18690 44237
-5.753383974751781871e+00 -1.356860251546175732e+03 8.032504151084801647e-01 17244 32035 16012 49416
-6.872213247413595738e+00 -1.355675266121037566e+03 7.417350837315050960e-01 16165 32008 18900 46971
-7.788003695887932842e+00 -1.355261801945410525e+03 7.067472260540277329e-01 15346 32100 19413 49760
-8.732686068313327610e+00 -1.355076362400848666e+03 9.621894880632990699e-01 14409 32148 22342 50043
-9.549615291715339183e+00 -1.355004126940824108e+03 9.683649000608385293e-02 13922 32133 19025 53205
-1.057639917386029182e+01 -1.354952277141909462e+03 7.763831053239191871e-01 13385 32174 19110 50334
-1.154670452563208016e+01 -1.354925615792882354e+03 7.229497906959957421e-01 12959 32212 15698 50323
-1.270108857848020101e+01 -1.354909442187291233e+03 8.937237786773192250e-01 12327 32445 16184 47228
-1.376744820540783820e+01 -1.354901399436748079e+03 4.051455616655546543e-01 11877 32450 30635 47542
-1.423404222976557776e+01 -1.354899422775224139e+03 4.097633680769809383e-01 11619 32488 22941 61109
-1.521476320577538566e+01 -1.354896558621039730e+03 6.076108474819448269e-01 11390 32351 16892 54190
-1.637053526336183751e+01 -1.354894476029122416e+03 5.799042699607959150e-04 10745 32447 19515 48429
-1.728480081420791237e+01 -1.354893601625952897e+03 4.863643842414139273e-01 10342 32466 32309 51463
-1.777457618459705913e+01 -1.354893377384279120e+03 3.686789371302758855e-01 10117 32534 39665 63797
-1.826928280506952973e+01 -1.354893184408518891e+03 9.023918848495173783e-01 10033 32601 36056 71262
-1.896223558356085448e+01 -1.354892960184694402e+03 2.866864596145439759e-01 9782 32561 36777 68129
-1.959299352278297590e+01 -1.354892821533842834e+03 8.638083534519748197e-01 9595 32427 22561 68568
-2.069940550213897623e+01 -1.354892668369158173e+03 6.188276292663119627e-02 9162 32209 37769 54133
-2.108579629662307653e+01 -1.354892638354755491e+03 8.800524882058222698e-01 8882 32024 32072 69152
-2.186320344256470349e+01 -1.354892593583444295e+03 5.496748565846978352e-01 8312 30703 24321 62120
-2.280385977244541706e+01 -1.354892560969782380e+03 2.205795669721397345e-01 8011 30545 26463 54238
-2.353513821854339838e+01 -1.354892546856743138e+03 3.197870670698446105e-01 7850 30700 32083 56513
-2.412010986938723178e+01 -1.354892538727227020e+03 9.514705477822078539e-01 7658 30816 33838 62267
-2.474569211397635016e+01 -1.354892532872144784e+03 2.926001064363441539e-01 7488 30749 0 0
