# level_assignment log_likelihood tiebreaker ID
0 -1.480629505756834078e+03 1.596773640228092150e-01 1
1 -1.511380776073509423e+03 5.626244436110482416e-01 4
0 -1.640606656568858398e+03 5.816467925130999195e-01 0
1 -1.465819283582397020e+03 6.020587099648629925e-01 1
2 -1.401829714097936858e+03 1.467269154826614241e-01 2
2 -1.357621038285471741e+03 4.218890892569859830e-01 1
0 -1.664553576809784772e+03 5.320431906018109336e-01 0
3 -1.375570398804399247e+03 2.053796240779656723e-01 3
1 -1.498372764665218938e+03 6.667466190868882592e-01 0
4 -1.365783643595610556e+03 4.750900199876791907e-01 3
4 -1.363702395491480274e+03 4.241467748687208772e-01 2
6 -1.355675266121037566e+03 7.417350837315050960e-01 1
3 -1.367116100734089741e+03 1.723577038264304528e-01 4
4 -1.363514788991768000e+03 6.188715242880626910e-02 3
1 -1.437206585730438974e+03 6.634868640538398310e-01 1
6 -1.356722345365088131e+03 6.890120026882033955e-01 4
8 -1.355099609501774012e+03 2.506463709715544552e-01 0
1 -1.437505783131761973e+03 2.800935613296491877e-01 3
9 -1.355038490937643928e+03 9.558580340018743016e-01 4
8 -1.355186156169889273e+03 9.609302551717491259e-01 2
2 -1.420414909438276936e+03 4.488043440496261027e-01 0
6 -1.355681813502162186e+03 2.726302043615115300e-01 1
9 -1.355052909967949745e+03 3.979268193601055437e-01 2
11 -1.354945985441860103e+03 4.596520709588045595e-01 3
7 -1.355512474713324991e+03 4.129573913706510169e-01 1
11 -1.354940848379567797e+03 8.712878593791153481e-01 3
11 -1.354945016848162595e+03 6.048794517647295699e-01 3
11 -1.354933320178149188e+03 8.603096525537377026e-01 3
11 -1.354952078091118437e+03 4.019226505302577745e-01 3
8 -1.355078283950579817e+03 3.880239672878393886e-01 1
10 -1.354904384954882516e+03 4.983204671434171562e-01 1
8 -1.355201064905001203e+03 3.745718017015544632e-01 2
8 -1.354929329581332240e+03 4.603882155653953312e-01 4
9 -1.355011809146877795e+03 8.388339960590309730e-01 3
11 -1.354904055278798523e+03 8.389949309660492682e-01 1
3 -1.361966511510030386e+03 7.478931257533481813e-02 3
2 -1.396483479370263012e+03 4.873882414796998352e-01 3
14 -1.354901113630162854e+03 2.817019921466719090e-01 1
2 -1.394213089613905140e+03 9.380068946353148363e-01 3
11 -1.354930234743771962e+03 1.475493702354307990e-03 0
9 -1.355005371655533736e+03 3.459990111692602677e-02 4
9 -1.355018150177583266e+03 7.618563581088383385e-02 0
12 -1.354925055568895687e+03 6.252493099499405460e-01 1
12 -1.354916333261130376e+03 9.105637437078080154e-01 1
6 -1.356129655955570570e+03 2.181659979805909977e-01 1
10 -1.354975568768404628e+03 6.514608092703215725e-01 2
12 -1.354919853923368919e+03 1.471294214115079768e-01 1
12 -1.354925460167960864e+03 6.934692252802430179e-01 1
16 -1.354894479828877593e+03 4.090847630632755694e-01 4
12 -1.354920288050910131e+03 5.640346669507652066e-01 1
9 -1.354989182346144844e+03 5.913732111152469884e-01 0
6 -1.355586375870257598e+03 1.580679822938840240e-01 0
16 -1.354896192196362563e+03 8.555321869070006136e-01 0
14 -1.354894818676369141e+03 8.002689703096254048e-01 0
16 -1.354894760679763976e+03 6.007961956483941490e-01 0
3 -1.374837127595381162e+03 6.910784360855259933e-01 1
18 -1.354893434017616528e+03 2.260892313804157006e-01 0
2 -1.384644296478951446e+03 5.699130605429770791e-01 1
17 -1.354893546515192838e+03 7.636464137837926103e-01 0
16 -1.354895350916011012e+03 8.253772918899245914e-01 4
15 -1.354896338839243299e+03 3.741268818018044229e-01 0
19 -1.354893295962933280e+03 7.709888628779318909e-01 0
6 -1.356859088017502017e+03 8.840333885025757343e-01 3
18 -1.354893585021669423e+03 1.891480809495060811e-02 4
5 -1.355721927117917176e+03 4.633534127128009494e-01 1
17 -1.354894230931333823e+03 1.409770562977292752e-01 4
8 -1.355117294093752207e+03 4.502336360280075334e-01 2
20 -1.354893058566585296e+03 9.250418055488940361e-02 0
12 -1.354911094803448577e+03 9.770707481440483733e-01 3
10 -1.354985290016499675e+03 6.554621321584340743e-01 2
13 -1.354900706665710914e+03 1.706002168673466102e-01 3
12 -1.354906839273321566e+03 2.433592612420907020e-01 3
11 -1.354940532467543562e+03 8.780167604880602106e-01 2
12 -1.354916070454322380e+03 1.951631115044030196e-01 1
19 -1.354893085231887426e+03 1.270410135854049827e-03 4
14 -1.354898730419152116e+03 6.295092284691152784e-01 0
12 -1.354910922607321254e+03 9.455676115917686086e-01 1
16 -1.354896418973883556e+03 7.693440017399555408e-01 0
20 -1.354893089609155595e+03 2.060661470231508474e-01 4
19 -1.354893069123276291e+03 7.622320824610886447e-01 4
22 -1.354892762571189678e+03 8.834228074175921874e-02 4
20 -1.354892731626491695e+03 6.434355198329047010e-01 4
11 -1.354945475400563510e+03 2.279253709278812323e-01 2
15 -1.354897156971079312e+03 2.130075599408125520e-01 0
15 -1.354897508985567356e+03 1.881224935439681778e-01 1
9 -1.354899376490025361e+03 9.913432203697010170e-01 1
21 -1.354892768259121112e+03 1.262588304737699563e-01 4
16 -1.354895823340433708e+03 5.114596214201734374e-03 0
13 -1.354902142886111506e+03 3.397675340092106699e-01 3
14 -1.354900873997838971e+03 8.108764264289884949e-01 3
12 -1.354922622642787474e+03 2.889384297508837407e-01 3
11 -1.354946070606609510e+03 4.420714285658779996e-01 3
10 -1.354970540424470073e+03 3.994561169155899094e-01 3
22 -1.354892772944285070e+03 8.415897081864263107e-01 2
24 -1.354892539997438462e+03 4.942950196009796571e-01 4
23 -1.354892650250978022e+03 7.009631535122406998e-01 2
14 -1.354895958780966339e+03 7.313995875043786121e-01 0
9 -1.354902826730915422e+03 2.154392066783643866e-01 1
17 -1.354894208474053357e+03 2.953567115326705128e-01 0
23 -1.354892609592276585e+03 7.625384312081081584e-01 2
22 -1.354892686233291897e+03 2.892252382860023285e-01 2
13 -1.354901312226047594e+03 7.420648100172710926e-01 1
18 -1.354893462247893012e+03 2.794982498771383383e-01 0
16 -1.354894349573390173e+03 8.098894819466457839e-01 0
24 -1.354892614851768940e+03 3.232910805254818887e-01 2
24 -1.354892624210845952e+03 6.135710320577841825e-01 2
17 -1.354894122454796616e+03 3.078333357595769426e-01 1
15 -1.354898142488350004e+03 5.569502363667169220e-01 3
16 -1.354896266479030828e+03 4.311387595037885490e-01 3
28 -1.354892538290386710e+03 7.396859463341443064e-01 4
22 -1.354892557976578928e+03 7.924122088395895158e-01 4
19 -1.354893241045136620e+03 8.721705874125587066e-01 0
15 -1.354898548328204924e+03 1.713750259870048254e-01 3
16 -1.354894418172415726e+03 1.692831600351412114e-01 3
20 -1.354892860352859998e+03 2.424911935859275780e-01 2
20 -1.354892985974192015e+03 5.659307351861898594e-01 0
20 -1.354893051693958569e+03 1.328273644217799754e-01 0
26 -1.354892559703376492e+03 2.260425440372184624e-01 4
19 -1.354893236842639908e+03 7.870536580269200666e-01 0
18 -1.354893536622050760e+03 7.279185713532649871e-01 3
20 -1.354893148849090039e+03 6.841620430455797042e-01 0
15 -1.354895579319252420e+03 6.300699298466412301e-01 3
13 -1.354899456269354232e+03 4.235331422976020832e-01 0
3 -1.355657872780431262e+03 2.221194814069687995e-01 0
3 -1.376533297287484629e+03 7.788948322532611712e-01 3
6 -1.355623018134631593e+03 2.180983043049007364e-01 3
4 -1.359389625246128389e+03 4.403863850102741617e-01 0
5 -1.356072364442903790e+03 3.612155671466305007e-01 0
29 -1.354892522239460959e+03 7.197487793447259197e-01 4
21 -1.354892828494002060e+03 6.000788184147989313e-01 2
5 -1.356238683248583357e+03 7.667527194550316505e-01 1
12 -1.354924443528173924e+03 6.167904349145802989e-01 0
1 -1.522882424430717265e+03 1.436299920646363082e-01 1
23 -1.354892597164530798e+03 2.735605830919373149e-01 2
8 -1.355049084264718203e+03 6.704542125155632526e-01 1
8 -1.355126588145503547e+03 1.902975030221921160e-01 1
6 -1.355107311871039201e+03 8.256121867994354879e-01 1
11 -1.354927037404065459e+03 2.650836891386021410e-01 0
22 -1.354892658594308159e+03 4.525172903525139234e-01 2
25 -1.354892590423452248e+03 3.635516106010605597e-01 2
