# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31726 31726 14097 31726
-8.268925186305609021e-01 -1.499823769778268343e+03 8.317011370061089259e-01 26396 31778 18502 44580
-1.713851686803373742e+00 -1.402018626760174584e+03 6.444602798990435311e-01 23294 31726 20459 48960
-2.593716637512108569e+00 -1.378792099870991706e+03 3.727052000949228061e-01 21007 31806 19215 50940
-3.570120381886648264e+00 -1.366658271844562023e+03 2.873321768039680535e-01 19258 31773 21337 49778
-4.425753834285938382e+00 -1.361020972900086463e+03 2.345635041198063375e-01 18314 31848 15599 51775
-5.612812481403489429e+00 -1.357597748089672677e+03 1.916437442652108025e-01 17117 31994 9825 46702
-7.125286644777885314e+00 -1.355653892484357812e+03 3.768609156288734163e-01 16083 31896 12367 41078
-8.309989206450296706e+00 -1.355021931315820211e+03 3.161873511803858783e-01 15097 31940 15130 43576
-9.363796766460744436e+00 -1.354753306187325279e+03 5.213580404931121848e-01 14459 32110 18185 46413
-1.030468225072086241e+01 -1.354639494263087727e+03 8.582184801970695887e-01 13750 31884 23131 49274
-1.107403655817599564e+01 -1.354588940663722042e+03 5.242037633412000019e-02 13324 31920 34238 54011
-1.155337161646030886e+01 -1.354568436235310173e+03 1.301134438241003943e-01 12935 31889 26123 64370
-1.245959082108322491e+01 -1.354544035150214768e+03 9.514086904227182506e-01 12576 31910 15819 56860
-1.372213419729331285e+01 -1.354526194253269068e+03 4.940921978037948747e-02 11771 31863 15798 47317
-1.481276117160076389e+01 -1.354519633191880303e+03 3.023638294077936606e-01 11206 31762 24105 47061
-1.549968619560127259e+01 -1.354517311720778707e+03 3.849339222801913540e-01 10999 31665 20840 54909
-1.647016311683848144e+01 -1.354515084676523657e+03 6.295582786624662752e-01 10350 31605 17426 51876
-1.755560433400030362e+01 -1.354513928366605796e+03 1.274815694766029406e-01 9969 31614 15778 48394
-1.866852235082761169e+01 -1.354513255252812542e+03 1.482934487609560148e-01 9728 31540 12317 46690
-1.997635644358211238e+01 -1.354512881423787348e+03 4.583438852698842880e-01 9202 31481 21596 43162
-2.068704564090620224e+01 -1.354512770540008205e+03 8.651373616561803814e-01 8948 31476 24928 52427
-2.144343155462473760e+01 -1.354512697145567927e+03 2.276128310096409424e-01 8758 31521 13726 55442
-2.281359605355437736e+01 -1.354512627190391186e+03 1.484556302316635268e-01 8108 31371 16127 44543
-2.382849038845686351e+01 -1.354512602705275640e+03 7.626983418483950228e-01 7831 31271 22704 46767
-2.456658579553907629e+01 -1.354512591797781170e+03 8.442520096834846832e-01 7579 31283 36080 53327
-2.498316141243577349e+01 -1.354512587991377131e+03 8.284799336056100083e-01 7501 31352 29230 66797
-2.581685072465972652e+01 -1.354512582243408360e+03 3.306843840609501872e-01 7150 31415 24383 60004
-2.672212696680216126e+01 -1.354512578993180568e+03 7.882680336849177127e-01 7081 31500 8918 55232
-2.847866435718745493e+01 -1.354512576151416624e+03 4.103310610372865597e-01 6562 31298 0 0
