# level_assignment log_likelihood tiebreaker ID
0 -1.707355278968003859e+03 9.313831178604086158e-01 3
1 -1.422506935138512063e+03 2.810134423785166091e-01 0
0 -1.482920387014156404e+03 1.578801160490026501e-01 1
3 -1.362105263177210645e+03 3.086440928152733854e-01 2
2 -1.386496244892226741e+03 5.216851563724649310e-01 3
0 -1.374032205122591449e+03 2.177793376949707649e-02 4
2 -1.357421598668192928e+03 7.296725335054555783e-01 1
2 -1.380490253580538365e+03 3.351489507574664795e-01 3
1 -1.386914589618455011e+03 9.481860862039090954e-01 3
3 -1.372164426403862308e+03 1.980802545785529389e-01 2
4 -1.362154717007448653e+03 3.077924869994581591e-01 4
2 -1.357529771898023228e+03 7.262300991618777513e-01 4
6 -1.356592315949904105e+03 1.455466356601159417e-02 4
4 -1.361514442276878981e+03 9.855315327925406876e-01 4
5 -1.358297511500117025e+03 8.080830916251334761e-01 3
4 -1.364067676470908282e+03 2.690134862554516282e-02 0
0 -1.371986686324386937e+03 9.088665935171025279e-02 1
5 -1.358112158810578876e+03 8.242118019730741707e-02 4
4 -1.362675951701420672e+03 7.515911202742808772e-01 0
8 -1.355743796223729532e+03 4.033009211235665248e-01 1
9 -1.355387102264823625e+03 3.435677867550712694e-01 1
3 -1.366254705660315949e+03 2.389856184692784602e-01 3
7 -1.356245928935073835e+03 8.570732075596110278e-01 2
8 -1.355567801487992028e+03 9.323477443249181817e-01 1
9 -1.355581319215031272e+03 2.592183668801720242e-01 0
0 -1.652675985219904533e+03 2.070230539338724363e-01 4
9 -1.355660323738936768e+03 8.205354188718522179e-01 1
10 -1.355426434830375001e+03 3.910684920130188535e-01 1
11 -1.355230790169202010e+03 2.946812404161846533e-01 3
9 -1.355315341274511638e+03 8.175054235232305233e-01 1
12 -1.355293629267271172e+03 2.436364733769591229e-01 3
11 -1.355274862461290923e+03 9.847814557437284400e-01 2
6 -1.356619750399587474e+03 9.724241476764551306e-01 4
6 -1.355963143042316460e+03 5.689498349543826716e-01 1
10 -1.355427091230607857e+03 6.211963827152173767e-01 0
1 -1.434625365338006759e+03 5.397613843317861093e-01 4
6 -1.356765003485575335e+03 5.764709703515702444e-02 0
1 -1.421146070499345342e+03 6.173863700376038821e-01 4
8 -1.356047779362501160e+03 2.343303602110573536e-01 1
7 -1.356406877238156540e+03 2.439768464834681239e-01 1
7 -1.356157146592835943e+03 7.859803401823333147e-01 1
11 -1.355367126070342010e+03 8.984079415192018914e-01 2
13 -1.355133429675016487e+03 6.266576715959031318e-01 0
0 -2.016206741886055170e+03 1.436506287286487826e-01 4
0 -1.641281335457442310e+03 5.128842737211491976e-02 4
7 -1.356167108260500072e+03 9.835641971115913762e-01 2
9 -1.355680037122921021e+03 6.744466754424107702e-01 2
10 -1.355467156018622745e+03 6.291969212485589713e-01 2
