# level_assignment log_likelihood tiebreaker ID
0 -1.462868234940128787e+02 1.440075494667957812e-01 0
1 -5.840565652329935347e+02 4.052058921739445929e-01 0
0 -3.925185078731834096e+02 8.600514282276847666e-01 0
0 -8.166510987987552653e+03 5.525900745414258353e-01 3
2 -1.872925173100494192e+02 6.759475369985859516e-02 1
0 -7.014387016412160847e+02 2.962439873961573156e-01 1
1 -5.994558519766160316e+02 6.215273323347035861e-01 0
3 5.166568296393397475e+01 6.060238646411666430e-01 1
1 -3.600797097440532752e+02 3.202012287537061574e-01 3
0 -5.430418455299081870e+03 6.822558566692626947e-01 4
4 1.656718097506525851e+02 3.879249578224278072e-01 3
3 -1.998731903519988862e+00 4.599082858528147355e-01 2
5 1.546102375969203990e+02 9.869331318125947883e-01 1
2 -2.202645798456412081e+02 7.987498718711592005e-01 2
8 1.782330871838568953e+02 6.510387497041225657e-01 3
5 1.602923742374481719e+02 4.677123790258259639e-01 1
8 1.800386246491169686e+02 9.322949809233094243e-02 3
7 1.784173372172164136e+02 1.604408158178944888e-01 4
3 1.196576004272182843e+02 1.849775466422229897e-01 2
8 1.798765321847237715e+02 3.270415415445107055e-01 4
7 1.790760983038164795e+02 3.286183072399035399e-01 3
9 1.798952446539608445e+02 7.265500952270564916e-02 0
10 1.798652668912963861e+02 6.064780480441323007e-01 2
10 1.800734163998665736e+02 2.173144612975974610e-01 1
6 1.629493305230893156e+02 3.859470718845456894e-01 0
11 1.803303942367688819e+02 5.610726187406851473e-01 1
12 1.804280916411489386e+02 6.872708640946585401e-01 4
13 1.804963546363839271e+02 7.893307679952589473e-02 4
10 1.799746957728941936e+02 1.248521229471239169e-01 4
14 1.805708916498753638e+02 5.441439881944942769e-01 0
8 1.765483846289970415e+02 6.681535267419632662e-01 3
14 1.805585810364657959e+02 2.765322638615940187e-01 3
14 1.805479318573471517e+02 2.095966397279822313e-01 0
15 1.805553479074545749e+02 8.352293342751055949e-01 1
15 1.805670909518584892e+02 3.583758726227558311e-01 1
3 1.680389865818342230e+02 5.632226201848755665e-01 2
16 1.805670412878592686e+02 1.186837994041848310e-01 0
16 1.805658151650285674e+02 1.232720291918250749e-01 3
