# level_assignment log_likelihood tiebreaker ID
0 -8.938267873654446305e+01 3.798980599434820249e-02 2
0 -7.678982693629659479e+03 6.322289610206785482e-02 2
2 1.726266396679998252e+02 4.448057559518313608e-01 3
2 1.558950901999961047e+02 4.495798739159138080e-01 3
1 -7.038788127609268486e+01 4.430319647613870648e-01 1
3 1.740021404781300589e+02 4.377384369149052712e-01 0
3 1.049702250350289887e+02 1.091568014121842567e-01 4
6 1.778648779000780564e+02 1.367499589551205430e-01 4
4 1.496084360862648452e+02 3.500868132205141592e-01 0
2 9.471128221405678005e-01 1.110737233329388701e-01 3
4 1.520793203281933188e+02 9.970979934088239904e-01 1
5 1.616604934267745080e+02 5.092822614760850186e-03 0
6 1.761556793427256196e+02 3.194434200585057754e-02 3
7 1.794914672227133678e+02 5.131687888569439471e-01 4
0 1.164687328742415389e+02 3.260820968243038909e-01 1
3 7.517567793769298135e+01 8.408850477918498045e-01 2
6 1.764624035208328792e+02 3.146152404645619072e-02 4
8 1.800138854128432513e+02 2.552868539298029926e-01 0
8 1.803659867484450388e+02 9.631490913673881327e-01 1
9 1.801915100968478782e+02 4.218054747055905995e-01 2
8 1.793966330663268707e+02 1.094703105874650362e-01 2
8 1.795685661942943341e+02 9.872364734780625373e-02 4
6 1.762205372395550000e+02 8.638352769565247335e-01 4
9 1.801981029536854066e+02 8.907620714536648165e-01 1
3 1.429191157797204426e+02 3.834902133241611111e-01 4
4 1.415349039706525218e+02 7.624583348396248850e-01 0
3 1.400525795203718928e+02 3.056181472167907032e-03 0
8 1.800543494970828533e+02 1.519740807170912866e-01 0
12 1.804784736172828730e+02 4.933236454398522985e-01 2
5 1.731095856497400689e+02 3.062751093369072697e-01 4
4 1.440313457927490504e+02 3.181946855662851070e-01 3
11 1.804327849976637310e+02 4.756676865639238305e-01 1
12 1.804721229423109321e+02 8.121229063051628172e-01 0
7 1.778924101725048956e+02 5.924493978925613469e-01 2
8 1.793914576063449431e+02 9.078594996736057965e-01 3
13 1.804731645688277979e+02 5.799305246169428329e-01 4
2 6.525017119709085023e+01 2.157621960032071184e-01 1
5 1.671934758858077998e+02 5.295033363713060881e-01 0
8 1.798109711471298056e+02 3.970810511919038444e-01 1
15 1.805111675810380518e+02 5.553790442274978423e-01 4
12 1.804655457410991914e+02 5.478589040395114296e-01 4
15 1.805077597055092724e+02 2.507850280019464639e-01 1
0 -2.206795712350803115e+03 8.577290355539569644e-01 2
12 1.804662170458079800e+02 3.082300679529992316e-01 4
10 1.803841917343578984e+02 9.227003946743661533e-01 4
8 1.795401278446305469e+02 9.498993979759055017e-01 0
9 1.800958614765467019e+02 4.862694410492451880e-02 0
12 1.804905784196226364e+02 1.650773878713147624e-01 4
10 1.802845740238119845e+02 9.998339743174500249e-01 4
13 1.804859849080535810e+02 6.493903372169518295e-01 4
12 1.804370442298872774e+02 5.178169722035615985e-01 4
14 1.804998333239116164e+02 8.763056952413955658e-01 3
13 1.805092916941090095e+02 6.172996197600725266e-01 3
7 1.804299119842463597e+02 7.290141676532370107e-01 2
12 1.804447918014021752e+02 4.577128242917924972e-01 4
18 1.805134189669702209e+02 2.074436624985917521e-02 3
9 1.801699205447366694e+02 2.287601535390368368e-01 2
9 1.800859860011032083e+02 7.711771587130797911e-01 1
14 1.804993961783491443e+02 9.800137195845245452e-01 2
17 1.805120677592816492e+02 3.589219961043610407e-01 4
18 1.805142420666603584e+02 2.263760931897902950e-01 1
