# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33295 33295 14217 33209
-8.606885237244783493e-01 -8.896946578063475499e+02 2.493601016468522669e-01 29376 33279 18289 46091
-1.789696840346752804e+00 -6.793721292223787600e+01 2.661486437084028545e-01 26441 33137 23856 50200
-2.547150801753600646e+00 6.453736794654471964e+01 7.318182442646739005e-01 24673 33236 24993 55644
-3.357307105970407601e+00 1.263773820223503748e+02 3.970441150268735342e-01 23514 33259 25896 56934
-4.155222045373630380e+00 1.557582088757450265e+02 4.123890302420574194e-01 22444 33243 18807 57827
-5.271672660773323749e+00 1.722605475275669562e+02 8.912871039940236662e-01 20612 33155 19244 50919
-6.246266098768538555e+00 1.771106063943983031e+02 3.722880107261540839e-01 19382 33329 17700 51395
-7.308297346891735380e+00 1.791097746400532174e+02 3.718099322219146630e-01 18124 33065 18126 49677
-8.315999743764768581e+00 1.798359655228478573e+02 7.158910562847675685e-01 17002 33014 16587 49999
-9.412926044961388072e+00 1.801986279806406515e+02 3.330343062046741132e-01 16115 32884 16724 48421
-1.047203088741693655e+01 1.803597587728332314e+02 3.630032545818794865e-01 15228 32800 19661 48437
-1.137941573712851095e+01 1.804272397367224414e+02 1.512870818518646521e-01 14546 32682 20490 51215
-1.230020215111179027e+01 1.804662796479429119e+02 2.753371054766285894e-02 13851 32487 18218 51925
-1.334481058552827193e+01 1.804892791468702455e+02 4.833353004288984955e-01 13228 32494 16721 49963
-1.443353862582569569e+01 1.805011751430467655e+02 7.554409983380253601e-01 12861 32690 19437 48876
-1.536021037330781169e+01 1.805062218543064319e+02 2.470338922493313660e-01 12231 32668 24807 51473
-1.610393400976549927e+01 1.805086156924082275e+02 5.890188847185670040e-01 11805 32638 25431 56792
-1.691681715609083625e+01 1.805102416180305624e+02 8.216363564925835972e-01 11527 32660 38522 57462
-1.734052881142536151e+01 1.805108554832943923e+02 7.765052946833330694e-01 11321 32626 48773 70496
-1.772921468289976588e+01 1.805112968952524568e+02 1.590153202683875222e-01 11104 32596 41696 80188
-1.839434215585064436e+01 1.805118098590909881e+02 4.239196089509011944e-01 10737 32607 50304 72946
-1.878555015244337412e+01 1.805120081936184420e+02 7.015550483508222745e-01 10590 32522 42325 80701
-1.944224423047160499e+01 1.805122722475065586e+02 6.149261775038804972e-02 10138 32457 27727 73284
-2.041532519811691770e+01 1.805125162815816680e+02 1.167489847335867470e-01 9943 32521 15979 59491
-2.171139147406321612e+01 1.805126720223863117e+02 8.047510513513642660e-01 9503 32503 22690 48062
-2.247567980740929627e+01 1.805127200090101951e+02 1.233920814715216974e-01 9256 32559 12725 54606
-2.390107273260623799e+01 1.805127628874742527e+02 8.934062931115613893e-01 8601 32547 15980 44612
-2.492595066798918069e+01 1.805127745686700678e+02 3.116804719193740913e-01 8466 32467 16645 47823
-2.597782116066771607e+01 1.805127821039469609e+02 6.190072765630485474e-01 7987 32369 0 0
