# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33047 33047 10881 33047
-1.100721601684455209e+00 -5.234031598865157093e+02 8.265201627944541718e-01 28538 32881 14520 42753
-2.174921168531750215e+00 7.891216165153075224e+00 4.909434118425877180e-01 25462 32853 10106 46356
-3.655180980318220918e+00 1.128490648381047379e+02 3.083558419653500415e-01 21736 32908 16625 42345
-4.594509868518894535e+00 1.470386861469635846e+02 5.285109472224336358e-01 20239 32931 22905 48152
-5.351580575236170034e+00 1.627951704418819645e+02 8.496524761223660516e-01 19063 32932 24219 54312
-6.168863735146136840e+00 1.720930724849553144e+02 5.207351319767710152e-01 17915 33029 22001 55761
-7.102485756513436499e+00 1.768175495152117378e+02 9.282097806239075766e-01 17000 32952 21339 53696
-8.029428059595126399e+00 1.787167404297312032e+02 2.865568486723759634e-01 16003 32878 21311 52915
-8.943784273136088814e+00 1.796292738555776509e+02 5.493637106745143939e-01 15253 32911 24900 52866
-9.709110146255504503e+00 1.800210062104656004e+02 9.290296500501658006e-01 14487 32683 21499 56118
-1.067068225369155421e+01 1.802735731433252226e+02 9.757236620494750268e-01 13816 32621 18497 52986
-1.172007525804125194e+01 1.804262215878744087e+02 4.289640388298123774e-01 13235 32424 14983 49792
-1.290781198746643987e+01 1.805091214091235088e+02 8.781013124784687873e-01 12442 32416 19103 46591
-1.380592656024026255e+01 1.805387815721450693e+02 5.285370276924347688e-02 11920 32621 10378 50268
-1.533837268972906287e+01 1.805617563141756250e+02 7.827464058956327131e-01 11278 32277 18385 42134
-1.617870642766276390e+01 1.805670893543221496e+02 8.595071610474076529e-01 10769 32343 17451 49662
-1.722174546108659854e+01 1.805709358453833602e+02 9.690140879145343611e-01 10084 31714 16974 48673
-1.827184406178533749e+01 1.805731259375951936e+02 3.064010034731516896e-01 9518 31484 26325 47847
-1.889008806210947000e+01 1.805738628152727756e+02 2.684699742310270310e-01 9505 31495 15712 55994
-2.014441893409387774e+01 1.805747017364380440e+02 8.972223666108987139e-01 8909 31527 15958 46523
-2.120980251690613017e+01 1.805750493681925946e+02 8.544476772721356639e-01 8541 31600 12944 46687
-2.247211318125652113e+01 1.805752418641167480e+02 4.538578583147767631e-01 8223 31695 11040 44099
-2.382609754877449859e+01 1.805753183363444236e+02 8.910901592614912659e-01 7756 31737 15195 42145
-2.484482766709811941e+01 1.805753441533728960e+02 7.768242791801925895e-01 7568 31754 21648 46309
-2.561896113772948524e+01 1.805753555184351740e+02 8.057269232124353309e-01 7275 31874 12359 52851
-2.704020959208668273e+01 1.805753668071224638e+02 8.237355602736823323e-01 6961 31110 11380 42833
-2.833956082710325219e+01 1.805753726164487034e+02 2.946543925229658800e-01 6547 31226 19592 41969
-2.911633170486666700e+01 1.805753741997750694e+02 4.387033742037602657e-01 6499 31308 21415 50270
-2.997775514231151561e+01 1.805753753969828210e+02 1.950070077152044057e-01 6260 31456 0 0
