# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33242 33242 12281 33242
-9.961282844864473018e-01 -9.031251900380397046e+02 6.653632349155355064e-01 28306 33217 18310 44433
-1.889815050182305445e+00 -2.795983839301503622e+02 3.557175430554908035e-01 24832 33243 21424 50234
-2.750165972444178486e+00 -8.041711771752891025e+01 9.148304982481931802e-01 22531 33160 14808 53326
-4.013404919884668409e+00 7.524782250173194598e+01 2.090181855258217425e-01 19837 33047 12926 47042
-5.284088608764847095e+00 1.437110897037917425e+02 7.312794671877077546e-01 17925 33021 11588 45131
-6.615747117960459889e+00 1.702871382495204102e+02 6.097416786836191704e-01 15922 33026 18296 43847
-7.497764436761784168e+00 1.760541228145003174e+02 4.593142825549051400e-01 14810 32916 18145 50054
-8.511591861648980739e+00 1.787432960945278921e+02 6.358383908061785439e-01 13799 32815 21761 49723
-9.347516967557439216e+00 1.796089699927715060e+02 3.454909342314538279e-01 12846 32602 26421 53049
-1.005938502847024019e+01 1.799628811376243505e+02 6.066260099686155982e-01 12551 32646 21239 57171
-1.105010352476233848e+01 1.802688845035962402e+02 2.927323483698645035e-01 11957 32711 24695 52937
-1.182459240093838204e+01 1.803948849582886851e+02 6.862242987936452432e-02 11758 32633 35503 56342
-1.230877963943931697e+01 1.804493428371588379e+02 4.779614847147382051e-01 11233 32496 38533 66324
-1.286864859116075266e+01 1.804945883691334529e+02 5.901638695376659749e-01 11060 32548 21129 69816
-1.405456821476140128e+01 1.805477170297482985e+02 4.892286378066099672e-01 10346 32318 19649 52998
-1.504723194949892573e+01 1.805672817269734765e+02 7.575685169104546812e-01 9885 32348 35240 51543
-1.545452942379438177e+01 1.805713781815018990e+02 4.322195375860149458e-03 9758 32282 40664 66878
-1.597004825377652715e+01 1.805758952228784153e+02 7.546049674423263021e-01 9422 32196 52755 72221
-1.630516131062925922e+01 1.805781311247404233e+02 8.359128581528199042e-01 9523 32116 56345 84231
-1.672364834720985272e+01 1.805803619905852031e+02 4.216064590915643562e-01 8980 32053 66365 87754
-1.702103854685811157e+01 1.805815022988725218e+02 5.117811756561936321e-01 8946 31782 71686 96778
-1.733721652405930769e+01 1.805825009859483998e+02 5.202197634301265472e-01 8837 31713 74887 101979
-1.766112472448264370e+01 1.805832774765116824e+02 6.957474028010748324e-01 8653 31569 26582 104755
-1.901942303135132661e+01 1.805852606546608854e+02 1.929603764224802759e-02 8237 31159 18347 57457
-2.015309221758212388e+01 1.805860581290312439e+02 6.960844083018487005e-01 7734 31195 20855 48911
-2.101386783357175148e+01 1.805863431692996528e+02 3.719440436661726745e-01 7438 30994 19710 51215
-2.197134139756704840e+01 1.805864927207921085e+02 3.220174873833366869e-01 6901 30449 15797 49490
-2.310417414793633029e+01 1.805865917790286517e+02 5.526066078930865766e-01 6740 30594 7838 45757
-2.479697824986344301e+01 1.805866611257296199e+02 3.421445896068107118e-01 6213 29985 0 0
