# level_assignment log_likelihood tiebreaker ID
0 -2.844965993875304662e+02 4.513768526463266539e-01 2
1 -6.202350927714309137e+02 5.250896187858979103e-02 1
2 -2.863605186645916660e+02 7.175179428261508896e-01 3
2 -4.576067458891848787e+02 4.449977217759500947e-01 3
3 -3.026159052288290923e+02 9.367083720609190589e-01 3
4 -1.446187300090645067e+02 5.299992409780282521e-02 4
5 8.345567153253568904e+01 5.159714454163375486e-01 0
3 -2.648399354109080832e+02 7.534116912132298172e-01 1
2 -4.217426231130198175e+02 3.101169927834845907e-02 1
2 -1.689541725319432715e+02 5.473273399960472130e-01 4
7 1.151995632454423202e+02 8.365729667532946223e-01 3
4 -1.562453098072351168e+02 6.239512155704247665e-01 4
3 -2.877686265771691865e+02 1.433516588879918952e-01 3
0 -1.213128304837445057e+03 2.659242352338253568e-02 1
5 2.624141673036073996e+01 5.885149093961625777e-01 1
5 2.980997217960296553e+01 1.767800030841955028e-01 2
4 -1.644697438667095639e+02 9.029588222084801163e-01 2
6 1.875960474374688047e+01 8.190630324492589320e-01 0
8 1.176109771944718432e+02 4.091610367619580302e-01 3
0 -6.667538578795107469e+02 6.037436216669196387e-01 2
8 1.413490051837393935e+02 2.202065394867517290e-01 2
8 8.015604710716144155e+01 9.010659772871925099e-01 2
10 1.577580480099407225e+02 3.780705152506771416e-01 1
12 1.629292289170030301e+02 1.307841384207471258e-01 1
11 1.569258499448049236e+02 8.577820700646228147e-01 1
2 -4.210506026434900377e+02 9.187210120185006490e-01 3
12 1.744532745977586217e+02 7.963887257316430990e-01 0
12 1.677549780359016154e+02 6.899621808069713591e-01 1
12 1.632198117369281363e+02 9.492716969557666307e-01 0
2 -4.752147599883401767e+02 7.598343276732361096e-01 2
8 1.414145672594855228e+02 2.537066374961414739e-01 2
12 1.703530746732580496e+02 9.920161129700226788e-01 4
11 1.582270489074009561e+02 3.245744404980186459e-01 1
8 9.729530491158989491e+01 5.798426074649243311e-02 0
7 4.105634381454205339e+01 7.224418877744831491e-02 0
15 1.763195609652569260e+02 2.965882559751484848e-01 4
1 -3.245463325696526908e+02 4.643342865063149194e-01 3
7 8.238255555079723536e+01 7.282160851494813292e-01 2
16 1.790857996549175084e+02 6.624614500440308973e-01 0
2 -2.904276286415014283e+02 8.685960049097816160e-01 1
14 1.773174953512871639e+02 5.043100247542854353e-01 3
6 -1.622939784161640020e+01 6.796898969649340927e-01 2
10 1.580490347009757102e+02 6.947100944019304336e-01 2
13 1.717208189689894198e+02 9.356903858484330039e-01 4
18 1.797071892007724614e+02 9.669553433183982749e-01 0
8 7.851412157585764362e+01 8.595257943833731762e-01 2
16 1.781319668312344504e+02 5.611452376023101651e-01 1
13 1.700198820671740236e+02 3.123133588563917762e-01 1
19 1.799830904660648798e+02 2.498337187686892058e-01 4
19 1.798096598766448437e+02 2.964855067396023891e-01 1
20 1.800251657431496710e+02 5.160536880200398135e-01 1
18 1.793742051651754537e+02 4.291453074528874256e-01 1
20 1.799429344924208749e+02 3.940948007236411144e-02 1
3 -8.029041473944296570e+00 2.245562480847111964e-01 3
16 1.778917215939058281e+02 1.947500550094963256e-01 2
6 -9.933572869409566408e+00 6.168202470575108176e-01 2
15 1.781594837756060770e+02 1.959525252768468673e-01 0
14 1.759274581206161656e+02 1.854143229913419177e-01 4
19 1.801350575242323657e+02 6.537143072173098313e-01 0
16 1.776307983614206876e+02 5.760266493631188700e-01 2
