# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 321727 321727 114942 321727
-1.026620558042986131e+00 -1.105667104953397256e+03 9.988486595637869891e-01 307907 321998 167097 425881
-1.966527244670881469e+00 -4.883769412743220073e+02 9.150668458389654703e-01 295519 321512 182983 476313
-2.925851914976783874e+00 -2.680707243991806763e+02 6.295987635971298513e-01 286484 321061 180724 492254
-3.927753474472892137e+00 -1.210647109341343963e+02 3.312355263344868295e-02 278320 321050 192153 489785
-4.867213566975583383e+00 -2.773689085277273847e+01 7.749632408873644018e-02 272075 321100 157167 501102
-6.016501955436680760e+00 5.396883306574956407e+01 9.883599372112006343e-01 265116 320978 157694 468607
-7.099735698129665096e+00 1.043931454314573699e+02 5.095794801753039671e-01 259613 321440 192721 468795
-7.995323255360434977e+00 1.333026664633126472e+02 2.646510701893354245e-01 254667 321396 180721 501449
-9.014640019426417794e+00 1.544842626900691300e+02 5.566658468744869470e-01 249133 320975 184016 489172
-9.993671924292417685e+00 1.669129614178650627e+02 5.469082846909344431e-01 243623 321079 193754 493255
-1.093193946189995103e+01 1.731391550840550053e+02 9.885896485105416520e-01 237821 320967 195973 501704
-1.187542987564385122e+01 1.763578380618970982e+02 4.356016758752634388e-01 232141 321063 148576 504538
-1.308338276442930059e+01 1.781878311332480962e+02 4.301788542182606867e-01 225995 320882 155843 460188
-1.416063467035095869e+01 1.789797109683094334e+02 7.430439605035611406e-01 222446 320956 149668 465330
-1.528585540873105764e+01 1.795073174394076432e+02 9.595221334954117109e-01 220219 321437 183380 461400
-1.621334255437201577e+01 1.798081850680119373e+02 2.075668498360190295e-01 219028 322267 179212 493337
-1.722520069989655411e+01 1.800369850924834623e+02 3.679639147445286085e-01 215801 322311 180531 489419
-1.822267982376292750e+01 1.801955697717117175e+02 8.747770946860140562e-01 213626 321500 138131 488943
-1.946853330336610099e+01 1.803363129706660573e+02 9.660522947913077196e-01 211038 321680 123582 448679
-2.073607957093591025e+01 1.804287914490480489e+02 8.233648159937357880e-01 207436 319911 121526 432900
-2.198554395942096562e+01 1.804858933153013538e+02 2.260566709131870966e-01 204203 318644 129991 430640
-2.316849953998490719e+01 1.805203099318323439e+02 2.696599205722508552e-01 202969 319761 84294 438966
-2.475889415863221643e+01 1.805508299997092934e+02 8.869595226634855445e-01 200632 321169 125933 401891
-2.590671153257260073e+01 1.805631238151874811e+02 7.454039910325990226e-01 199645 322397 175050 442010
-2.683772974190107519e+01 1.805694955748554094e+02 4.206107746646477463e-01 198148 323332 215538 492060
-2.767291096552248675e+01 1.805737132766456057e+02 1.362876344993901589e-01 197927 323919 217868 533132
-2.857339345218083437e+01 1.805773244472175350e+02 6.281154129237132011e-01 196969 324047 213881 535584
-2.949573339324722809e+01 1.805800988634953796e+02 9.444167436759416390e-01 196354 324069 187265 531631
-3.053666974750996133e+01 1.805823762679954427e+02 2.708704881556844302e-01 194524 323531 0 0
