# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 326423 326423 113831 326423
-1.048639144959691683e+00 -9.717754245666712450e+03 9.252422789912098100e-01 315692 326596 177940 429795
-1.938166718331201022e+00 -5.383006516383517919e+03 4.214455033481508961e-01 306895 326208 180650 491614
-2.939230643058602155e+00 -3.660680845785193924e+03 3.911182074568227973e-01 299151 326648 169641 495717
-4.007064088120027456e+00 -2.514903553750900755e+03 7.521929719947624271e-01 291624 326528 181969 485625
-4.989779667185992196e+00 -1.777401441610604024e+03 6.302214856560843792e-01 286605 326938 150387 497253
-6.172811475290723493e+00 -1.102677082469415609e+03 7.472183892183090759e-01 280830 327427 144458 468319
-7.336861860086974829e+00 -6.290694101593638834e+02 6.027396233461623093e-02 276613 327866 149961 462285
-8.454121565862921628e+00 -2.739658303645223327e+02 4.171619863071995837e-01 272389 328838 181303 469095
-9.407803675631152274e+00 -4.970269446160710913e+01 3.340448421552153491e-01 268320 328769 185858 497790
-1.039387719489544892e+01 1.235287661013986877e+02 9.170991269699071413e-01 264551 328696 177529 503760
-1.143425347249518609e+01 2.565787424981386948e+02 5.522048462241938571e-01 259351 327816 200087 494572
-1.234465839625791084e+01 3.338092982197242691e+02 2.759054536921548006e-01 255348 327937 221881 516542
-1.319799051763312470e+01 3.845246944881324680e+02 3.001098805628339417e-01 252422 327479 235721 536072
-1.402875221149570883e+01 4.155783206624852824e+02 6.482123748683713549e-01 247812 327144 209673 548291
-1.499208356642030715e+01 4.358839616313640590e+02 7.204997146032896538e-01 242750 327663 147698 524049
-1.624127563429765431e+01 4.488461083150518220e+02 3.463345142584793313e-01 238624 328056 150421 466171
-1.736352983281275186e+01 4.552799257349566915e+02 8.655019566581756418e-01 235768 328618 183740 467292
-1.830105258870335661e+01 4.589835378467344640e+02 2.224173165917182615e-01 233621 328664 145850 499121
-1.951601245296971499e+01 4.624780466810759094e+02 1.405236703778649232e-02 231578 328195 145743 464671
-2.066454055272205892e+01 4.649038350822470420e+02 1.368687606193665640e-01 229027 328194 134818 467323
-2.189034494899345873e+01 4.667407353137341488e+02 2.425471711183972007e-02 226662 328324 170375 457585
-2.287907955981759756e+01 4.678106029036864584e+02 8.327483075492573272e-01 224177 326492 151344 490520
-2.404340954130173458e+01 4.688037838651362108e+02 2.971731141013109201e-01 223052 326774 203528 471802
-2.489345532461421584e+01 4.693415619172928359e+02 8.035329284427850105e-01 221158 327128 223106 524326
-2.575565547416253764e+01 4.697610384569753137e+02 6.015767880704263604e-01 220447 327211 222446 543992
-2.665543374858381398e+01 4.701150113403484170e+02 1.528196507998743070e-01 218952 326690 283799 542807
-2.732037127731132031e+01 4.703286038113291738e+02 7.642631897908600536e-01 218272 327450 268581 604926
-2.814087720925110503e+01 4.705464980500059937e+02 5.375675061801550303e-01 217992 328287 253540 590535
-2.899368692294101280e+01 4.707286442167426230e+02 9.963644487270919559e-01 217842 329631 0 0
