# level_assignment log_likelihood tiebreaker ID
0 -2.037660022926220336e+04 8.173102352296803819e-01 1
2 -2.970720004538295143e+03 5.683578913991639281e-01 4
0 -3.717993868915941675e+03 9.802289195631138652e-01 2
1 -2.320017641119414293e+03 6.936472390005437028e-01 0
4 -1.872487963405652181e+03 8.401013631881300014e-01 4
3 -2.381575419792596222e+03 2.729582904319558523e-01 0
3 -2.741876253100602753e+03 8.865650893478294048e-01 0
2 -2.366391488054280671e+03 8.887852202811956648e-01 3
1 -4.091100915543681822e+03 1.762566845528261705e-01 2
6 -1.001768557416558906e+03 5.897099603511686272e-01 2
7 -7.536531561921126467e+02 6.896177716705800265e-01 4
4 -2.027623001151145900e+03 1.204438999925779852e-01 0
4 -1.971018828125380651e+03 4.219964207012478208e-01 3
2 -3.528415619734108986e+03 2.257421413858544668e-01 2
5 -1.691165283717960619e+03 8.135655326856059411e-01 3
4 -1.002909520024954645e+03 6.207233522488577737e-01 3
4 -2.263748520481907690e+03 3.263015807198674234e-01 2
8 -7.553520457800502754e+02 1.709891826298433892e-01 2
4 -1.673271895843361563e+03 9.117388687076083409e-02 1
4 -1.409443641826153680e+03 4.431310385181301825e-01 2
8 -3.096719083875750584e+02 2.059599624411725394e-01 0
2 -3.541316930659945683e+03 8.752731041675767543e-01 0
11 -8.340592415927869752e+01 7.816817203940821246e-01 2
5 -1.371239703940833351e+03 2.720754863597686993e-02 3
10 -2.179263846485895613e+02 4.999702998131400067e-01 2
6 -4.639891084638072698e+02 8.154447778382505341e-01 1
7 -7.178367038250789847e+02 8.164673242101867512e-01 1
3 -1.625410297617170727e+03 5.902960798932763709e-01 2
6 -1.372151495915269834e+03 3.426333350366590480e-01 2
10 -3.451396224423924650e+02 4.395154221517211801e-01 3
10 -2.237667739805810925e+02 5.753956847983912049e-01 0
9 -4.062510151890999737e+02 4.608378476035412952e-01 4
7 -9.326369261381328215e+02 2.692081031614179665e-02 2
7 -7.810912664288113092e+02 7.426375222196037740e-01 2
0 -2.874342206433889442e+04 8.403294842159536593e-01 2
6 -5.484540934320270935e+02 8.491385268072719761e-01 3
8 -7.206609186664231856e+02 9.219621539116575892e-01 2
1 -5.258286335773258543e+03 2.159649570789218820e-01 4
6 -1.131945175455340177e+03 8.587232273563319973e-01 1
10 -3.031295955339872421e+02 7.142931529702938320e-01 0
12 2.557142547840570330e+02 1.185885374866850750e-01 2
12 1.296352772164102873e+02 9.628970014253421805e-01 2
5 -1.727021785938479070e+03 6.636128781785757269e-01 2
10 -2.739315566623212135e+02 3.924794396364149063e-01 2
2 -2.793599487974599469e+03 7.576304048150990234e-01 0
0 -6.228471928979407494e+03 1.518519674507921025e-01 4
11 -1.394577471330866274e+02 4.604616542848303795e-01 1
5 -1.704617996667007901e+03 8.161900065545909522e-01 3
4 -2.070418730056284403e+03 5.231406844477818341e-01 0
16 3.610107959452109299e+02 7.284590185908625948e-01 3
13 2.997611999407207009e+02 2.623407073766012010e-01 1
3 -2.451279657816711733e+03 8.031427072065435713e-01 2
8 -4.971584396471077412e+02 7.625277109884065485e-01 2
4 -2.168705872788810666e+03 4.986954448393019490e-01 0
3 -2.421301068160672457e+03 4.796279964780798544e-01 1
10 -2.222174377628130628e+02 9.572449973263179590e-01 2
14 3.713546135745407923e+02 5.206999756219741204e-01 1
18 4.571684733556314768e+02 6.071621258282600131e-01 4
13 2.775942215739544281e+02 6.358818155890372248e-01 0
18 4.427212289915423753e+02 7.176406492660688530e-01 1
17 4.643946349546122292e+02 8.419212023344044837e-01 2
15 4.028572348358139834e+02 8.744354952501076639e-01 0
20 5.134212741025147579e+02 9.129015852368552730e-01 1
20 5.392551559903645284e+02 5.112215842999479065e-04 2
21 5.508022429283098518e+02 6.991337713009988519e-01 2
18 5.140756071283083202e+02 9.752393148904388021e-01 2
22 5.716837351374742866e+02 5.520131929968147277e-01 0
21 5.420637298767799166e+02 2.007795683557542510e-01 2
15 2.887184825746973047e+02 6.323805314327037852e-01 1
22 5.583350366427282552e+02 5.798408885153740755e-01 2
2 -2.814371425724478286e+03 2.930479761181170595e-01 3
0 -2.605450305274928542e+04 1.419902122017712154e-01 3
18 4.453259099311692353e+02 9.182783336591301415e-01 2
11 4.020924039441220543e+01 9.618878795604874909e-01 0
23 5.707966772987483637e+02 3.762935421392727547e-02 4
20 5.411172017572544064e+02 3.267881277127958617e-01 4
19 4.953585596622660887e+02 4.659125985152745564e-01 3
8 -7.491982582350922257e+02 7.784382391063511264e-01 0
24 5.775045232282079724e+02 5.257302218823822759e-01 3
24 5.744852547334170367e+02 6.695248786557870257e-01 0
21 5.374195162736968996e+02 1.637552519632753389e-01 4
25 5.826446456530131854e+02 7.664407919436057315e-02 3
6 -9.796211409262282359e+02 4.613639572523449139e-01 1
16 3.934090139497205882e+02 9.464092672622925750e-02 1
17 4.292143187523237202e+02 4.252394431262670471e-01 0
18 4.447856442893918256e+02 5.547680310533069648e-01 4
21 5.746392359533986109e+02 5.669264295353200200e-01 2
25 5.825628976689372394e+02 7.588886950150777189e-01 2
27 5.834285806387418916e+02 3.553875603421197127e-01 2
25 5.770185720917938852e+02 9.224652084934780172e-01 3
26 5.816643215628450889e+02 3.554307112761634357e-02 2
26 5.828475989837885436e+02 7.608012498929737077e-01 4
18 5.573575000098855980e+02 7.760871047720645510e-01 3
28 5.853342215089305682e+02 7.205382605500315618e-01 4
26 5.850877645651710282e+02 8.293666289127876734e-01 1
21 5.767735530556162757e+02 6.598936588764816591e-01 2
29 5.857180557871863584e+02 1.285011494882341010e-01 1
22 5.621598783906206336e+02 5.890189208562768286e-01 2
23 5.708597126313733270e+02 6.623380030261417639e-01 2
18 4.424410304289280020e+02 6.494378918827717895e-01 2
31 5.871541852455416119e+02 7.012519174695519553e-01 4
28 5.842977665469263684e+02 7.032128737651364148e-01 0
34 5.884641871134770099e+02 8.561970586440754705e-01 3
28 5.846613061896546242e+02 2.275499702723299544e-01 0
28 5.851325153396239784e+02 3.451602737062776094e-01 3
26 5.859627624993461268e+02 6.993006783237947221e-01 3
31 5.869210109024700159e+02 9.600138789034803333e-01 1
35 5.888578940999344695e+02 1.382048075756068251e-01 4
27 5.864127151699826754e+02 6.271256074964792759e-02 0
