# level_assignment log_likelihood tiebreaker ID
0 -8.971479015451321175e+03 7.506710027502789817e-01 3
0 -3.311773953777678344e+03 3.104545589144550033e-01 4
2 -2.407695760047418389e+03 9.366912561673135240e-01 1
1 -4.208962287155986814e+03 3.947878321631771437e-01 3
4 -7.180323904402391690e+02 7.139384038635359087e-01 3
4 -5.519889558216991645e+02 9.313600891449260732e-01 4
5 -3.984705096472487185e+02 9.632055797903056327e-01 0
3 -1.480090728968056283e+03 7.544446891881919637e-01 1
5 -2.500769944008874859e+02 8.240080627784029943e-03 2
6 -1.715367364458246016e+02 7.584799777278012911e-01 3
5 -4.081820931914728590e+02 2.210691898449051451e-01 0
2 -2.166428071779415859e+03 9.102837922268276483e-01 3
2 -1.936567004782494678e+03 3.460349595854932403e-01 3
4 -5.832601621951903326e+02 1.712629599795476021e-01 0
1 4.546625539821130246e+02 7.669938708872336974e-01 1
3 -1.479773693461053881e+03 5.054742421978263289e-01 4
5 -4.199558965517909428e+02 7.613229630882185628e-01 0
2 -2.461082889748013258e+03 2.163493004008576470e-01 4
9 4.109814437585013138e+02 9.775577124244860805e-02 0
7 1.567166783495691220e+02 8.577074213254836099e-01 2
1 -2.025259257155539217e+03 3.082067290038392748e-01 1
9 2.656165320871642734e+02 8.639426969094436970e-01 2
7 3.079117607479057597e+02 8.252920234657992182e-01 0
1 -3.851754626954924333e+03 6.551519665962981520e-01 4
10 3.781798013749346410e+02 5.499456028230167437e-01 2
6 -2.051360085812091256e+02 1.018616430238787895e-01 0
9 2.923422407282813538e+02 1.554708376127974245e-01 0
9 2.896384285826933365e+02 3.944438429201326812e-01 0
3 -9.273652529226158094e+02 2.192730650083518640e-02 2
12 5.212981959420960720e+02 5.626757059383939996e-01 2
9 2.914523382781591181e+02 9.027880361056391800e-01 2
10 4.269745732101233671e+02 8.724858091697065277e-01 0
3 -8.123626268527267484e+02 1.731225070678377165e-01 2
11 5.478156083576932360e+02 2.074782886057224829e-02 2
13 5.761421013742267405e+02 5.853846221149759943e-01 1
12 5.258950666065759378e+02 6.997894608798480576e-01 0
15 5.838195526795781234e+02 6.079195136660384691e-01 0
0 -3.131257089413536960e+04 4.474795214934061960e-01 4
13 5.727312430451027012e+02 2.305771505477594019e-01 0
17 5.826248136335917707e+02 4.022486010883987717e-01 3
3 -1.287345721550411781e+03 5.337414373837394699e-01 4
