# level_assignment log_likelihood tiebreaker ID
0 -1.034575003056203423e+04 7.506710027502789817e-01 3
2 -1.813959489980700482e+03 4.107841661670579847e-01 1
2 -1.757574338046935964e+03 7.539813810569487851e-01 3
0 -1.562081996181452269e+04 7.773332740392038254e-01 0
3 -6.631681519645576373e+02 8.225393672778569254e-02 4
3 -4.045519198527094886e+02 2.409242657039634139e-01 3
0 -2.828377397492100954e+03 2.058506110898040697e-01 3
0 -2.326303263099643664e+04 1.402944272552071325e-01 0
4 -3.283015919247216630e+02 6.842114463975623728e-02 2
3 -9.188226946588482633e+02 9.423489510220548482e-01 0
2 -1.381077344964801114e+03 7.735397531158163531e-01 2
2 -9.231073793135456071e+02 5.645111763625719759e-01 1
5 -5.780822898402209375e+01 5.274837312143354495e-01 4
6 3.586934120894580929e+02 6.980137651796880505e-02 2
5 7.322335897155127782e+01 4.418666413583753894e-01 4
3 -1.033675903271720244e+03 2.729052949072721668e-01 1
4 -4.005267183312635666e+02 3.187862509493235574e-01 4
3 -2.651079923594998036e+02 5.777834599903785007e-01 2
5 -4.261912830557855614e+01 6.338229836442765830e-01 3
8 4.772822143697616184e+02 3.708554944317233454e-02 0
9 5.384078321352156991e+02 6.784057023299290279e-01 4
7 3.699943351966006730e+02 8.563045673728385543e-01 4
5 -1.198779212644645042e+01 8.122318593797032138e-01 3
0 -1.214272764477185410e+04 4.604607345125621976e-01 0
10 5.641852955805858301e+02 4.954960787442832526e-01 2
6 4.107360800959425546e+02 9.796286128955981054e-01 3
0 -5.767826402484583923e+03 5.084008885998225757e-01 1
3 -4.668854848651303087e+02 8.063512938580803535e-01 2
2 -3.560793956770633031e+02 1.024922195730049168e-01 1
0 -1.027065115452014288e+04 5.665822272457776698e-01 3
2 -1.360749124615012761e+03 7.700025006737876154e-02 0
11 5.742491257615986342e+02 6.944194168966486558e-01 1
4 -3.457627184570799272e+02 1.193557894902284033e-01 1
11 5.797772069847054581e+02 4.234730479132351455e-01 1
11 5.749563746655254590e+02 8.400889660240608015e-01 4
13 5.848035254545586668e+02 2.115633989738200382e-01 2
13 5.861169912689543935e+02 2.115537177095656585e-01 3
2 -7.080520205516941132e+02 6.580517332722610746e-01 1
14 5.877395752215206812e+02 1.069150001856074561e-01 4
13 5.838155490048850425e+02 3.308366807826604306e-01 4
8 4.582223111990314237e+02 8.133665209208400526e-01 2
13 5.870418347662438237e+02 7.626346919659265922e-01 0
12 5.814633170397980848e+02 5.381725308168548022e-02 0
8 5.792030857724402040e+02 8.284162286804921393e-01 1
3 -8.183998727278012666e+02 3.216922853266526161e-01 4
8 4.828281102179037703e+02 6.306144643288700280e-01 2
2 -2.064144050922142014e+03 2.512267272468992063e-01 4
9 5.360650474707927060e+02 9.870997729146324673e-02 2
10 5.613899579303750897e+02 4.965418969530502880e-01 3
0 -1.263332685831880190e+04 1.620110614635478230e-01 2
10 5.856128253354993376e+02 9.045220793588660824e-01 3
15 5.874259765379341616e+02 9.269803292557199370e-01 4
16 5.890070036544110508e+02 3.383361849347679140e-01 4
3 -7.830357884406099629e+02 2.556421947723781507e-01 2
17 5.891572991360212654e+02 9.114565206438398626e-01 1
2 -1.525814336908402538e+03 6.134070049457183149e-01 2
11 5.823650077562847400e+02 8.416410154607778527e-01 1
14 5.874181043072903776e+02 6.655389225380253793e-01 1
4 -1.061299419081514941e+02 1.107160512588478696e-02 4
0 -3.530264079287226195e+04 5.609201325737518395e-01 4
9 5.761960610583264497e+02 9.037996869328045191e-02 2
5 8.071696158362746587e+01 3.719344848018185656e-01 3
11 5.870218102919341163e+02 4.235368848296171551e-01 0
18 5.892317369179337447e+02 1.701898280361945348e-01 1
14 5.871518382382085974e+02 7.772273637243674871e-02 2
15 5.889650429531174041e+02 3.204670904884660554e-01 4
16 5.891335851588917194e+02 9.105553489239703868e-01 1
19 5.892651205388432345e+02 9.943906968656457401e-01 4
17 5.886750875353826586e+02 5.994866216734539011e-01 2
11 5.878044742431291070e+02 8.534517220225623646e-01 3
3 -8.927142832654435551e+02 7.193347801694728316e-01 0
12 5.800193257048330224e+02 2.402461105928437868e-01 3
4 -1.053070086219263999e+02 8.779012817679144876e-01 3
4 -3.053056943999657165e+02 6.524380525069947145e-01 2
20 5.895884571691540259e+02 3.877442902153150905e-01 1
1 -2.625588573158752297e+03 8.921432109156020029e-01 0
9 5.802396400010115940e+02 3.223629466076531891e-01 3
21 5.896076876004724454e+02 7.795016748641492646e-03 1
20 5.895574578017713065e+02 6.722668214819109700e-01 1
4 2.001793311829046331e+02 9.542791016008056459e-02 4
22 5.896270530904644147e+02 9.484531138754911384e-01 1
12 5.869002312248062481e+02 4.089024943840435800e-01 0
23 5.896147832096345383e+02 4.196315740797491034e-01 1
2 -1.740313726053316714e+03 7.808716147412684272e-01 3
14 5.871250441880085873e+02 1.815169225628392446e-01 0
16 5.882029866000145830e+02 8.589346473681302996e-01 2
14 5.883256535172915846e+02 8.270440481935530386e-01 2
15 5.872776854252959993e+02 4.478766092326691428e-01 0
14 5.859588800579975896e+02 4.322320578240539390e-01 2
9 5.697000648601749617e+02 8.419561137289519603e-01 2
14 5.870727603951396532e+02 2.697466044714946776e-01 2
13 5.842071263284923361e+02 2.982595774420238044e-02 2
19 5.893942308399458625e+02 8.020041734670613209e-01 3
11 5.737410667544714897e+02 4.379278515216997736e-01 1
14 5.867164787875024103e+02 3.739350076269444267e-01 2
21 5.895032967254202276e+02 8.898726561170197114e-01 3
12 5.843506091551797681e+02 8.338911802173694099e-01 4
14 5.864722146378968546e+02 6.064965348883326612e-01 0
0 -1.258365590592316039e+03 2.175171051059390237e-01 2
12 5.802652907175512382e+02 7.369646319872130702e-01 2
1 -3.240113480097769752e+03 2.484715517455690637e-01 1
