# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31824 31824 14524 31824
-8.021006703454844899e-01 -5.789454458478561719e+03 7.289096146438115431e-01 28566 31823 18309 44836
-1.704270419566280781e+00 -7.010223039363306725e+02 5.041571563770363973e-02 25984 31804 13847 48805
-2.946147033349170385e+00 2.593219237411881863e+02 4.393539199508111892e-01 23049 31848 15115 44822
-4.027185728609543602e+00 4.755154516346930791e+02 9.637751965172085544e-01 21493 31928 14667 45879
-5.157920705610665735e+00 5.534198910732046670e+02 6.637534258460640046e-01 19817 31982 17068 45539
-6.140483948853865392e+00 5.757482151468028633e+02 3.949314364732355864e-01 18371 32101 16519 47917
-7.201296951153159043e+00 5.846529551119539292e+02 9.056320264336511494e-01 17032 32080 17000 47553
-8.228119191303800761e+00 5.875467083681260192e+02 5.840760381160263748e-01 15524 32150 16728 48064
-9.280055490409649721e+00 5.886938132243144537e+02 6.457428112865750691e-01 14419 32221 16143 47783
-1.035973528059995985e+01 5.891704555761961046e+02 9.585318626531424968e-01 13725 32244 18928 47104
-1.127678054481481063e+01 5.893738780352820186e+02 3.811072625689357340e-01 13139 32224 17440 49690
-1.232094062016754776e+01 5.894933336384644917e+02 3.096264870650724532e-01 12271 32118 23812 48315
-1.304419100052822955e+01 5.895388928417779653e+02 9.036427093467445104e-01 11954 32107 15700 54460
-1.427295964360167702e+01 5.895792734928178334e+02 5.298025670348236460e-01 11072 32336 14833 47139
-1.541863123211754605e+01 5.895953982034872070e+02 4.675842833976400215e-01 10686 32424 16301 46234
-1.645834561781685679e+01 5.896026563950529180e+02 6.137839866711987113e-01 10087 32381 15367 47497
-1.757827140697182955e+01 5.896067196539203223e+02 3.886613731879204892e-01 9651 32403 22638 46809
-1.831997678274515451e+01 5.896079530901940871e+02 9.462984283008673003e-01 9399 32433 8557 53296
-2.007926400779713560e+01 5.896093733054350423e+02 3.381108825412122432e-01 8794 32638 17550 41186
-2.094210060323830191e+01 5.896096645224574786e+02 5.956875390802541803e-01 8571 32717 16658 48972
-2.201552721814579527e+01 5.896098642674069197e+02 8.572938659312292486e-01 8228 32603 14675 48823
-2.320405549323618999e+01 5.896099809312100888e+02 7.573494925739712169e-01 7712 31894 15048 45921
-2.431186372829112585e+01 5.896100278184676426e+02 9.470942367249167715e-01 7348 31916 10171 46311
-2.578546302116357936e+01 5.896100547690145959e+02 2.168803623012043325e-01 7134 32223 9047 41769
-2.726720037255524076e+01 5.896100650757390440e+02 8.620360791098604647e-01 6638 32250 15998 40658
-2.820463765761846631e+01 5.896100682001783753e+02 4.861563125208475666e-01 6546 32400 27000 47754
-2.879679747702413906e+01 5.896100693571381726e+02 9.702791211119956571e-01 6353 32529 11906 58894
-3.035457370111651798e+01 5.896100710566470298e+02 4.806095169223218583e-02 6120 32699 22253 43961
-3.105390532929434144e+01 5.896100714519973280e+02 8.072505667251752559e-01 5858 32746 0 0
