# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33023 33023 9627 33023
-1.210003129045307713e+00 -2.442262194981179164e+03 5.612381046433225773e-01 28368 32961 13036 41822
-2.363121924698014631e+00 -3.713434392315105015e+01 9.018593745299655629e-01 24843 32898 19843 45040
-3.193703150106802724e+00 3.134215434341130049e+02 8.037083529011396221e-01 23170 32968 17716 51466
-4.256187092059612098e+00 4.969911900478180087e+02 5.611010183186024847e-01 20645 32717 19177 49365
-5.204913481206897785e+00 5.539973105139122254e+02 4.222790572682191268e-01 18571 32599 15072 50467
-6.399819580148889742e+00 5.781713013735266031e+02 8.946321422280220648e-02 16662 32552 16952 46721
-7.412746557988806551e+00 5.847702453136138274e+02 8.268289731695853684e-01 15268 32565 17781 48667
-8.419196743478913447e+00 5.873030762947803396e+02 7.793971296108177516e-01 14707 32634 20433 49214
-9.305126230261858922e+00 5.884120732526168922e+02 8.190125367318271676e-01 13944 32738 20057 51636
-1.025382472937247158e+01 5.890304542975143249e+02 2.558567377392435560e-01 13284 32798 12896 51144
-1.160517998694068176e+01 5.894705480967954827e+02 7.147073953714042638e-01 12452 32888 14081 44740
-1.275013585892515522e+01 5.896297601688643226e+02 2.079718905866791145e-01 11714 32613 15589 45686
-1.382031762506965933e+01 5.896970932289751772e+02 1.021190106263992481e-01 11113 32748 19730 47380
-1.470369688640755790e+01 5.897269594540857724e+02 4.424401825698609514e-02 10809 32734 20684 51442
-1.561972966711217303e+01 5.897426528788423639e+02 4.814889379819171089e-01 10327 32771 24652 52240
-1.638338054779121933e+01 5.897510909305274254e+02 1.035196042974481472e-02 10152 32893 25229 56319
-1.719596765135953831e+01 5.897566231877556220e+02 5.624341407834947404e-01 9680 32942 17553 56886
-1.836172057578609440e+01 5.897606453802491160e+02 8.078878337959882749e-01 9337 33025 28736 50051
-1.893819041532342240e+01 5.897616735800436345e+02 1.838199553883803627e-01 9070 33019 23619 60139
-1.987596448465208709e+01 5.897627134844944976e+02 2.967035111856515250e-01 8882 33144 19804 56411
-2.092020596462865356e+01 5.897633773925126661e+02 9.600060406541474078e-01 8606 33235 24613 52472
-2.168954755441016502e+01 5.897636554404489289e+02 5.388131932875706021e-01 8364 33210 30743 57185
-2.232685735194402099e+01 5.897638252682043003e+02 3.888125201631744687e-01 8021 32589 27884 61169
-2.312197569117480711e+01 5.897639561354245643e+02 7.806072332895232224e-02 7790 32614 18615 59043
-2.426782899334193644e+01 5.897640556353248940e+02 6.293949801485734241e-01 7327 32541 18094 50756
-2.529740654374204922e+01 5.897640966720954339e+02 2.048921676840982364e-01 7058 32673 10666 50206
-2.680404386685340157e+01 5.897641236820137465e+02 3.640074327142511224e-01 6554 32281 16999 42302
-2.772162024395882440e+01 5.897641306318527086e+02 1.368827967056089889e-01 6404 32200 5629 48558
-2.975168478040144748e+01 5.897641380944448883e+02 7.560561410177081276e-01 6016 32422 0 0
