# level_assignment log_likelihood tiebreaker ID
0 -3.457431246840467793e+04 9.313831178604086158e-01 3
1 -2.402276260897285738e+03 1.374387443920235263e-01 0
0 5.038540927257838575e+02 1.726537886476608996e-02 1
2 9.887878082346990993e+01 2.371736184363214955e-02 0
3 3.390836986483300848e+02 5.935013810721646577e-01 3
1 -1.901610804502186625e+02 1.418783666722163161e-01 4
0 -8.278493192663077934e+03 7.997100176990490361e-01 1
3 3.927307642543628390e+02 9.608017158007891023e-01 4
4 5.846887983684274559e+02 4.727611212986881362e-01 1
1 3.389376468930664714e+02 5.798143810773161988e-01 1
6 5.788151302442199722e+02 2.867065898067777674e-01 1
0 4.917286549714821149e+02 1.398796111210645066e-01 4
3 5.759456982458724497e+02 1.625853382019385174e-01 1
7 5.862425800408516352e+02 1.103955762385107064e-01 1
5 5.685245030697831226e+02 5.157090150521057709e-02 1
0 -3.769983229313137599e+03 7.596672987165179469e-01 2
6 5.873626502566004319e+02 5.771337290512956741e-02 4
7 5.865857178585856673e+02 1.750320818157931058e-01 2
7 5.854415998263242500e+02 4.899255493356511337e-01 0
0 -2.957192008409905975e+04 3.449984406005555115e-01 0
0 -2.304212748693180401e+03 4.141914291793173386e-01 3
8 5.896115076168150608e+02 5.322632116432483330e-04 2
1 -1.522090973396034769e+03 6.394620119527480995e-01 0
1 5.135598994943843820e+01 2.562718035199900157e-01 0
9 5.892598869879777794e+02 9.312440274024978981e-01 0
9 5.890006192778813556e+02 1.817012925334101081e-01 0
10 5.890960964723968800e+02 8.249798312249057020e-01 4
12 5.897023520434245256e+02 4.525633448897199429e-01 1
8 5.877112652388102561e+02 1.871195428596346133e-01 2
11 5.896804612749199350e+02 3.790972603827499898e-01 1
10 5.893350713045813336e+02 2.668781357756306871e-01 2
8 5.883227850211062560e+02 3.733629660704317343e-01 2
10 5.896396488807451988e+02 9.822352320189757791e-01 1
14 5.897396305423787908e+02 4.973113617789519658e-01 0
10 5.896242063833838074e+02 2.715924402540972338e-01 2
6 5.837185140902823832e+02 6.601864258424203769e-01 3
13 5.897325845561711049e+02 9.737333978479867369e-03 1
13 5.897051784346706427e+02 3.238579456739424933e-01 4
12 5.896920650891877358e+02 4.571582915771279509e-01 3
14 5.897434939247657439e+02 5.975763068317019311e-01 1
14 5.897497724234816587e+02 4.667966362917685963e-02 3
11 5.895507684676692861e+02 4.479722790802136423e-01 4
10 5.891764010563499596e+02 2.770949610702316268e-01 0
7 5.848834512203408167e+02 5.641868099903799005e-02 3
16 5.897549197993723737e+02 6.603280933822999188e-01 1
3 3.250974373460012430e+02 7.100297161236073240e-01 3
15 5.897453796183021950e+02 5.878580383727630698e-01 4
15 5.897502266357312237e+02 2.302998409304261307e-01 4
17 5.897584167473983143e+02 2.357396251836618717e-02 2
17 5.897574125269243268e+02 5.613585046407048029e-01 2
11 5.896399524256687528e+02 2.480086472286325838e-01 0
13 5.896970992287199351e+02 9.256400132958955140e-01 3
16 5.897612327052268029e+02 6.810700864980774316e-01 4
19 5.897619844319769982e+02 7.819359485225285678e-01 1
14 5.897402997275692087e+02 9.067229032896113594e-01 0
20 5.897633018256073001e+02 6.371688621515914086e-01 1
12 5.896928398425998239e+02 9.681726420696357138e-02 0
19 5.897620427102950771e+02 5.588679178099592582e-01 1
15 5.897497060620155480e+02 6.127632374966389683e-01 4
15 5.897479450894292086e+02 7.282856100764341090e-01 4
10 5.890714318463109294e+02 8.629067959467358051e-01 2
15 5.897525508086637274e+02 2.249623260117079304e-01 3
19 5.897630254898406292e+02 5.704552227542266651e-01 4
16 5.897517371696935697e+02 7.823329365549342995e-01 3
20 5.897630783415359019e+02 6.743733990939491107e-01 1
20 5.897636421742924995e+02 1.054559137295782989e-01 1
13 5.897348559962100580e+02 3.505765171406604597e-01 2
21 5.897634227172172814e+02 7.422323155025760677e-01 3
19 5.897616891450963976e+02 6.331340885867579038e-01 4
23 5.897639800680735789e+02 9.485664563158702212e-01 1
14 5.897487452402025383e+02 3.326146349921916823e-01 3
1 -1.279943798347186146e+02 3.093407158103703147e-01 0
17 5.897601732647444805e+02 3.799615562825104931e-01 1
16 5.897593316102805829e+02 3.926142065348141585e-01 2
1 -4.072094857673899924e+02 1.388838644879217266e-01 0
16 5.897530550330468486e+02 5.862960799115192814e-03 2
25 5.897640638663061736e+02 5.655296319827405327e-01 0
25 5.897641024387415882e+02 3.538372187138350000e-02 1
24 5.897640495063311619e+02 6.810320871238300100e-01 1
24 5.897640031510180734e+02 1.839716868570511477e-01 4
21 5.897639739201720204e+02 3.060433023448215772e-01 1
26 5.897641281863756149e+02 4.419972851568467198e-01 1
24 5.897639845214214347e+02 3.328299348391880463e-01 4
25 5.897640618077998624e+02 1.141894204914022382e-01 1
21 5.897640610922389897e+02 7.409211653325455949e-01 4
25 5.897640834508115404e+02 5.033666044846855092e-01 4
21 5.897636532935296145e+02 7.368364381727164902e-01 2
22 5.897638418433623428e+02 8.745607877736176761e-01 2
24 5.897639984568911586e+02 9.389801048229082792e-01 4
20 5.897627445555076520e+02 5.578661771315025497e-01 1
26 5.897641088827779186e+02 9.420157288291397535e-01 0
25 5.897640753502905682e+02 3.636280682604540182e-01 4
17 5.897591689326621918e+02 4.405457795223264444e-02 3
24 5.897639572938040828e+02 8.870053002074853588e-01 2
25 5.897640806760248324e+02 7.031999877278258815e-01 4
27 5.897641271321242584e+02 3.255325561768742659e-01 0
21 5.897636128931221720e+02 8.273258980775963778e-01 2
24 5.897641399294006987e+02 2.670019093214552885e-01 1
6 5.836097623712055338e+02 1.035800463963499757e-01 3
2 3.865926563349910907e+02 2.139032115378076693e-01 3
27 5.897641250278782081e+02 1.000283623342284600e-01 0
28 5.897641310920191700e+02 8.334334080339136364e-01 2
29 5.897641387381945606e+02 4.190086689953793631e-01 1
29 5.897641385957292641e+02 2.985345364535763046e-03 4
29 5.897641412629506021e+02 8.684273806575903976e-01 1
29 5.897641382185145176e+02 2.923208857389010262e-01 1
1 -7.685790142400269360e+02 5.676904619994846968e-01 3
28 5.897641309179696236e+02 7.486492496817115372e-01 0
2 3.743586861061306763e+02 3.856924345254171826e-01 3
21 5.897639256772016552e+02 5.434437615743448191e-02 2
29 5.897641381150292545e+02 2.419039804957137108e-01 4
10 5.895319622065499061e+02 1.984559436115454212e-01 3
14 5.897357551558170599e+02 9.052134912520886090e-01 3
28 5.897641350073120066e+02 9.148290377403776041e-01 4
26 5.897641194355650214e+02 7.011851811337599383e-02 0
22 5.897638571051084000e+02 8.504362448035067690e-01 2
5 5.650872418537239810e+02 6.128480369343244361e-01 3
16 5.897637007528633148e+02 4.037622762030741996e-01 2
23 5.897640091272767222e+02 7.854656549056147075e-01 4
27 5.897641281852534121e+02 4.662933366421417869e-01 4
13 5.897587801382571797e+02 3.623117884193591820e-01 2
13 5.897230249733731853e+02 1.759610283820052246e-01 2
0 -1.039982872630150086e+04 9.402693552531306009e-01 1
4 5.534869249561777451e+02 6.130593058289259822e-01 1
12 5.897631271822683630e+02 3.998451962763418521e-01 4
1 -1.896790282750687311e+03 1.125545525658377954e-01 2
14 5.897301000538950575e+02 3.905111690461134377e-01 4
11 5.897031998149084302e+02 8.614153126652240866e-01 1
0 2.366850278306386031e+02 9.779645226226081345e-01 2
24 5.897640008438474979e+02 3.819152587899123930e-01 1
0 -7.693627635541861309e+03 2.390448462963402354e-01 0
11 5.895448971003900169e+02 9.366429202769656071e-01 4
10 5.890443953580862626e+02 4.825511605702498263e-01 0
2 4.666643547473821059e+02 3.294429167935511993e-01 3
0 -5.417997620606968212e+02 6.300428572698694163e-01 4
3 5.345572636831509499e+02 2.823935700253072945e-01 4
10 5.896056358899759289e+02 2.895963545094892844e-01 0
17 5.897579849857306726e+02 1.684980368087164726e-02 2
28 5.897641312417742938e+02 1.478509309011499795e-02 1
15 5.897613553730643616e+02 6.032409589247436088e-01 2
8 5.879599232325294906e+02 3.853766210246123425e-01 3
14 5.897336672550811727e+02 5.648522512231259896e-01 0
4 5.245508474210114400e+02 6.282357999931452719e-01 3
21 5.897636021758629568e+02 8.766699382285381148e-02 1
14 5.897449077809288838e+02 9.162072776027552212e-01 0
24 5.897640721587997632e+02 4.283727269553798123e-01 1
5 5.596728212466853165e+02 8.085385751884066607e-01 3
2 3.771584019500142517e+02 3.314641497465055098e-01 4
9 5.895057446837432735e+02 3.688940063015213600e-01 0
12 5.896348422971823311e+02 7.807897677798794067e-01 0
24 5.897639858375357562e+02 8.506598143316990157e-01 1
10 5.890814324319719617e+02 6.656114086962470200e-01 3
26 5.897641118222918521e+02 8.918756820082234249e-01 1
21 5.897634793697417308e+02 3.052181290502731237e-02 2
21 5.897635483982496680e+02 7.020284291829397283e-01 2
27 5.897641249480417400e+02 7.072020088251966818e-01 1
15 5.897609351835881171e+02 2.053489936233971191e-01 2
21 5.897633871119332980e+02 2.443769920771277082e-01 0
21 5.897634089569917251e+02 5.392936921589583932e-01 0
3 4.100534799892919864e+02 9.888865238077135800e-01 3
28 5.897641320830840641e+02 9.877463623156702566e-01 1
28 5.897641316003212069e+02 2.344871412152546575e-01 1
2 -3.124775303368210189e-02 1.320678639954508959e-01 3
23 5.897639108690129888e+02 5.725562814172759918e-01 2
16 5.897590696122183545e+02 7.719903983667490976e-01 0
27 5.897641271965360374e+02 8.741818968637191656e-01 1
26 5.897641037758216953e+02 8.737750587566847082e-01 1
16 5.897512498829337346e+02 1.274763391394763967e-01 2
18 5.897620195891690855e+02 2.741545228972981363e-01 2
10 5.894620792795341231e+02 9.803503766872780911e-01 4
24 5.897640338969197273e+02 5.961464275991290584e-01 2
29 5.897641393646412098e+02 7.080634873042842559e-01 1
16 5.897550131417818875e+02 1.749261705673225142e-01 4
20 5.897630554385891628e+02 8.981478858203280069e-01 0
21 5.897637823278753331e+02 8.439788258276802457e-01 4
20 5.897628448325385762e+02 1.526687931961603351e-01 0
5 5.730026375769609785e+02 5.565657957933581867e-01 3
24 5.897640145353695971e+02 6.788468113014705096e-01 4
23 5.897639824655535676e+02 4.783325669436542249e-01 2
26 5.897640967109593930e+02 2.781461442441716114e-01 2
26 5.897641285309318846e+02 9.287005767108575949e-01 2
27 5.897641237201182776e+02 2.883548741651180240e-03 2
3 5.618919429612500380e+02 6.487717424321209903e-01 3
1 -7.514095946970753630e+02 7.846974837600804165e-01 3
26 5.897641021427572241e+02 3.699828276274814698e-01 4
13 5.897027881192414043e+02 9.887360161624023647e-01 0
22 5.897638798866066736e+02 3.933267513596636622e-01 4
24 5.897640042189578935e+02 3.697870951308067644e-01 4
29 5.897641398223667011e+02 8.755730477784412491e-01 2
29 5.897641395072646446e+02 1.024423168457086475e-01 2
9 5.894926186105802799e+02 4.454226660288582718e-01 0
6 5.785916982570233813e+02 2.752289796954316969e-01 3
0 -1.444572263181202652e+04 3.286497022438794602e-01 3
1 1.014553321780064863e+02 9.441998482451297026e-01 0
1 -4.916719453358164174e+02 6.229693101635667141e-01 3
21 5.897635345822870931e+02 7.595156222089858300e-01 2
3 4.954296106012425867e+02 5.767054962113484784e-01 3
10 5.890937501818532382e+02 1.979594990642376817e-01 4
12 5.896486234909605173e+02 1.139550660928847492e-01 3
17 5.897592812803659399e+02 1.814904646360386287e-01 1
9 5.893472172756258942e+02 8.593206978216602066e-01 3
0 4.120421176014719435e+02 7.351240045033335946e-02 2
2 3.190754892053423646e+02 1.655374646229281280e-02 4
5 5.632804194917248424e+02 6.096366242435684590e-01 2
4 5.871771702861710764e+02 8.021841674796181820e-01 2
0 -3.091430433930491745e+03 1.140702141165507444e-01 3
1 -1.318462842380477468e+03 5.947611547952661448e-01 0
6 5.841822952698444169e+02 1.811638731197817986e-01 2
6 5.837453762886325421e+02 6.012146546094563337e-01 3
22 5.897640491815794803e+02 1.973250997602640500e-01 1
6 5.845807936123273976e+02 5.220114060528835420e-01 2
16 5.897519577795981149e+02 7.603660475780715799e-02 4
10 5.892066189806795364e+02 9.381109960084522692e-01 3
14 5.897371969707812696e+02 2.891291002786493536e-01 4
18 5.897623353940455218e+02 5.475195088627607953e-01 1
11 5.896165778717963804e+02 9.203803548196736184e-01 0
12 5.896395868900521009e+02 1.673609196905974095e-01 0
18 5.897615663339355478e+02 4.964146455572413519e-01 4
8 5.887248165226384344e+02 5.270448010252923865e-01 0
