# level_assignment log_likelihood tiebreaker ID
0 -1.344198943351576054e+04 3.798980599434820249e-02 2
0 -7.399785337641211299e+03 6.821242610369848691e-01 3
0 -2.710288216443349665e+04 8.000914225940742863e-01 1
1 3.478024918255418925e+02 2.574754776949234047e-01 2
1 -2.294538967575253992e+03 4.113804310277853205e-01 4
0 -1.133084591189568528e+04 6.845843524633172805e-01 0
1 -1.433546139353382841e+03 8.695655012632853564e-01 0
1 -1.307265621553007122e+03 4.806135134257407127e-01 4
3 -3.718229420556665445e+02 9.327810576016339894e-01 4
7 5.339879649880613215e+02 8.471378639923596854e-01 1
3 -1.946132434911170890e+02 1.518684100070955556e-01 3
0 -1.693200993401207370e+03 6.799534617569644723e-01 4
5 3.032484574211416657e+02 9.993974258976554559e-01 1
8 5.702246229352545015e+02 8.980389393511022389e-01 0
9 5.852890442889074620e+02 4.454689392181068741e-01 1
10 5.865891883548474652e+02 4.072279950716666264e-01 4
8 5.827620558263483872e+02 6.074567998388606949e-01 0
5 2.759346990921013685e+02 1.106671534640565752e-01 4
11 5.856139105829847722e+02 3.869340467565223207e-01 2
12 5.875299928421486584e+02 4.432127631228918174e-01 2
7 5.229526132155502864e+02 9.647813438326958702e-01 3
12 5.888955125319084800e+02 1.322496775532724378e-01 3
5 4.748070724336833450e+02 8.812816013756120670e-01 4
5 4.460896587854737732e+02 1.766802461982130978e-01 1
14 5.891654416556350498e+02 4.582901168441160245e-01 3
10 5.827810403588912322e+02 1.556254742587557527e-01 3
11 5.855467827218948287e+02 5.030924601551752806e-01 4
15 5.895946381613703124e+02 8.010502929129066363e-01 1
15 5.893137532404786043e+02 4.693161416943980591e-01 3
13 5.891207116514061681e+02 8.907626475424137436e-01 3
9 5.849886326328546602e+02 6.450420157861342929e-01 0
6 5.107022484539703555e+02 8.795797479419629195e-01 4
9 5.786017909779342290e+02 3.488783818437174999e-01 0
13 5.893058085364061753e+02 6.406598244386257912e-01 1
15 5.893475271915575604e+02 8.462556961851658288e-01 3
10 5.824133615548673788e+02 1.432620760259846193e-01 4
15 5.895679185852764022e+02 8.903964061642085648e-01 3
7 5.313796286783991718e+02 7.979297065706970615e-01 1
6 5.664813148812879717e+02 6.778834498647443585e-01 1
18 5.896936917865364194e+02 9.882337056048640100e-02 2
16 5.896920392657416414e+02 9.062181227354983992e-01 3
13 5.890629540244797226e+02 6.342639401812606437e-01 2
14 5.890708308562016100e+02 2.735562087946898369e-01 0
10 5.848530570517875731e+02 1.229200680548474256e-01 3
13 5.883660909583212515e+02 4.314216660960024097e-01 1
12 5.875749758923610671e+02 8.670314594149319820e-01 2
3 7.035695005805584401e+01 8.024727276687992905e-01 3
19 5.897579984945805336e+02 1.219986207784210935e-01 0
4 5.034082721604734729e+02 3.107235405170456488e-01 3
