# level_assignment log_likelihood tiebreaker ID
0 4.777549966018665373e+01 1.596773640228092150e-01 1
1 -7.090042836936942194e+01 3.473205915223341322e-01 2
0 -1.682857383278457291e+03 9.404425417257247233e-01 0
3 4.077864013132144692e+02 8.556478550682984352e-01 4
2 -2.318481605422801124e+02 5.737524159912611443e-01 3
2 2.455787339629690678e+02 8.808069515112251224e-01 3
0 -1.648641820174824534e+04 2.847573983695965705e-01 2
4 4.361285140817199704e+02 9.954815115737496445e-01 1
5 5.795614429452348304e+02 5.617201178761755953e-01 2
0 -1.590279802214097799e+04 1.808332484152608832e-01 4
1 5.486137107922455698e+02 5.971009556099031723e-01 4
2 5.760371859660499467e+02 8.211871008267130900e-01 4
3 3.289255003239437656e+02 9.286526501783053389e-01 3
3 2.465995997465657297e+02 8.031212325570470378e-01 4
5 5.624835626378110192e+02 6.768379456414417294e-01 3
3 3.197312447366209653e+02 2.785220653549884684e-01 3
6 5.853205928088648307e+02 5.215773262097800345e-01 4
5 5.519807784429472122e+02 6.173481837448233644e-01 0
1 -8.227581050033080601e+02 3.972566899239353133e-01 0
10 5.885234734886835213e+02 7.429526471078151673e-01 0
8 5.860607397407650296e+02 1.208593937906421445e-01 4
8 5.892744047726728240e+02 1.080056882036299903e-01 1
5 5.635079286369667670e+02 7.613471496858661425e-01 0
12 5.895306752776509711e+02 5.137354357535686145e-01 0
12 5.894317347701562539e+02 1.970595369101778571e-01 3
13 5.895076074992279018e+02 4.433735524790110571e-01 4
14 5.896153057333633569e+02 7.754498445474513613e-01 3
15 5.896237928132884463e+02 3.852756822535131631e-01 0
15 5.896357870151626912e+02 2.090667522203535356e-01 0
16 5.896304896731501231e+02 4.162880559567971872e-01 3
11 5.892199506490690055e+02 4.909981029010630493e-01 3
17 5.896486836570848027e+02 4.735332243999224033e-01 0
16 5.896469256149156308e+02 9.490140988576777348e-01 1
8 5.857774065055157280e+02 6.551871001308803288e-01 4
8 5.854860508237583190e+02 6.375284227561053285e-01 3
9 5.886960665904142616e+02 6.943749698296999284e-01 4
18 5.896542712081691207e+02 9.316525287313586201e-01 2
18 5.896541431121249843e+02 3.897704444125640322e-01 2
21 5.896593911328839113e+02 3.732107172883587509e-01 2
19 5.896549556172767552e+02 4.325934397372488971e-01 0
13 5.895119599903223389e+02 5.944103628689170193e-01 4
17 5.896574712188394187e+02 9.271080592902377626e-01 0
18 5.896517934100482989e+02 7.518584826864276316e-01 3
6 5.782818563337116302e+02 8.697592270347127563e-01 4
19 5.896552030937424433e+02 1.579197056762394191e-01 0
7 5.854805049972816278e+02 6.748693851346247996e-01 3
14 5.895520645208715678e+02 8.050085852943198450e-01 1
6 5.791129714968644748e+02 6.899325511473475281e-02 3
12 5.895520523778781126e+02 5.074979020240047989e-01 4
9 5.886519724943058236e+02 2.785063316635694175e-01 3
18 5.896550032097137546e+02 5.056216967102049598e-01 1
14 5.896524171492701498e+02 3.588314461582197690e-01 1
5 5.850155349720215554e+02 1.637517842752856390e-01 3
21 5.896588359984734780e+02 8.674188500827462178e-03 1
14 5.896049586790559260e+02 7.352609592467912458e-01 1
20 5.896583321330692797e+02 7.590793062790555101e-01 2
18 5.896550551055371443e+02 4.902894403555412839e-01 2
12 5.895158096780128290e+02 6.754036791796221850e-01 3
19 5.896554498195960150e+02 8.376685580167851641e-02 0
15 5.896170084658068618e+02 6.745441858114936684e-01 0
14 5.895696350924777107e+02 1.798362575945673392e-01 2
5 5.834929477101431985e+02 7.783953597525083978e-02 3
2 -4.521797456831403679e+02 3.124334168089468733e-01 3
20 5.896577577219020441e+02 7.392226328627313769e-01 0
18 5.896577530541389933e+02 3.337251193257886328e-01 0
0 -8.506798427932084451e+03 1.698943495911471591e-02 1
19 5.896554575423607503e+02 3.083755092852526469e-01 4
11 5.891898846166786825e+02 5.689809699569267076e-01 0
0 -1.109795223414120846e+04 8.334672775637728126e-01 3
18 5.896496612472925563e+02 9.038435506526696361e-01 0
9 5.883826265471137731e+02 7.738705224896005319e-01 1
21 5.896585908260475435e+02 6.689898317085495316e-01 4
