# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32872 32872 13049 32872
-9.303597384152060279e-01 -7.982476470750684712e+03 5.076910206327933661e-01 26780 32892 14857 44695
-2.024724538331860835e+00 -1.740353157063575054e+03 8.597172374880787671e-02 23624 32901 17087 46666
-3.029123668040972994e+00 -1.458706329267262731e+02 8.468818259008954463e-01 21415 32770 16124 48662
-4.127008674566571500e+00 3.692616176351706372e+02 9.451631429550140240e-01 18673 32654 17458 47814
-5.134061023231378584e+00 5.099722540595323039e+02 3.407868969183383001e-01 16939 32682 19331 49032
-6.068884952003468669e+00 5.582762223408903992e+02 8.160551051624871377e-01 15411 32776 23588 50948
-6.851028585262288750e+00 5.742289177667794320e+02 3.123858524261683423e-01 14506 32792 16150 54869
-8.060534709819362931e+00 5.839164551159987013e+02 5.286593016100670228e-01 13141 32802 11344 48018
-9.469576280234555554e+00 5.870920636990513231e+02 1.438848768326278782e-01 12151 32861 7190 43377
-1.118721808678486163e+01 5.888630124914764110e+02 8.433701694754692779e-01 11076 32551 9804 39345
-1.254197468244229086e+01 5.894090228189586469e+02 2.688795920302589626e-01 10255 32255 18237 41449
-1.337466997910257760e+01 5.896089944047271274e+02 9.270292990781285880e-01 9831 31913 23088 48917
-1.413896424020420461e+01 5.897317450685975473e+02 3.336646024915133069e-01 9219 30344 36946 51815
-1.450542252037550028e+01 5.897894874341853892e+02 4.047822773443005007e-01 9125 30264 45793 65629
-1.488727944952412763e+01 5.898343297010947026e+02 3.325421963844373829e-01 9052 30219 23313 74512
-1.604209739222682884e+01 5.899206774057306575e+02 6.720920998790997913e-01 8522 30263 4351 53362
-1.836942982600742980e+01 5.899928863957139811e+02 5.971865355989373070e-01 7998 30275 5608 34286
-2.007969966783881688e+01 5.900068624298240820e+02 6.459609419819275500e-01 7436 30032 5969 35086
-2.175916631864582840e+01 5.900119206124506945e+02 5.874934122450454765e-01 5768 25353 12551 30684
-2.266255281323766724e+01 5.900126931197622753e+02 3.522778639991624439e-01 5667 25362 21338 37277
-2.324877729169938689e+01 5.900129557748389288e+02 1.231875119399177265e-01 5430 25356 14543 46063
-2.439112116212958270e+01 5.900132422211838730e+02 8.702070861732928986e-01 5065 24667 10245 38568
-2.568800601184021204e+01 5.900133832591029659e+02 9.927640948419254041e-01 4487 23569 5247 33173
-2.742289157647637765e+01 5.900134716563015900e+02 4.204650225353101511e-02 4237 23538 7575 28153
-2.869928059195086689e+01 5.900134948337499736e+02 2.351739996321814130e-01 4204 23453 16160 30387
-2.936023899663082659e+01 5.900135070565787601e+02 3.564525806476037673e-03 4178 23215 25940 38723
-2.979551367841962062e+01 5.900135126174369589e+02 9.426009663524965720e-01 4123 23236 28257 48529
-3.035911466767389300e+01 5.900135174143413224e+02 3.933961416496511987e-01 4021 23195 14405 50815
-3.160244009048083313e+01 5.900135230781452265e+02 5.574981739954942839e-02 3774 23340 0 0
