# level_assignment log_likelihood tiebreaker ID
0 -7.437028158450359115e+03 1.596773640228092150e-01 1
1 3.296699150727536107e+02 1.590808789750547958e-01 4
0 -2.033289399951423911e+04 5.917649632454604625e-01 0
0 -3.974240079219179734e+03 2.390861239285796414e-01 1
2 4.249833419581600538e+02 2.544943552573456641e-02 4
4 5.130265960545443704e+02 2.969270680501878701e-02 3
1 -1.419534650253940072e+03 7.352032451787857692e-01 0
5 5.783263876549895031e+02 8.148444110222925474e-01 4
1 -1.287504325069500283e+03 6.035783149942375303e-02 4
2 2.361028344312352942e+02 4.792373605228554823e-01 1
1 -1.770974753866873925e+03 5.142186951623890501e-01 1
2 5.776281367698222766e+02 5.160962277115395125e-01 4
0 -3.240577859324924930e+02 1.738932993944608540e-01 1
4 5.126767689319722194e+02 3.793380893829906286e-01 1
3 3.572420220552750720e+02 4.216178089382890404e-01 4
1 -1.180843387394866184e+01 2.377037597242364353e-01 2
6 5.818914897793850969e+02 1.320730146010898332e-01 0
7 5.887562575673900938e+02 3.830881714711776853e-01 0
6 5.799683109937543577e+02 5.884902050517701877e-01 1
5 5.742429299286595779e+02 5.090798939268053047e-01 2
8 5.888908879420216635e+02 5.185592205544491406e-01 0
4 5.473542541969147806e+02 2.682718772555006126e-01 4
9 5.891220909135172406e+02 6.938431017917245924e-02 0
10 5.891521402615462648e+02 5.333786142690737364e-01 1
6 5.804250869913533961e+02 1.848592445635819648e-01 1
11 5.894429482111130483e+02 4.553720801852094713e-01 0
6 5.844754519673792856e+02 1.200974846245781436e-01 2
11 5.893390946080263575e+02 2.940174653368459734e-01 0
8 5.878538873969891938e+02 7.845604697915676828e-01 2
11 5.893218582747305163e+02 4.266930944644674595e-01 4
11 5.893075469490734122e+02 2.844174305051996310e-01 0
12 5.894427214448789982e+02 6.106256701042794138e-02 1
12 5.893938118701796611e+02 1.015343600753991216e-01 4
14 5.894459245779090679e+02 1.348184041029069080e-01 1
6 5.835873700263227875e+02 4.565443431063106461e-01 3
14 5.894531347614595234e+02 8.314896202637112044e-01 4
10 5.892596698166378246e+02 3.853554662364810923e-02 4
15 5.894794419056779589e+02 6.700947830896104573e-01 4
6 5.836108995745920538e+02 6.131407936603139319e-01 2
12 5.894103180766994683e+02 8.229313416367431966e-01 4
13 5.894664482742449536e+02 2.693256725120707351e-01 0
16 5.894853218562267330e+02 5.230854114353773454e-01 4
11 5.892953696160049049e+02 8.295676435123912063e-01 0
15 5.894784794895497271e+02 5.634910284265105540e-01 4
9 5.888075070155549611e+02 5.821124653490030720e-01 0
6 5.882697123028806345e+02 9.198722802594442305e-01 3
9 5.888887123512928383e+02 8.164758423352354022e-01 0
15 5.894845937744046296e+02 1.687172278698527705e-01 4
12 5.894374705759280459e+02 9.483667120828243036e-01 4
13 5.894279904451609582e+02 5.160681297014015900e-01 4
16 5.894827435979100301e+02 9.548984698088145429e-01 2
17 5.894873715574701691e+02 7.404467650839050008e-02 2
14 5.894741751643116459e+02 9.253328531152423819e-01 4
0 -1.155849475295349436e+02 4.972019054270809119e-02 0
3 3.400723847426828570e+02 4.458067660246530783e-01 0
0 -1.361694475446257820e+04 1.577207900329743451e-01 0
10 5.891743877829262601e+02 5.745306919835562187e-01 1
14 5.894617926887872272e+02 2.958894210805723679e-01 3
20 5.894876399219845098e+02 2.845818256080976383e-01 4
11 5.893604213536564203e+02 2.360348171662303152e-01 1
16 5.894817846404083639e+02 8.772317122000035106e-01 2
12 5.893970301739896058e+02 4.665877970778706807e-01 0
11 5.892741497344295567e+02 1.872078221890071947e-01 1
11 5.893844420349580560e+02 4.145112631109970636e-01 0
4 5.859320407336587095e+02 4.785532970498935779e-01 1
17 5.894857533304782464e+02 2.638123828915615587e-01 4
1 -1.462083493221144579e+02 4.493570675671998416e-01 1
14 5.894479431872230180e+02 5.479031423133532419e-01 2
17 5.894837819107220866e+02 7.028293681036466012e-01 4
8 5.883135591144348382e+02 5.674378888577508162e-01 1
12 5.894727523381384344e+02 6.855463635085677909e-01 0
13 5.894073686315391569e+02 6.683520062878192114e-01 4
17 5.894848328764476264e+02 3.474547254969285737e-01 2
21 5.894881058044836664e+02 5.969672562879475564e-01 3
12 5.894112911506645105e+02 1.954952121928661413e-01 4
19 5.894876434338486888e+02 4.474607057929737564e-01 2
3 4.640968175599131200e+02 4.233108958317322035e-02 0
22 5.894881448226273051e+02 4.893596480069666299e-01 2
3 3.828855209105055337e+02 1.429372051176988900e-01 0
