# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30065 30065 15278 30065
-7.035703025536581556e-01 -3.068209061790175838e+04 5.764371337335768564e-01 27918 30170 16639 43866
-1.674989471974229982e+00 -3.403514227764682801e+03 2.641046789570376530e-01 25687 30089 17049 45525
-2.658307916373600754e+00 -4.332868708226739614e+02 2.853014273300403247e-01 23829 30011 10845 45818
-4.064127320710976043e+00 5.806950291754159821e+01 6.844738257984863683e-01 21116 29941 19635 40166
-4.798058280616730897e+00 8.400215574831850063e+01 6.054210291354582552e-01 19676 29902 15084 48268
-5.950357212693378806e+00 3.594257763229809370e+02 8.267895914343273978e-01 17806 30100 16909 44172
-6.913209294866753396e+00 4.961748910767778398e+02 4.463403613579952633e-02 16224 30006 14509 45710
-8.050523267998134003e+00 5.567281530566046968e+02 5.398894084585217357e-01 14661 29993 22177 43529
-8.743896008124039554e+00 5.697017066307237201e+02 8.274693259050143190e-01 14008 30018 14070 50512
-1.000334518058868660e+01 5.806137430490962288e+02 3.142969072058883206e-01 12735 30056 12030 43284
-1.126193134551106922e+01 5.854089469374500823e+02 9.258087275906468072e-01 12099 30065 21358 41516
-1.194695392323491312e+01 5.868097874368461362e+02 2.845496555011615136e-01 11830 30141 28542 50046
-1.252983939828355275e+01 5.876668185817462700e+02 3.831969656750989772e-01 11550 30230 13995 57000
-1.390833638707616693e+01 5.890282836056294400e+02 7.286106794423652389e-02 10776 30149 13928 43571
-1.503867284232260104e+01 5.895428925510833551e+02 2.375590058174643637e-01 10434 30159 11491 43211
-1.633739831023996558e+01 5.898207898303189722e+02 6.131038095913713404e-01 9734 30076 15038 40757
-1.733465787738897390e+01 5.898987904346895448e+02 5.067805545026866643e-01 9234 29745 12983 43723
-1.853290717594878600e+01 5.899541391493310130e+02 3.184816544962630891e-01 8887 29646 11431 41843
-1.980644161752351451e+01 5.899824810316795265e+02 6.041692924917008156e-02 8313 29645 16827 40462
-2.069221997596460483e+01 5.899903037352110005e+02 9.545119466962508348e-01 7959 29652 18425 44752
-2.158669859291056881e+01 5.899946775606119900e+02 8.797339204586940298e-02 7806 29771 17678 46517
-2.255623309347934935e+01 5.899975626561879380e+02 7.233883848456085230e-01 7515 29910 13208 45860
-2.378327364549078737e+01 5.899993830174421419e+02 5.127763365764825831e-01 7215 29905 7524 42010
-2.543189638835356092e+01 5.900003322797119836e+02 2.573291783471403638e-01 6778 29732 9193 36774
-2.678158582729905390e+01 5.900006370268641831e+02 7.015311696113912809e-01 6277 29697 15699 38365
-2.768285315160655813e+01 5.900007134581881019e+02 9.002388458147316808e-01 6212 29787 30196 44844
-2.810867036025202026e+01 5.900007387212847334e+02 9.404828377069814893e-01 6037 29794 50695 59344
-2.829541917078480395e+01 5.900007469442166439e+02 5.560615872160874495e-01 6119 29817 66870 79873
-2.849468504370965505e+01 5.900007552084418876e+02 2.250233171000735055e-01 6015 29863 0 0
