# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32929 32929 10564 32929
-1.124129629926047258e+00 -2.991729939029655270e+03 3.186912207886214571e-02 28471 32756 18675 42378
-1.955109564790986187e+00 -2.930527893992819486e+02 1.514658310875498515e-01 26106 32729 19256 49951
-2.911053945542192878e+00 2.511656817361696596e+02 6.438668383368646442e-01 24191 32712 19777 50725
-3.856270788948769734e+00 4.541499983353227208e+02 5.259106777243790498e-01 22782 32673 16430 51112
-4.982801638467994287e+00 5.446643435516349427e+02 5.927921584230060326e-01 21555 32751 13107 48298
-6.265430560360350398e+00 5.762251083648379790e+02 6.568742784961576486e-01 20495 32857 16201 45002
-7.285629795218542704e+00 5.835380566296637426e+02 9.939824668096646221e-01 19430 32895 12763 47905
-8.584993834827722381e+00 5.865739832321323775e+02 1.683954379337184726e-01 18732 32893 23555 44699
-9.245753589375627968e+00 5.871994092510853989e+02 1.996897677344364741e-01 18273 32965 25919 54601
-1.000322405144030391e+01 5.875498431332682685e+02 2.895479333068824990e-01 17570 33074 15893 57269
-1.126821045585515435e+01 5.878276624442631828e+02 7.313953101115298061e-01 16509 33006 17511 48184
-1.227965273717007655e+01 5.879202870886228993e+02 4.192455206481868757e-01 15679 32946 16145 49354
-1.338958823439562096e+01 5.879751667277444085e+02 1.799282149505389838e-01 14797 32554 23076 47657
-1.412988594204499826e+01 5.879931208050421674e+02 5.933522310381831311e-01 14304 32599 12551 54063
-1.555844247848957451e+01 5.880107213386963849e+02 4.591893421777033524e-01 13523 32654 18826 44496
-1.642729911707953505e+01 5.880154707955842923e+02 6.660783713998346123e-01 12827 32499 14830 50402
-1.763601051032744849e+01 5.880187873976863102e+02 8.230356577203815638e-01 12247 32339 16137 46404
-1.868859555187544430e+01 5.880201159155794812e+02 3.465839330686009134e-01 11827 32374 24058 47454
-1.938517699351803358e+01 5.880206764626454969e+02 6.859627991412498016e-01 11271 32235 18921 54782
-2.044471885175803294e+01 5.880211658314927945e+02 5.293113269994925707e-01 10798 32326 19159 50326
-2.141246058480315639e+01 5.880213884292211333e+02 7.951711072885578879e-01 10390 32368 11222 50245
-2.287389738770800918e+01 5.880215401553964512e+02 5.664441122532108963e-01 9783 32322 15936 43153
-2.387032955685494784e+01 5.880215799455504566e+02 7.621852938542655886e-01 9206 32206 16472 47510
-2.492580416901815710e+01 5.880216017588337536e+02 8.856772298939947774e-01 9050 32272 15110 48099
-2.607321267720069358e+01 5.880216132236653266e+02 8.235143661025678963e-01 8615 32275 25450 46747
-2.670200538375675947e+01 5.880216166683678694e+02 9.826917865925843820e-01 8198 32219 23336 57023
-2.760078665146495780e+01 5.880216197053400720e+02 4.515951156569260050e-01 7966 32045 29011 54734
-2.825244654133992128e+01 5.880216209271820844e+02 5.141378855727851693e-01 7730 31755 35968 60129
-2.878573115671252935e+01 5.880216215489982687e+02 9.473411878775168660e-01 7475 31747 0 0
