# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32688 32688 10984 32688
-1.082242012216197313e+00 -3.174409337217208304e+03 6.622945050337119000e-01 28035 32718 11976 42707
-2.332428743418384798e+00 -1.055479676016672101e+02 9.863726376339760904e-01 24338 32577 19633 43680
-3.144437029031412756e+00 2.749384730581655276e+02 2.469058709667677071e-02 22097 32448 22728 50677
-3.956923494037511091e+00 4.334974702305688652e+02 8.510900733943133067e-01 20618 32550 16682 53799
-5.117553802957221620e+00 5.191720346956176400e+02 3.952357767601857863e-02 18938 32595 15324 48209
-6.254041181285960427e+00 5.558138435413090974e+02 4.976126974822061011e-01 17798 32439 17000 46852
-7.266944662844104563e+00 5.728363838443224267e+02 8.986236936737058700e-01 16736 32374 15443 48195
-8.395967694519802293e+00 5.820398815209584882e+02 7.137315301808313528e-01 15794 31996 18418 46471
-9.326051930495408371e+00 5.856232967204641682e+02 5.705205310472134528e-01 15094 31988 18091 49024
-1.032313516439280399e+01 5.875988770507899517e+02 5.716387585299280705e-01 14297 31956 20738 48820
-1.118748965072874313e+01 5.884781436188486623e+02 8.787191178517423928e-01 13809 31873 18705 51314
-1.219612767361451233e+01 5.890423378978568962e+02 5.852399050074529319e-01 13122 31600 14090 49059
-1.342682078832079640e+01 5.893974225948952608e+02 1.053574775053484069e-02 12257 31405 12080 44743
-1.471255383104418080e+01 5.895489351482585789e+02 7.544679472755435601e-01 11612 31235 14016 42741
-1.581915594364938116e+01 5.896067306398263099e+02 2.133492320653838092e-01 11326 31421 15455 44362
-1.686989021626719776e+01 5.896329581795571357e+02 4.049687188274393446e-01 10550 31199 17620 45713
-1.782619152892760184e+01 5.896451606851662746e+02 4.220140707452939566e-01 9908 30746 25016 47123
-1.847893181945608632e+01 5.896499082025057987e+02 9.667357534653493456e-01 9573 30882 23369 54274
-1.932961514528392399e+01 5.896538180775168030e+02 2.811151722699266053e-01 9423 31006 10513 53071
-2.090156335665250609e+01 5.896574666189014806e+02 1.401616699558241308e-01 8961 30865 13581 41354
-2.200655988687672249e+01 5.896585975790484326e+02 9.342057235258000025e-01 8357 30688 13954 43628
-2.313639392179068821e+01 5.896591289904040423e+02 6.975367781850094762e-01 8096 30551 23427 43840
-2.378423467129268332e+01 5.896593209058124785e+02 5.683296355874478678e-01 7753 30648 31637 53437
-2.432979031481405485e+01 5.896594212967650037e+02 1.657281254387918956e-01 7689 30705 23273 61707
-2.530609310324573613e+01 5.896595382048083138e+02 3.665141153620452563e-01 7429 30827 21864 53466
-2.620591902893358593e+01 5.896595937164665884e+02 2.195741039288421348e-01 7279 30925 12768 51889
-2.758004563066594983e+01 5.896596438230644708e+02 6.850882015644139678e-01 6992 31235 9355 43423
-2.906821383368170331e+01 5.896596637994041430e+02 5.158474408319515397e-02 6684 31388 13542 40112
-3.014756228768752067e+01 5.896596699428246211e+02 8.337018701388386743e-01 6392 31554 0 0
