# level_assignment log_likelihood tiebreaker ID
0 -2.602548731277736806e+04 1.596773640228092150e-01 1
0 -1.729626275878592651e+03 1.214795238217397239e-01 2
2 -2.802089047699672619e+01 1.692249266729514146e-01 3
3 3.541955680010688639e+02 9.255049166175645103e-01 1
2 5.844609011291922798e+02 6.992203639433700602e-01 3
3 4.706471046006753340e+02 5.762303597449474069e-01 4
4 5.610158890319946750e+02 5.371211302745573235e-01 1
3 5.853035090935338758e+02 4.566859529606111523e-01 0
3 3.080223148354202749e+02 7.602894431251506768e-01 2
6 5.727120784447541837e+02 9.689584280594356613e-01 2
3 5.171376492979418344e+02 7.342262149067899646e-01 0
2 4.100469827919405361e+02 3.482534888696005027e-01 3
7 5.855025749442492042e+02 2.852363387112643034e-01 4
4 5.217157805600277243e+02 2.901024998541020805e-01 0
7 5.755900381105807355e+02 6.919486855708233408e-01 4
5 5.409295567859398943e+02 7.612825927224933231e-01 3
2 1.239237495792583275e+02 9.544925293261803390e-01 0
4 4.577030070822933681e+02 6.228669091386507262e-01 4
1 -1.036808660166667778e+03 9.613976587310025801e-01 0
9 5.885790771680642592e+02 1.489153774903777538e-01 1
5 5.405038972458830813e+02 2.704260709326860024e-01 0
3 2.826890465641548644e+02 7.871340605712158212e-01 0
5 5.701582944027902613e+02 8.425912337821230835e-01 3
4 5.004632392493188036e+02 6.532680614848616063e-01 1
9 5.882979752328965333e+02 1.106219961381996048e-01 2
11 5.888428152655868644e+02 7.814864017309512967e-01 2
11 5.893855904999549011e+02 8.942439987486366926e-01 2
12 5.894376207084778798e+02 8.582810916585756900e-01 0
1 -1.070625193278188362e+03 9.599543782593360497e-01 3
11 5.886944354528160375e+02 7.822481364499345169e-02 3
13 5.894848912350587398e+02 8.080056631359291419e-01 0
13 5.895038578257799600e+02 2.929377648056114003e-01 0
7 5.733350060145405678e+02 9.336903587920757364e-01 1
13 5.894501564123318076e+02 3.557228176089104466e-01 0
12 5.892707701646286296e+02 1.166697921343537864e-01 2
3 4.219799019656043697e+02 1.231506753405504639e-01 4
7 5.843598674794905037e+02 8.069823179292816562e-01 1
9 5.867746071088522513e+02 9.880667934695885890e-02 3
9 5.891186630269992293e+02 7.130615661558896701e-01 0
8 5.837053724174322724e+02 1.140196877723103491e-01 1
11 5.885562216368707595e+02 8.331346265898762482e-01 1
11 5.891970345073552835e+02 3.218963829857983683e-01 3
6 5.641688417453726743e+02 7.871998491336900106e-01 3
2 3.383667832581944594e+02 7.779449536097500228e-01 3
1 2.806550224567575924e+02 8.982934987299590057e-01 1
3 4.643334195590975355e+02 8.774904189156549350e-01 1
11 5.894039347023383471e+02 1.832448224828868710e-01 4
8 5.870959817466601862e+02 2.672651284701919039e-01 4
4 4.499689659018168300e+02 7.249386196329531407e-01 0
0 -2.887980438644451624e+02 8.542677566013582302e-01 3
8 5.848038904977595394e+02 8.401529947146135768e-01 0
12 5.894780156574497596e+02 8.790726908745122303e-01 2
10 5.882628044050263725e+02 8.319149493125099770e-01 4
8 5.869656999667843138e+02 3.234285944481813946e-01 4
8 5.851092468361284773e+02 5.815388793752971353e-01 0
12 5.894883244525533428e+02 9.587710133974818305e-01 4
14 5.895579120672388171e+02 1.477437347537912671e-01 4
12 5.891841455829758161e+02 7.011691951940797196e-01 1
15 5.896117911741779380e+02 1.109812296343271609e-01 4
17 5.896469185905507402e+02 6.540636273102843345e-01 4
12 5.895103442382999219e+02 8.097718152403103886e-01 1
5 5.363184220288512734e+02 6.310813702432787053e-01 0
13 5.894442616847961744e+02 6.299891705479550019e-01 1
14 5.895780884755389479e+02 8.478020264697110342e-01 1
12 5.892130431888979274e+02 2.574824707652785261e-01 2
8 5.885279127189203336e+02 8.856793308372651330e-01 2
9 5.859202686465428087e+02 7.574798133925865207e-01 1
13 5.895641310474779857e+02 2.741779947980099164e-01 0
11 5.885771273956723917e+02 7.684287369251672217e-01 1
8 5.832209942471761224e+02 9.448144475870456915e-01 2
11 5.887540943678870917e+02 1.937991009249098728e-01 2
13 5.894785828880133067e+02 9.233251514154177109e-01 4
19 5.896584237065185334e+02 1.647468679308222717e-01 0
13 5.894913889650708825e+02 9.389862195745161122e-01 1
20 5.896584173539035874e+02 4.329831412224749432e-01 0
20 5.896586509137972598e+02 1.168602914526497005e-01 0
5 5.471332580042110294e+02 7.633006906301084693e-02 2
6 5.613337338878204719e+02 8.689668189361894335e-01 2
14 5.896135010922865831e+02 5.272088309380413840e-01 1
2 4.127573596321195168e+02 3.911203571855696448e-01 2
9 5.863541170411758685e+02 5.922627416150375579e-01 3
14 5.896022930644808184e+02 5.093338388366644987e-01 0
16 5.896341911229922061e+02 2.227275014349536786e-01 0
10 5.880704459109132358e+02 8.951460758457594480e-01 2
10 5.878019065332557602e+02 1.221789808532765809e-01 2
3 3.035721898044852196e+02 8.032452874397857379e-01 2
6 5.644106490333263082e+02 9.030424080568985046e-01 2
13 5.894480571962754993e+02 5.780362537064451800e-01 4
18 5.896531894540639769e+02 7.154323133805304824e-01 1
13 5.894066059982330898e+02 5.025380054256931572e-01 2
13 5.894270520277890455e+02 6.221605077329219746e-01 2
12 5.894525115089677456e+02 5.783360912512576224e-01 4
19 5.896545578141397073e+02 1.678447696636526931e-01 0
11 5.895672377649423197e+02 6.845677354316284102e-01 4
16 5.896470282613995550e+02 9.768519938180837414e-01 1
9 5.893234822731694749e+02 5.843118898947192719e-01 4
13 5.895242650399966351e+02 3.319400369312106580e-01 2
14 5.895523341827831700e+02 7.495247882508575543e-01 2
17 5.896484231976880892e+02 8.902408349143713373e-01 1
20 5.896580505210840784e+02 7.285257136292342395e-01 0
8 5.866062027385730744e+02 1.954302895487630698e-01 3
14 5.896504380432329526e+02 4.156584860994658737e-01 2
22 5.896593209058124785e+02 5.683296355874478678e-01 4
22 5.896593751242209009e+02 6.577340539661733487e-01 4
12 5.891009286270084431e+02 8.105490923871467857e-01 2
20 5.896588361220738079e+02 9.640988772829928166e-02 4
6 5.642774009779437847e+02 4.424875220264984366e-01 3
18 5.896525731325959896e+02 8.656432559613156386e-01 0
10 5.878044852900254682e+02 9.169946846047519196e-02 3
8 5.854502656579512632e+02 7.516077383335328932e-02 2
22 5.896593858202152205e+02 6.841922260669264233e-02 0
22 5.896595293204399013e+02 6.339226366955441616e-01 4
7 5.820011418408998907e+02 2.059497542964062455e-01 2
22 5.896591668143806828e+02 8.070900146245161277e-01 1
5 5.589539050022094671e+02 5.717702354412459442e-01 3
16 5.896483939867248409e+02 3.633829106186243774e-01 1
21 5.896592481252082507e+02 9.744610517929763738e-01 1
24 5.896594965007143401e+02 1.247033675398071841e-02 0
7 5.853794069870973544e+02 6.096829323586320237e-01 3
