# level_assignment log_likelihood tiebreaker ID
0 -1.161570766918225308e+04 4.030932871328706257e-01 4
1 -1.073291183421725236e+03 4.626654252956959312e-01 2
0 -1.293824977448347795e+02 5.514532633638065118e-01 1
2 -1.097534256592274744e+02 1.786586960021163406e-01 4
0 -6.846015119806972962e+02 6.570163906849932900e-01 4
4 4.614198789661494402e+02 2.982820040302938125e-01 0
4 4.813656092198280021e+02 5.528845267268800434e-01 2
4 5.013150574421815122e+02 3.316595667718844065e-01 4
3 3.427431763490196772e+02 4.800440990936221120e-01 1
3 2.778203113932370343e+02 3.200042582802063440e-01 4
5 5.669748501557926375e+02 1.340648144717116463e-01 0
7 5.756732069291706466e+02 1.020049756461784973e-01 0
0 -1.419074874005389211e+04 3.874514121081356066e-01 2
1 -2.777699740678139278e+03 4.871076191478032058e-01 2
2 5.196897198257087211e+02 9.362058212788411105e-01 0
8 5.803203064751924103e+02 5.290539999133354598e-01 4
10 5.875610985740287333e+02 8.633898025060018355e-01 0
7 5.818607112519694056e+02 1.758529666378292888e-01 1
10 5.884213179784479735e+02 8.804405755008026802e-02 0
6 5.590824462642345907e+02 5.424659097374097128e-01 4
7 5.739788856013744862e+02 9.280493579252466763e-01 1
10 5.894768588211554743e+02 1.027098480788697088e-01 2
11 5.890372366610870358e+02 9.739810862956044257e-02 4
10 5.882830699992439349e+02 6.007393720732685516e-01 2
6 5.608120485023055153e+02 3.428719167660670974e-01 0
6 5.499026654709150534e+02 5.843817608398539365e-01 3
6 5.737872426840414164e+02 2.365334484008210225e-01 4
7 5.794920698702186428e+02 5.289362229787464287e-02 2
5 5.493554055008958130e+02 3.546284849405083595e-01 1
12 5.891873721827269037e+02 5.650586816413514235e-01 4
9 5.872973216789696380e+02 2.720089912411893796e-01 4
6 5.483471519757179067e+02 1.874889172911004820e-01 1
10 5.877593477242107838e+02 9.175021783544146103e-02 2
10 5.878708898263454330e+02 1.549356663097503639e-02 2
12 5.892021239943297815e+02 4.798419222322479194e-01 4
13 5.893709020440805944e+02 6.911314781311059807e-01 0
13 5.894441634714390830e+02 3.911712912430092004e-01 0
2 -2.025715070230133676e+02 3.182649362754432776e-01 1
8 5.834039740931029883e+02 5.346868672109866827e-01 2
3 4.659959941452081011e+02 7.878843655584129024e-01 4
4 4.763963442843202643e+02 4.210964199124209717e-01 2
4 4.399261742986165018e+02 5.410067586405559181e-01 1
8 5.828038852748462659e+02 7.919303707988077923e-01 1
13 5.892830230044455675e+02 4.722264877654026166e-02 3
3 2.200046544805743167e+02 1.311270880886669377e-01 2
10 5.878362947475241072e+02 4.232402145996071452e-01 0
7 5.775399313294878993e+02 5.190857682600311662e-01 3
12 5.891316149424380910e+02 1.040275611938500377e-01 0
15 5.895372317262471142e+02 1.273043664280184561e-01 4
14 5.895212075951138786e+02 1.423368967979666277e-01 0
10 5.874121177369108864e+02 9.344389418114915080e-02 0
16 5.895858982861290087e+02 8.399518341577308922e-01 3
10 5.873275999778247751e+02 8.569519854465518227e-01 0
7 5.879740179435659684e+02 3.268457176555905619e-01 2
15 5.895837785493649790e+02 9.162906800580440658e-02 3
1 -1.195036429710449738e+03 6.619199045316223606e-02 1
15 5.895579569416206596e+02 3.044256355398446967e-01 2
6 5.662482974292323661e+02 6.712371683634618114e-01 1
4 4.290187541022617097e+02 8.133495392189820095e-01 4
14 5.896026198602110071e+02 3.268745889648529968e-01 2
6 5.742109008063807778e+02 3.126524799673013888e-01 0
12 5.891268629758403677e+02 2.830686297914093985e-01 1
5 5.216286030128119364e+02 5.207580752035054772e-01 4
1 3.949894659622815993e+02 2.121154551820151890e-01 4
17 5.896383412036557274e+02 8.394592642798119897e-01 1
6 5.765694077316846915e+02 5.999318193222085149e-01 0
10 5.876826697124561178e+02 9.707278803651715471e-01 0
7 5.810650852451573201e+02 3.307990120067358930e-01 4
4 5.737413187183656191e+02 2.380147328057513612e-02 4
10 5.885188201790867879e+02 7.330774241979175487e-01 3
