# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32325 32325 10627 32325
-1.101894803293436587e+00 -2.804511913277606254e+03 1.407858390708190965e-01 25974 32305 14277 41862
-2.172113732944918496e+00 -7.360162390529977472e+01 1.166105112840260666e-01 21455 32237 17337 45450
-3.138200723437075457e+00 3.262027403205113956e+02 2.690186238647808148e-01 18919 32249 15976 48342
-4.238489930337170364e+00 4.992214084235770315e+02 8.049011287555728478e-01 17078 32317 15873 47185
-5.322086430674810131e+00 5.581249106051551507e+02 6.869039539679621109e-01 15635 32321 18073 47197
-6.284468053368326146e+00 5.769769631685124978e+02 6.984619945381354000e-01 14305 32401 15415 49292
-7.436313970415618257e+00 5.846534682004660226e+02 1.816270878799111643e-01 13218 32398 17773 46783
-8.406159098973406074e+00 5.867917826753971440e+02 9.742019216651662816e-01 12410 32426 22340 48823
-9.199976251960942264e+00 5.875598090700227658e+02 9.135429383973523443e-01 11768 32519 19428 53424
-1.021087236699030854e+01 5.879570028263547101e+02 6.874418454973101333e-01 10839 32592 22570 51022
-1.103638165114271708e+01 5.880796237959814334e+02 2.964483857729824923e-01 10425 32656 23750 54096
-1.186854984175024796e+01 5.881372693757078878e+02 1.469800034769042085e-03 10036 32609 17866 55123
-1.298791814218555807e+01 5.881679960320823284e+02 4.988755372669828603e-01 9331 32581 14955 49314
-1.416832283747919163e+01 5.881787754947138183e+02 2.593276964679680496e-01 8321 32490 13577 46799
-1.538898472294702202e+01 5.881818275247363772e+02 5.753266037695338175e-01 7912 32753 13514 45720
-1.659209631366077886e+01 5.881827527379120966e+02 5.407019696211490256e-01 7376 32763 16255 45762
-1.762484675320126826e+01 5.881830158148557075e+02 1.766668256277889593e-02 7042 32785 31855 48403
-1.807062992262875412e+01 5.881830669490378796e+02 7.886664123594163689e-01 6712 32803 21531 63185
-1.914341754926141448e+01 5.881831232472177362e+02 8.982466988999500135e-01 6379 32638 28180 53718
-1.980529931614258388e+01 5.881831366045562390e+02 4.020448515945743706e-01 6183 32466 23547 59570
-2.073695347851749560e+01 5.881831455369533614e+02 2.949259445949926617e-01 5762 32558 23710 55511
-2.159514081617577830e+01 5.881831492932687979e+02 6.796707112870180589e-01 5521 32418 29915 54616
-2.221524116826749662e+01 5.881831504408798992e+02 7.544176650096798831e-01 5327 32217 21269 60144
-2.325272230198113732e+01 5.881831512480258652e+02 1.240035045908131350e-01 4917 31968 12019 51974
-2.468365508821887744e+01 5.881831516128866042e+02 7.073268901093441308e-01 4692 31990 7376 43391
-2.637957513560586165e+01 5.881831517015469899e+02 9.290750647735457335e-02 4385 31982 8190 38944
-2.788404313332239326e+01 5.881831517160023850e+02 5.719211556701134791e-01 3933 31477 17579 39033
-2.869556534167154993e+01 5.881831517187717964e+02 6.668118162038227936e-01 3817 31562 25798 48500
-2.934588775734072641e+01 5.881831517195564629e+02 8.407573154537497651e-01 3637 31672 0 0
