# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30787 30787 14011 30787
-8.052604883192595597e-01 -7.075966082423799890e+03 8.276641205348020947e-01 27359 30822 15959 43317
-1.803883186833766805e+00 -1.679568415422242197e+03 7.747720712389600806e-01 23737 30859 15224 45679
-2.895950645422757930e+00 -4.805136920698050744e+02 9.844556993954078905e-01 20829 30733 17992 44912
-3.816116100241897513e+00 2.794507192403449380e+01 3.194667459635945894e-01 19019 30683 15596 47456
-4.921473907234818590e+00 3.577774840000030849e+02 3.850016535305282872e-01 17158 30659 15570 45286
-5.984568115903059926e+00 5.012658408318642387e+02 3.228240515163091628e-01 15798 30357 15316 44842
-7.053751365733506695e+00 5.565206774725650121e+02 6.013599141997791886e-01 14426 30319 16057 44634
-8.074608185914030400e+00 5.771164652937083019e+02 8.429369187694544241e-01 13319 30151 14162 45086
-9.221461759445302775e+00 5.856068097806580681e+02 5.153596173115576606e-01 12252 30239 11057 43450
-1.056022661076896796e+01 5.882964820616333554e+02 7.769227773257645353e-01 11290 30143 15356 40577
-1.153394131640495601e+01 5.890091951564919555e+02 6.653624709077773369e-01 10528 29771 12814 43948
-1.274899668923021778e+01 5.893809386356954292e+02 2.273338502447130871e-01 9725 29912 15015 41963
-1.377476629828958288e+01 5.895179849403069738e+02 4.240112469110490778e-01 9293 29689 16143 43879
-1.477471903092145844e+01 5.895839104246215356e+02 6.319871351690797834e-02 9084 29785 10073 44934
-1.622877423897635651e+01 5.896296335530115584e+02 7.454783919674452530e-01 8535 29776 14320 39065
-1.723207625356715056e+01 5.896414800805390541e+02 3.058525388605382034e-02 8011 29510 28228 42435
-1.767122168484946698e+01 5.896442535230874000e+02 7.574437889717711148e-01 7861 29406 20534 55437
-1.866475449290848942e+01 5.896487563096438862e+02 8.418345288002410109e-01 7157 28135 15904 47539
-1.975353959570228213e+01 5.896510841094407169e+02 3.835553177699999594e-01 6810 27731 3670 42592
-2.200130284240374579e+01 5.896531225158682901e+02 5.624201896406259005e-01 5107 22629 8364 26143
-2.312490647490392703e+01 5.896533757688503101e+02 5.926212451184020846e-01 4902 22687 13525 30029
-2.394013841062753301e+01 5.896534662365181703e+02 4.371733983703605664e-01 4705 21898 14854 34376
-2.479182684679653903e+01 5.896535212873372984e+02 6.284417181269132957e-01 4320 21913 17398 36312
-2.554639381918900654e+01 5.896535484371129314e+02 3.633638783289315222e-01 4319 22029 18533 38774
-2.630211097555294586e+01 5.896535675599934621e+02 2.229316651051917453e-01 4329 22047 23256 39954
-2.687063400053936491e+01 5.896535803712529287e+02 1.372230397690359649e-01 4253 22132 21401 44751
-2.762365474541259758e+01 5.896535937423677751e+02 4.984851292275691570e-01 4138 22153 31267 42921
-2.797500770356135646e+01 5.896535973995212316e+02 7.227851501291204794e-01 4066 22213 35996 52832
-2.838503992418878852e+01 5.896536003703217830e+02 9.036889081887053976e-01 3916 22231 0 0
