# level_assignment log_likelihood tiebreaker ID
0 -1.832605941287674341e+03 1.440075494667957812e-01 0
0 -2.260071808536455501e+04 2.384737335414212622e-01 3
1 -2.436500939521335113e+03 8.352494809177262169e-01 2
1 7.904336009058010859e+01 9.963906361192996775e-01 2
3 -3.426538869971438999e+02 1.246445279536722572e-01 0
1 -4.437033615950084823e+03 2.741073728745249127e-01 4
5 3.918378158750255693e+02 2.811394095853444464e-01 3
5 4.755995438947668390e+02 2.195085507821258330e-01 0
2 -1.476269261545948211e+03 2.279387508905053039e-01 0
3 -1.679859964724550423e+02 8.389295387147956973e-01 2
6 5.274183494203725786e+02 4.582840802467273988e-01 2
6 5.417886052490109705e+02 9.009806639056066047e-01 2
6 5.265317362974632260e+02 3.744999385036877348e-01 0
4 2.342278517048956701e+02 2.762958803085567294e-01 1
0 -1.472551659469283777e+03 9.640893356199331521e-01 1
6 5.065103319136137543e+02 3.873770217236778279e-01 3
3 -2.607999310510213036e+02 6.657585357550959149e-01 4
2 -1.138260855732879008e+03 1.880853126246480045e-01 2
1 -2.574219669088519368e+03 8.463988833357233288e-01 0
2 -4.100891658272087170e+02 8.163434339940781048e-02 4
4 5.765975604597915094e+01 4.428450320754038216e-01 2
5 4.069195452991409070e+02 8.949941782139499979e-01 4
5 5.297202887935120543e+02 7.220024882381466114e-01 0
1 -2.206653132376534813e+03 4.408122482053027369e-01 4
5 4.456744019829370700e+02 1.590371976335858140e-02 2
8 5.781692578896768282e+02 4.092378522109515471e-01 4
4 2.121924005563848823e+02 1.215682519259736194e-01 2
7 5.698138270354870656e+02 5.730860255216719823e-01 3
8 5.804200645824441835e+02 7.965910746122868424e-01 2
6 5.755816998246690446e+02 1.082938541991998738e-01 1
11 5.892792774649436751e+02 5.066089107740165964e-01 4
10 5.884045890116739201e+02 6.897671680527039939e-01 3
0 -2.145364344766843351e+04 9.308644513853804314e-01 1
4 8.113361181749095863e+01 8.170077017133448027e-01 1
11 5.893723315778281631e+02 5.969178471273453024e-01 2
4 1.209990100794370846e+02 3.813183847454482134e-02 3
9 5.888766112557742645e+02 5.921320179536420092e-01 2
2 -1.340615794906884503e+03 9.696942716918243166e-01 1
5 4.148517250891441677e+02 4.346325391129518545e-02 3
6 5.085696224962676411e+02 8.305405854264774623e-02 1
10 5.888620437085155572e+02 3.991627241861280817e-01 2
8 5.852196145604900721e+02 3.326530049447251614e-02 3
8 5.838798498841227911e+02 8.390032825747876233e-01 3
13 5.895717328152270511e+02 9.313004265391359171e-01 4
2 5.804911142317639587e+02 3.291331059409063897e-02 0
5 5.558290117732333329e+02 5.681484772953210305e-01 0
7 5.750154421870568058e+02 5.461372526935148741e-01 3
4 2.249812384425182188e+02 9.244098305980641417e-01 3
5 3.881743568211459774e+02 3.666290056386696250e-01 4
12 5.894591505523135311e+02 1.523360472875801008e-01 2
6 5.288572699761448348e+02 3.647364620035416505e-01 0
4 3.779900463489391313e+02 5.059734975755200148e-01 4
7 5.641968871622607367e+02 2.690576770965513731e-02 0
7 5.875944846644270001e+02 8.043911379610980961e-02 0
12 5.895019841524185722e+02 4.929743646563737869e-01 1
11 5.893186624086508800e+02 7.404042377870680980e-01 3
3 3.473253835213236584e+01 8.137488792638509771e-01 1
11 5.893820869901469450e+02 5.535020597293415986e-03 0
8 5.885480227572260219e+02 7.967121928433527067e-01 3
11 5.895369996149893268e+02 9.536498936195645371e-01 4
13 5.895764060090838257e+02 2.621793433918662153e-01 4
5 4.053194088325435587e+02 4.498021672516192559e-01 0
7 5.784394195714340867e+02 9.329496432568917808e-01 3
15 5.896336399449214696e+02 8.842195590590323784e-01 4
11 5.890798414529792808e+02 2.250006576920440260e-01 3
1 2.779018735079255293e+02 6.012159195944388745e-01 2
6 5.641391282268532450e+02 9.074860366741674955e-01 0
1 -1.992011707327383647e+03 8.940345763426472692e-01 2
15 5.896374778436027100e+02 1.933086289743926045e-01 4
15 5.896346332089556199e+02 9.493367445217657519e-01 4
16 5.896418154916375443e+02 6.473391496468670070e-01 1
14 5.896292278004953005e+02 5.304783409774138647e-01 4
16 5.896483354993715693e+02 2.616200692215212009e-01 1
8 5.864069863134188836e+02 3.544682801674321759e-02 4
9 5.865130152040226221e+02 1.884589989083162997e-02 3
4 3.699504635134032924e+02 1.669812935045710822e-01 0
7 5.608380763013707337e+02 9.351244052423233200e-01 4
5 3.977431377479006755e+02 9.239364002127455240e-05 0
2 -9.534367381711222151e+02 9.324671104971002933e-01 0
18 5.896507595447629910e+02 2.442069186994011432e-02 1
11 5.891470774012020684e+02 5.134497194222523708e-01 3
10 5.890009615297664141e+02 3.242766729320709085e-01 3
13 5.895592353709536155e+02 6.279006972766876249e-01 0
14 5.896016325072648669e+02 9.717191139520373611e-01 0
9 5.878068836808980677e+02 1.467588144196802225e-01 0
5 5.645723618117051501e+02 5.111555031686897399e-01 2
6 5.534100910276279137e+02 6.645090455697802989e-01 2
6 5.450086256897313888e+02 8.403861071942588801e-01 0
4 4.033920902807653874e+01 6.677694117997519108e-01 0
10 5.884513194794744777e+02 8.835577364672790868e-01 4
14 5.895948951940046072e+02 9.391615756250795144e-01 2
7 5.601289777126281706e+02 4.454817805932796970e-01 0
10 5.884962166436243933e+02 1.952836088291111660e-01 0
5 3.699027965328137952e+02 6.674349791835909596e-01 0
6 5.632749592687999893e+02 3.264900043810530783e-01 0
4 4.137421733558788901e+02 4.091674053316507464e-01 4
9 5.859538198136756364e+02 6.725442587036163378e-01 4
16 5.896428163309565207e+02 1.145737503958876857e-02 3
16 5.896467758583255545e+02 1.852982964834513219e-02 3
17 5.896457281863738444e+02 4.903028446231779691e-01 3
19 5.896526904399817113e+02 9.703964626976455676e-01 1
19 5.896525144733930119e+02 7.020299503440909916e-01 1
17 5.896466788704217379e+02 2.229443697118132506e-01 1
3 3.553706377871478708e+02 2.892440935312563521e-01 2
6 5.216564352665216120e+02 2.395962518438324307e-02 4
17 5.896493244856501406e+02 2.009088820914578244e-01 3
18 5.896520297706568954e+02 6.598040467088516214e-01 1
8 5.866278346768691563e+02 9.941243718543443242e-01 2
8 5.776166974422330895e+02 2.846087285452555404e-01 4
8 5.793820130490947804e+02 4.794934624273583523e-02 4
2 5.619643346390873262e+01 1.005734704954336922e-01 2
14 5.896103425966822442e+02 9.763167616967037832e-01 0
19 5.896516182468874376e+02 8.894535134177470326e-01 0
19 5.896518288944838559e+02 5.227319689390821367e-01 0
16 5.896511422698714568e+02 5.517850747237766917e-01 3
18 5.896492525197902523e+02 4.214365498167484958e-01 1
16 5.896476243026612565e+02 8.510773064493720730e-01 1
18 5.896493447983444867e+02 7.908627391315012911e-01 3
3 8.073639206217845299e+01 2.687051764468095794e-01 4
6 5.646147137986187090e+02 3.549011779037486436e-01 2
10 5.892162467480281975e+02 6.379238704153200601e-01 2
14 5.896150689896594486e+02 6.855257991883298985e-01 1
18 5.896516410995786828e+02 2.566608152526725917e-01 0
17 5.896498899880165254e+02 5.552386326959239948e-01 1
15 5.896391764948079981e+02 7.648458520814771511e-01 0
13 5.895259105169996019e+02 9.025302890425836999e-01 2
16 5.896450766759228372e+02 5.520679796208801671e-01 1
9 5.877278231396020374e+02 8.476462746188875297e-01 2
16 5.896461818835496160e+02 2.258616029316840024e-01 1
16 5.896513709302889765e+02 8.553461368446826363e-01 0
17 5.896497882225639842e+02 9.786024366746793879e-01 0
7 5.723941339086096605e+02 9.840535511162161741e-01 4
19 5.896514677050386126e+02 6.725698425163810779e-01 0
18 5.896519230558208164e+02 2.064251638181735515e-01 3
17 5.896494874530999368e+02 8.308540325798197124e-04 0
16 5.896416809638601535e+02 8.853024588671969397e-01 0
14 5.896413377297169518e+02 7.826976323985497253e-01 0
7 5.894775980021034911e+02 4.765394496987212722e-03 4
14 5.896348525035946295e+02 1.087634506844519233e-01 0
13 5.895588996984489540e+02 4.408096665293297356e-01 0
9 5.867823269559694381e+02 3.773194637022994069e-01 4
12 5.894709198428206491e+02 8.754727156544195310e-01 4
9 5.866059627517722674e+02 7.249439624746116806e-01 4
10 5.888992372014746479e+02 3.314335627767529824e-02 0
12 5.894604479100050867e+02 6.503477701524447152e-01 1
11 5.895089723368002979e+02 9.460921480498241110e-01 1
6 5.499371215701363553e+02 8.868805114704163273e-02 0
5 4.889829614271992000e+02 3.650402665199106167e-01 0
13 5.895465509730138365e+02 7.132543572378606811e-01 1
5 4.991638132906849705e+02 3.817422611453363812e-01 2
9 5.896270801894729630e+02 5.371577013269890344e-01 1
3 -1.496862884411575578e+01 5.946582462660874313e-01 1
12 5.894860809876038275e+02 4.157748001890420042e-01 0
13 5.895288782046766300e+02 7.586467323831641574e-01 0
7 5.679255730048587338e+02 2.170204505274071494e-01 1
8 5.833975257956820997e+02 4.720407081396181814e-01 1
14 5.896270886442002848e+02 6.302269217488685182e-01 3
8 5.796355604547310350e+02 1.806618393818624213e-01 1
9 5.892232886730554355e+02 4.277346153256658123e-01 4
7 5.657874648763572623e+02 8.799136150084656549e-01 4
13 5.895825980682009231e+02 4.732181886639156287e-01 1
12 5.894685391798594765e+02 3.650647974762981640e-01 1
9 5.867299112210050680e+02 3.918904298025189803e-01 1
8 5.840052450308166954e+02 3.785851918583876263e-01 4
18 5.896497415548815297e+02 6.275958239469165978e-01 2
17 5.896469809254912207e+02 6.461006764489977128e-01 2
12 5.894380385471179125e+02 3.747966759912663703e-01 4
12 5.894371473146788958e+02 9.063985685608362264e-01 4
8 5.780549628058154212e+02 7.591597446744222655e-01 1
9 5.863403678018821665e+02 6.271089641367281198e-01 1
8 5.827420551582752068e+02 2.596401222153743582e-01 4
16 5.896416855244594899e+02 6.388714026423212289e-01 3
15 5.896346196584840982e+02 4.212657211665404300e-01 2
10 5.885116050777432974e+02 9.453966157603921339e-02 4
8 5.861486210314841401e+02 1.741328370308815598e-01 4
9 5.884836343756800261e+02 9.019229261774981410e-01 4
13 5.895371612949531936e+02 2.027535782432265954e-01 1
11 5.891098661720875498e+02 7.320263736045121705e-01 1
18 5.896512193358978493e+02 3.202294239347135418e-01 2
12 5.893999843863094839e+02 4.577245652329909875e-01 4
17 5.896453730282896686e+02 3.351111487615971996e-01 1
17 5.896473642251708043e+02 4.659059871485881077e-01 1
7 5.644702467794998029e+02 1.866122423941073971e-01 4
18 5.896525060071578537e+02 8.212856483514411332e-01 1
5 5.817306892450940268e+02 7.940141867841270518e-01 4
10 5.894316590110108791e+02 1.176760519150086004e-01 0
6 5.407043941565191290e+02 2.236440709054014764e-01 4
10 5.888277307040718824e+02 6.529279388109905380e-01 2
16 5.896428124509734516e+02 3.500962143782893610e-01 2
15 5.896308651251913489e+02 5.373716643695036765e-02 1
9 5.885830808663509970e+02 9.717096121768931116e-01 4
13 5.896015816558274310e+02 4.840279671239963166e-01 1
16 5.896428964960689427e+02 1.428850125088606815e-01 2
8 5.834810873550213728e+02 2.626165437878391629e-01 4
19 5.896522992266600340e+02 4.625702888466680651e-01 2
8 5.808330161583522795e+02 1.433465114366944959e-01 3
9 5.885073308096168603e+02 2.065490556859722604e-01 4
17 5.896465349292120663e+02 8.418011580982589503e-01 2
7 5.763703279243068209e+02 1.202757150650040074e-01 3
17 5.896491302558225698e+02 9.646659104817967290e-01 2
18 5.896488554303052751e+02 7.378597968932686380e-01 2
17 5.896472827401320274e+02 5.405414582602716678e-01 1
22 5.896534873286602760e+02 7.470233717398837570e-01 2
14 5.896478318947748676e+02 2.186402134908541073e-01 1
19 5.896517009526817219e+02 6.715346576572177595e-01 0
17 5.896491261450048569e+02 5.770292982079344712e-01 0
20 5.896533619090600951e+02 6.984971892287927808e-02 2
9 5.859760001519720163e+02 7.608945006597724880e-01 3
16 5.896420575149675187e+02 2.963236002640758926e-01 0
15 5.896483828063085184e+02 9.278741247173132034e-02 2
9 5.870057528204335995e+02 9.509840925596007022e-01 4
7 5.620852627057801101e+02 2.692360483850506081e-02 4
18 5.896490409874027137e+02 6.709505681451587433e-01 1
5 4.259026420739442074e+02 6.550469733647881765e-02 4
16 5.896470190608563371e+02 6.996341346809309414e-02 1
0 -1.367569744800036688e+03 8.526626910426619854e-02 4
18 5.896498115675938152e+02 2.006053579202200510e-01 1
7 5.625109772412401981e+02 4.422990382646716512e-01 4
6 5.359334249087016815e+02 8.537532297743410936e-02 4
3 4.008144583638427889e+02 3.780977589548906170e-02 4
13 5.896308344771357497e+02 8.619903964337799485e-01 1
8 5.867733213083115515e+02 2.246915804927111793e-01 3
4 4.111103385554237661e+02 9.040428807244216269e-01 4
15 5.896327555800112350e+02 6.905214633163713200e-01 1
15 5.896482232196331097e+02 6.517655659468065688e-01 1
15 5.896412372793977283e+02 6.017463403475495909e-01 1
16 5.896464365414851727e+02 4.655403053565689842e-01 0
15 5.896417587601322339e+02 5.940690334554230567e-01 0
14 5.896267044497101324e+02 2.481049653408113898e-01 0
