# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 155820 155820 60904 155820
-9.493715339793757924e-01 -7.240756206482134985e+03 2.116506173468044871e-01 152902 156195 78845 204696
-1.909442237432942058e+00 -3.840863027387919828e+03 1.478496340683601307e-01 149382 155974 77311 222879
-2.960739103563442942e+00 -2.813850629663417749e+03 5.275542806151567454e-01 146041 156089 90862 222633
-3.869261970566430175e+00 -2.264622630379493330e+03 5.619779755618690142e-01 144389 156576 78140 234396
-4.955540752059080845e+00 -1.738704745468861347e+03 9.360851623660770837e-02 142200 156721 87819 224923
-5.903168882674441953e+00 -1.374917119099829961e+03 1.095914900636971862e-01 140471 157051 92738 233014
-6.833571518600598971e+00 -1.080383475818605348e+03 8.388305237671986880e-01 138483 156725 93451 237524
-7.774064675169681138e+00 -8.277168415550964937e+02 6.693464010459505564e-01 136477 156360 85787 238099
-8.792420379148987664e+00 -5.920305182261473647e+02 1.852895878020724696e-01 134849 156291 68905 230320
-9.971813322503464860e+00 -3.584765841836770619e+02 5.673026096430398013e-01 133001 156028 66713 215326
-1.111985512792716690e+01 -1.613849651463791020e+02 2.107507124111193675e-01 130896 155620 79721 213318
-1.210612542493276855e+01 -2.252171442082405406e+01 6.508996390556842648e-02 128549 154717 78796 223529
-1.314341501382122246e+01 9.901232058974287042e+01 7.330969323522227299e-01 127406 154496 96620 223145
-1.399929256257913934e+01 1.816332616824514901e+02 6.662103515583795987e-01 126018 154385 76907 237430
-1.511074185953784621e+01 2.733344402104390838e+02 4.522695985445246425e-01 124026 153612 77329 220410
-1.615208767012655855e+01 3.443275764885822809e+02 3.128215757986561041e-01 122908 153112 90614 219025
-1.704874097174904435e+01 3.978494255592416380e+02 5.059194001570227472e-01 121411 152834 93946 229637
-1.795479294367148171e+01 4.412910439825950561e+02 3.229504679032193515e-01 120650 152702 83140 232835
-1.898098616925345183e+01 4.814091899890781292e+02 7.672426543645175512e-01 119234 152397 81390 223291
-1.998906080566682775e+01 5.124918871441510646e+02 9.030017738262712257e-01 117481 151403 90033 220543
-2.089745068710637810e+01 5.340480131273299094e+02 3.564012693955980193e-01 116316 151313 73342 227543
-2.201255753115823666e+01 5.545825191030033920e+02 4.971849770561078685e-01 114983 151119 85354 213940
-2.294152918054445323e+01 5.657642875538357430e+02 7.215088606827494422e-01 113715 151451 88225 224427
-2.388314799804858168e+01 5.725426063719053218e+02 2.643144835928410430e-01 111906 151026 90892 226665
-2.480711188025505720e+01 5.768174104579416053e+02 1.644845409173167627e-01 110464 151014 67402 228292
-2.599757083611300601e+01 5.803497163175902642e+02 1.687912958567184263e-01 109824 151501 57336 208823
-2.724640386757153365e+01 5.827888576309451309e+02 3.145117868037489717e-01 108080 151178 83056 199487
-2.813869460728429317e+01 5.839804289433145641e+02 5.753984404396467189e-01 107196 150782 81013 219597
-2.913623299407712963e+01 5.850116643872397617e+02 7.596829212555977762e-02 106591 150844 80477 219285
-3.013833092304846772e+01 5.858620563149063400e+02 3.283783590740387837e-01 106412 151023 66776 219704
-3.130314204022251090e+01 5.867262135900971316e+02 5.655875009112418805e-01 105229 150855 68221 208364
-3.240352161317611035e+01 5.873518289915070909e+02 2.786159805962551417e-02 105209 151203 59065 209581
-3.363074204805466394e+01 5.879439135864334958e+02 6.624802957597557551e-01 105263 152212 84860 202719
-3.451804803343252814e+01 5.882530806078800651e+02 1.287991526499712991e-01 104890 152942 54271 223225
-3.587051099096797913e+01 5.886351530078302403e+02 3.603619057334507270e-01 104889 153789 65776 200487
-3.696861394585715033e+01 5.888548880922403441e+02 3.888230836067793073e-01 104768 154523 85886 209371
-3.787333374429091037e+01 5.889986799038530307e+02 5.935727696998238656e-01 104298 154626 106211 228257
-3.866418745629136566e+01 5.890912574135977593e+02 6.682972109036087183e-01 103672 154841 107343 246274
-3.951251190376226674e+01 5.891766827694725635e+02 8.345187268814235892e-01 104135 155395 107678 249775
-4.037054415659203954e+01 5.892488311153633731e+02 6.794213016592296484e-01 103921 155727 119049 250892
-4.114150473189663870e+01 5.893076208193483581e+02 4.239989074176875317e-02 104153 156195 111592 263357
-4.201439626751692202e+01 5.893660590300933109e+02 2.279118170005745014e-02 103910 156107 147394 264098
-4.263473480282647898e+01 5.894023955426725934e+02 1.302866121305026326e-01 104045 156481 134836 291558
