# level_assignment log_likelihood tiebreaker ID
0 -2.571035150452868493e+03 4.513768526463266539e-01 2
1 -2.624387788619213097e+03 8.741519211178083726e-01 2
0 -1.792023636877634090e+02 4.726145029828487942e-02 2
0 -4.304987996223819209e+04 1.082131958917790515e-01 4
3 -1.791355847792498935e+03 1.100702402294852777e-01 3
0 -3.108628486869825792e+03 6.855169515441575934e-01 2
5 -4.800532773067026255e+02 5.560782064283387172e-01 4
4 -3.579925522316956403e+02 8.005272555839911819e-01 2
6 -5.874768905186622305e+02 6.393877071049276495e-01 1
5 -9.619757704776334322e+02 8.715342776237403610e-01 1
6 -5.383235451029578371e+02 6.058887845271259120e-01 1
7 1.850589723797909869e+02 6.436343327467548558e-01 2
3 -1.560973458836125246e+03 7.808281893174108257e-01 3
3 -1.264309677618565274e+03 3.930241639310203539e-01 1
6 -5.422133001852251937e+02 3.379675272787262541e-01 2
8 -7.850275528324445418e+00 3.639225235346166265e-02 2
2 -2.573214846938917617e+03 6.148771160621000487e-01 4
6 -4.668354180990402256e+02 2.395508014302730471e-01 0
1 -1.480685996329526461e+03 8.229145523976008070e-01 4
2 -2.565877426688462037e+03 1.383530861519766120e-01 2
9 4.180689133445505945e+01 3.282995881711615604e-01 3
2 -2.034323407612164374e+03 6.590130039784800609e-01 0
5 -4.046320416271657905e+02 9.856860161070675197e-01 1
6 1.372141542305033113e+02 7.046283268201425365e-01 2
9 2.039638926775910477e+02 9.586449145768995983e-01 3
4 -1.102557492567732652e+03 3.661126218997650533e-02 4
5 -9.242297548058154462e+02 7.184106194366116638e-01 1
9 3.256914897644921325e+01 3.830686931622413471e-01 1
1 -4.008050106180537568e+03 3.380566430700583935e-01 3
7 1.750826481247780464e+02 5.000978118410195350e-01 3
0 -1.278532251433752754e+04 7.729127067223435787e-01 1
6 -1.312884587870009057e+02 3.781828559713093507e-01 3
4 -8.171258034356154667e+02 9.567128590650693098e-01 3
11 3.874870102101269254e+02 6.263655772732031890e-01 0
7 -1.871277103543504268e+02 9.921033889292437680e-01 4
13 4.759783639283721186e+02 1.441610357960909639e-01 0
9 3.878675560955457513e+01 1.803449128879854868e-01 0
11 4.484603843923262616e+02 1.171394377244858731e-01 1
10 2.748698503251926013e+02 2.826866470946791110e-01 0
15 5.526084324622298709e+02 8.652439635346809155e-01 0
16 5.752618889511462612e+02 5.261735526957882492e-01 4
10 2.743910117187582500e+02 6.731694563613651594e-01 0
17 5.686087858234247960e+02 3.250412407140885751e-01 0
14 5.117462602587227138e+02 5.516430113136738811e-01 4
13 5.048526605294599676e+02 1.612487019657855569e-01 4
17 5.669491070964850223e+02 2.602860953145125222e-02 4
14 4.796871875824982681e+02 2.218756702478334453e-01 1
11 2.623452179736949006e+02 2.220405256689866325e-01 1
13 4.639287682780329760e+02 2.918202663208037673e-01 4
7 -6.508340208573211783e+01 1.080218816483515809e-01 4
8 1.439289919438228651e+02 7.336218059166694783e-01 3
6 -6.215107577070695015e+02 2.814321535551171927e-01 4
18 5.778515416008808643e+02 3.021058751632055631e-02 3
9 1.620575525449916370e+02 3.650477551870158210e-01 1
8 1.053905735682968441e+02 8.989196157917360708e-01 0
8 -1.120956089375629006e+01 8.644078708250302291e-04 3
5 3.992756201827020845e+01 3.224492287932014811e-01 1
11 2.811513972209957615e+02 8.737125026101955072e-02 1
12 4.170680957289313255e+02 5.023813649477002485e-01 1
15 5.324154780787209802e+02 3.077685182269353503e-01 2
18 5.783146932444873300e+02 9.475275325765710743e-01 4
20 5.835222049779279132e+02 4.147374617884033721e-02 4
17 5.695218593030422198e+02 3.849998114857326736e-02 2
15 5.282750230014304407e+02 9.479630277585322506e-01 3
20 5.816685188359614358e+02 7.221616898532333684e-01 0
14 5.227837521976143762e+02 1.679771120195776013e-01 3
11 3.156187166294834014e+02 1.829018566117712741e-01 2
2 -2.665438280834493526e+03 9.294170332050154526e-01 2
10 1.797864998094509588e+02 9.011456705361774455e-01 2
4 -1.038200185662433569e+03 3.885602745727645413e-01 2
10 2.591965980310627629e+02 3.138050553008531196e-02 4
12 3.725397436460647214e+02 3.236680247673895394e-02 1
3 -1.880767273826098062e+03 7.259129776677021306e-01 2
8 6.502651091532698047e+00 9.908177309503898300e-01 0
13 4.886420997659623708e+02 4.861251210769053088e-01 1
20 5.841586048572511345e+02 7.714168712215074830e-01 0
19 5.820511589686313982e+02 5.269524434552272929e-01 0
17 5.732511740075922262e+02 7.434803858631532369e-01 2
20 5.823031990586968050e+02 9.832399369039572790e-01 4
10 2.494509611810068463e+02 8.053475303554931408e-02 1
22 5.850208431754726917e+02 7.922961343552306079e-01 3
18 5.755957427893713430e+02 4.729991900386406600e-01 4
23 5.866702400529820807e+02 1.635341900490486777e-01 4
16 5.497088444067558157e+02 5.554417133893108094e-02 1
26 5.881200520652935211e+02 5.166528742935909690e-01 2
20 5.822353081533707382e+02 6.433571599417602371e-01 0
24 5.873664851670782809e+02 2.270370216309871569e-01 3
26 5.880736039456500066e+02 3.397579341048313495e-01 3
2 -1.724069809343869565e+03 6.805466845434646750e-01 4
2 -2.090066329766478248e+03 1.017489372656913554e-01 4
17 5.733706617465061299e+02 1.404977655162722161e-01 1
16 5.700538519222852756e+02 4.590820302108846729e-01 4
26 5.880921113477015751e+02 4.914664274183309089e-01 2
7 -2.030158382865265878e+02 1.506942043388277974e-01 1
17 5.704909238065777117e+02 1.470444648073540306e-01 4
18 5.784785437067519069e+02 4.311129847979613405e-01 1
25 5.875770651766646324e+02 1.446323834065597058e-01 3
6 -3.516247298923664744e+02 1.315819308975315627e-01 4
26 5.881794484555374538e+02 1.677154321515272883e-03 3
28 5.888795045395609122e+02 7.881246688553800173e-01 0
22 5.849450557768016097e+02 3.091190986445795374e-01 2
21 5.842519987909103065e+02 3.832134190522265560e-01 1
28 5.886761911542731696e+02 5.714276746827683384e-01 0
5 -9.505098519984023824e+02 6.362127179652696807e-01 1
29 5.889712040683164105e+02 3.975898581392515729e-01 0
2 -2.897531212994805173e+03 7.182597970833551893e-01 1
26 5.877799736169919242e+02 9.421846658631721771e-01 2
24 5.868097034712654931e+02 4.972353107682154771e-01 0
21 5.838869533903630327e+02 2.978182073930795148e-01 4
10 1.889811622366639767e+02 3.842123901517764673e-02 1
23 5.857787791773982917e+02 4.842380500997031101e-01 4
25 5.873420879747270646e+02 7.733078407340578941e-01 0
7 -2.718749588941752791e+02 8.660843191463174495e-01 1
16 5.775517442338725687e+02 4.763327068217328986e-01 1
27 5.884844165768697621e+02 1.988615536772539438e-01 3
11 2.827628374444171300e+02 6.396091204218923298e-01 2
28 5.887478452417437893e+02 5.407857824781721057e-01 0
20 5.825359591150192955e+02 2.353075040880957258e-01 1
30 5.891036034758470805e+02 4.630965887080129018e-01 3
15 5.235235251150215845e+02 8.083682567510677153e-01 2
14 5.369925114774957819e+02 9.918434207457380580e-01 1
15 5.313065830341554374e+02 7.456758795493015901e-01 1
21 5.844306809725153471e+02 4.917655467956802973e-01 2
22 5.850462839438084757e+02 9.532516852806048879e-01 2
30 5.891670826013314581e+02 8.724583823660143622e-01 0
31 5.892761454755834620e+02 6.248860814386908435e-01 0
24 5.864587926302885990e+02 4.862531242040653567e-01 2
22 5.850070721253980537e+02 3.550698753662473450e-02 4
17 5.778942183487881721e+02 5.573287620111724294e-01 4
22 5.847516223763063863e+02 7.744303442435657159e-02 2
22 5.858373747953486372e+02 1.396032546696882592e-01 4
22 5.843838737234319751e+02 1.315387484442284705e-01 2
21 5.841206705282950225e+02 7.936055992939117232e-01 2
31 5.893487978467429684e+02 3.729356382243027568e-01 3
32 5.894957129178359310e+02 3.475478664654829686e-01 3
13 4.687156641021188648e+02 3.262162787472533410e-02 4
33 5.894650523897746552e+02 5.025012202163807729e-01 3
29 5.893959892214561478e+02 7.578582445409836055e-01 1
34 5.895048429929549911e+02 1.393785017880515842e-01 1
15 5.617729659378755969e+02 2.054742063166718202e-01 4
35 5.895321986385210948e+02 7.900448072710295477e-01 1
19 5.805587168923842682e+02 9.232032792971338608e-01 4
33 5.894706801264128444e+02 1.564560802079721924e-01 3
35 5.895690778528731926e+02 1.047348719667038353e-01 1
35 5.895803357611176807e+02 7.801458024889099674e-01 1
32 5.893991696064551888e+02 2.458984531739325519e-01 3
30 5.891258177930781130e+02 1.471211092489069783e-01 0
7 -3.368479742463033517e+02 7.623661402552545097e-01 2
30 5.893680763719487459e+02 3.094935330585073530e-01 3
31 5.891816968713898177e+02 4.003434561378770296e-01 0
11 4.091560753066915481e+02 8.447378505153300132e-01 2
30 5.891035738113923799e+02 4.008757617084925950e-01 0
34 5.895054748207245439e+02 3.838062660400738957e-01 1
25 5.875954728197025361e+02 1.317879251490133852e-01 0
19 5.795474811253097869e+02 3.035759089098615249e-01 2
18 5.801451093462862900e+02 3.993633551789858571e-01 2
24 5.878901057080790906e+02 3.318599558981771835e-02 4
30 5.891242040367488926e+02 6.117474365102602007e-01 0
39 5.896114768554350576e+02 2.998005969956842737e-02 3
39 5.896145153870788818e+02 3.176932566710033989e-01 1
39 5.896172991103908316e+02 2.821073408028134111e-01 1
38 5.896043017934402997e+02 3.318581630256449699e-01 3
38 5.895933545829984723e+02 5.610382310010436635e-01 3
37 5.895912609747591659e+02 1.221721828669242033e-01 3
38 5.895931462816979547e+02 1.257737840043940125e-01 3
37 5.895841906328600999e+02 4.087713071478695781e-01 0
35 5.895751155034981821e+02 7.892828845717809738e-01 1
33 5.894372491438230099e+02 3.280423717948303675e-01 4
34 5.895004962456737303e+02 9.531829427157703094e-01 4
36 5.895862694659249428e+02 3.238367407349569405e-01 3
35 5.895711899350478689e+02 8.830010929673759446e-01 0
38 5.895944532430739855e+02 4.190564376130747615e-01 3
33 5.895260450043238052e+02 9.656619831563761913e-01 4
2 -1.223171881097204732e+03 5.722003222792003685e-01 2
7 -7.433055633243650107e+01 3.835673983765754969e-01 2
4 -2.587821348575441789e+02 2.884409433037955495e-01 2
38 5.896085402451899427e+02 5.824780089469596689e-01 0
36 5.895738789312925974e+02 7.806667315017629116e-01 0
35 5.895357870082705176e+02 9.175224495589802132e-01 0
39 5.896179036644452935e+02 2.579487358039145306e-01 0
28 5.886656117256776497e+02 9.266848910212507340e-01 4
9 1.913268694834422377e+02 9.044369626305983623e-01 2
25 5.878444042012488353e+02 2.707744948911399718e-01 4
30 5.891720287324131959e+02 8.723511684437047498e-01 3
39 5.896145770167063347e+02 3.574231890685390933e-01 0
