# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 304431 304431 101471 304431
-1.088960396263596309e+00 -5.002639733816527951e+03 3.277453183633939338e-01 290273 304029 146376 394444
-2.080902137034921218e+00 -2.170352388389837870e+03 6.571586327591587562e-01 279041 303856 125151 438218
-3.314890697134261544e+00 -1.048537402311147616e+03 4.795915804999886789e-01 268488 304421 134769 420751
-4.443040923625194871e+00 -4.631072671743283422e+02 6.661797645087552677e-01 260925 304979 143157 429159
-5.533893899272504413e+00 -7.841690448247067025e+01 3.925437600881342970e-01 255125 305195 146304 437607
-6.622788072252708602e+00 1.831570492149141387e+02 9.168082343999923722e-01 248706 305107 167285 440747
-7.593620463997824643e+00 3.383318154797201487e+02 4.575803737831698470e-01 243833 305125 154137 461162
-8.683089617872512989e+00 4.528177735582985406e+02 3.428055069210255712e-01 238799 304837 161822 449371
-9.703023652625546447e+00 5.188825763159210283e+02 8.205281418300028884e-01 232504 304190 159717 455238
-1.074729152331824800e+01 5.565176288423787128e+02 2.559297249386291995e-01 227162 304133 184971 453287
-1.165006078872777451e+01 5.722374864190928747e+02 8.619147352741048929e-01 221055 304417 198194 476755
-1.253500030652884689e+01 5.795171004456383343e+02 6.395924405261805834e-01 216811 304889 163430 489778
-1.362637142084012254e+01 5.837709167143311788e+02 8.757290842912546225e-02 212120 304985 170700 457462
-1.461307053011686818e+01 5.858096684356030437e+02 6.208273120478813301e-01 209046 304420 148457 462609
-1.574033686949437794e+01 5.872401303828579557e+02 3.981362319086001467e-01 206050 304316 179869 443585
-1.664918867863148222e+01 5.879922833388604886e+02 9.552043355173125416e-01 204630 305199 162862 473134
-1.771136725528458200e+01 5.885932062752219736e+02 5.080890442274539343e-01 202174 305663 98409 459312
-1.920681408287591907e+01 5.890960145766334790e+02 8.448359283551847287e-01 198681 306002 180592 398493
-2.001219970138107485e+01 5.892587151750708472e+02 8.815213709961825517e-01 197463 306423 199467 474040
-2.088573581198264506e+01 5.893855233505756814e+02 7.461007477908108143e-01 195663 306269 198451 495518
-2.180569413079591357e+01 5.894772052293540128e+02 7.015619410536589884e-01 194468 307006 165836 495875
-2.289504089158273104e+01 5.895478589383392318e+02 2.852367659318716386e-01 191390 307731 164519 464102
-2.392971247804192814e+01 5.895858836479179672e+02 9.697740674387729243e-01 188550 308381 134227 461292
-2.514739936336060211e+01 5.896103134959919316e+02 8.516333085090526112e-01 185942 309175 149440 435311
-2.621172694384458524e+01 5.896219793946067966e+02 2.880563089089765993e-01 182447 309678 165964 455097
-2.721989648859239352e+01 5.896291252675891883e+02 7.817521957470063843e-01 179752 310900 130781 470864
-2.848072537104517465e+01 5.896350675339249392e+02 5.637015174702179054e-01 176013 310219 73073 434671
-3.018635213756002145e+01 5.896400643246242907e+02 4.863032740610346849e-01 171398 307437 112725 374192
-3.136908188842464895e+01 5.896424030642356229e+02 5.759194666943946023e-02 169643 308200 0 0
