# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 316658 316658 113607 316658
-1.022774189275641898e+00 -4.882757201741114841e+03 8.401524228006196360e-02 295592 316619 131716 418729
-2.167518667815251376e+00 -1.640574605432241015e+03 6.173374338003591033e-01 276038 316281 167082 438091
-3.133847711219572396e+00 -8.012779531591546629e+02 2.245528589203822645e-01 263326 315968 178419 471548
-4.107477637113908564e+00 -2.827313023637108813e+02 1.847564943267046844e-01 253718 316123 191158 483031
-5.038794219555242648e+00 5.226827852625058313e+01 9.637611300752016996e-01 246010 316296 221507 495231
-5.854076301349927292e+00 2.581190552493764017e+02 8.949849584861551133e-01 240482 316736 179577 523696
-6.920244485798586531e+00 4.291015512839657049e+02 1.082743251953228736e-01 233629 316558 199307 485005
-7.815991500312703621e+00 5.105876681536932438e+02 6.309091003357314431e-01 226925 316260 158780 502898
-8.959135254567133444e+00 5.609410037670435258e+02 4.531216160962754369e-01 220792 316543 162045 465867
-1.001150520843424019e+01 5.787657924191203165e+02 4.849530145258622582e-01 213320 316589 176346 467029
-1.098708096102916798e+01 5.851645910978799066e+02 3.508236620773850234e-01 206972 316684 166868 481798
-1.204358051240063610e+01 5.876958528240077158e+02 7.271042243574377117e-02 200344 316002 177679 471224
-1.302046758288514283e+01 5.886281944367112828e+02 7.208900528118684647e-01 194874 315829 154342 480534
-1.414725917018687085e+01 5.891720255022731862e+02 6.669423639513718527e-01 189882 316029 183855 459907
-1.506928068651650854e+01 5.893938995026649081e+02 2.354201221555634049e-01 185323 316051 156974 487883
-1.619458606220227992e+01 5.895300308489538565e+02 9.576190250278723282e-01 178890 316345 175367 464145
-1.716958305610403812e+01 5.895878376834507435e+02 2.034641189796335126e-02 172329 316700 205055 482327
-1.803324817771595434e+01 5.896165617529211431e+02 3.996836470684911324e-01 167126 316384 200918 508248
-1.896539419424703965e+01 5.896342032521747569e+02 5.328847993866120403e-01 160611 316119 189129 504118
-1.994692261926794430e+01 5.896445134715501126e+02 1.432743954544137832e-01 152617 315701 118135 492457
-2.134281616992618069e+01 5.896525107802181083e+02 4.577107679765113346e-01 143949 314717 46917 423480
-2.339345522018016155e+01 5.896606953816209398e+02 8.596589272151646810e-01 137575 311611 79067 354896
-2.484307537910256514e+01 5.896651636763335773e+02 3.887466717855376785e-01 131845 307221 100268 381228
-2.614854441025602227e+01 5.896681691443029649e+02 9.116091624668092308e-01 129617 307137 113218 401084
-2.739148122719706535e+01 5.896706941837269369e+02 7.759809130512085318e-02 131540 307776 102373 414633
-2.875611995204878468e+01 5.896730850336110734e+02 2.762544412680481010e-01 126675 308153 69277 404216
-3.044005210655680926e+01 5.896748279678615745e+02 9.712497178600032477e-02 122951 310040 103747 372996
-3.169476376452470134e+01 5.896756347178954911e+02 8.169252265026927251e-01 119160 310647 136085 408069
-3.278553035469242616e+01 5.896761203593679284e+02 5.560626567911074458e-01 117961 311823 0 0
