# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33430 33430 15654 33430
-7.774253961922671374e-01 -7.502179153212011443e+03 9.434007385689211489e-01 31190 33391 23725 47844
-1.494973475521097050e+00 -2.336146421776875741e+03 6.775484734673431486e-01 29586 33393 17842 55508
-2.622187541819612555e+00 -7.337246441348165717e+02 2.612775457259468581e-01 27267 33206 21807 50052
-3.462309823069921855e+00 -1.652385255832467692e+02 8.237608610404846265e-01 26106 33247 27152 53676
-4.159114947483256053e+00 1.201189437697603211e+02 8.699783564108853895e-01 25189 33212 24604 58778
-5.036177406459284356e+00 3.568288992730878135e+02 5.978360920248930732e-01 24385 33105 18719 56355
-6.132612783443587290e+00 5.010547094892386326e+02 4.478581049902580768e-01 23304 33111 21477 50614
-6.997711430430284985e+00 5.501186175517154879e+02 8.621906624160157184e-01 22455 33113 19285 53269
-8.012833522752975668e+00 5.749750586420852869e+02 6.130431977200258009e-01 21895 33153 15364 51398
-9.207124922599795980e+00 5.849435519737015738e+02 4.943603138323044988e-01 20488 33127 12939 47692
-1.048975042395285939e+01 5.879053811868577668e+02 2.466578957116517812e-01 19571 33292 15497 45498
-1.156158303145251587e+01 5.887749534051140472e+02 4.556703056452102718e-01 18432 33127 20780 47761
-1.240343883722490581e+01 5.891177883280333845e+02 2.633218416388167782e-01 17666 33185 23701 52770
-1.321414508717308678e+01 5.893103702704745501e+02 4.340743999115774798e-01 17206 33044 21727 55322
-1.415218790836843787e+01 5.894595181747984043e+02 6.122490772725006636e-01 16325 32949 16281 53450
-1.532939967553674165e+01 5.895597585016105313e+02 1.862089466920746617e-01 15676 32806 15707 48238
-1.644348703375473164e+01 5.896050067124670022e+02 8.936116845604571424e-01 14617 32876 21306 47733
-1.726110468964851563e+01 5.896205585582933963e+02 9.665258268942342745e-01 14115 33047 24083 53223
-1.806463082783999852e+01 5.896302722695420471e+02 2.065100964754844615e-01 13446 32926 21905 55383
-1.899596996314106434e+01 5.896370180596464934e+02 4.056546541576322440e-01 13069 32990 14100 53350
-2.030497598616014443e+01 5.896430699257039123e+02 9.418922748129379130e-01 12328 33054 11543 46282
-2.166372390060575981e+01 5.896467388267516299e+02 7.771984292767335489e-01 11945 33362 17528 44531
-2.260045385088154646e+01 5.896482024277146365e+02 8.445175399686992712e-01 11562 33492 15817 50256
-2.374655161029374284e+01 5.896494792531613029e+02 6.515454128478723739e-01 11332 33583 14130 48797
-2.496959599611838598e+01 5.896506029867589405e+02 5.363256304843960764e-01 10982 33264 16043 46767
-2.603492618629037736e+01 5.896512790196397873e+02 3.035470957303005313e-01 10456 32953 14924 48358
-2.719887018058470929e+01 5.896517675523754178e+02 3.405966265742401688e-01 9631 30949 16256 45235
-2.822073296537961440e+01 5.896521307586594958e+02 3.596515721276470900e-01 7313 23299 16078 38920
-2.911304917480306997e+01 5.896524288990847253e+02 1.056299005830083626e-01 6915 23264 0 0
