# level_assignment log_likelihood tiebreaker ID
0 -6.638760715357308072e+03 1.440075494667957812e-01 0
1 -1.247814210821663039e+02 4.627231389071409517e-01 0
2 -8.276781741841818985e+01 3.643702776315692338e-02 2
2 -5.708012292341725242e+02 1.146191477971364031e-01 3
3 5.439014845717413209e+02 9.753796006124240137e-01 4
2 5.684903536334993532e+02 1.331710513499215764e-01 1
4 5.654440657428810937e+02 9.854360601728981983e-01 1
0 -5.768147838923408926e+03 5.689726116632453090e-01 2
5 5.568578307650423085e+02 6.208578145170593476e-01 4
4 5.884832512450659578e+02 1.150258392366394489e-01 1
4 4.919605036512313063e+02 2.915285228081412883e-01 2
2 5.785496476166342745e+02 5.161591646834424729e-01 4
1 3.576646416288602950e+02 8.050094303577327581e-01 2
2 -5.940391738396258461e+02 8.134371409258989161e-03 2
7 5.852334420846443663e+02 5.184689080912551207e-01 4
4 5.121945222149595338e+02 8.752155382728412647e-01 2
4 5.343448467162701263e+02 5.789821195448435764e-01 2
7 5.874201759175826965e+02 8.425260776581708910e-01 2
8 5.884806919568281955e+02 6.826763494190378756e-01 0
0 -1.019664188789593027e+04 8.257252839355431195e-01 1
10 5.895417626749498368e+02 7.688105473403453738e-01 4
10 5.894360390446584006e+02 3.958286948318033849e-01 0
6 5.846238539936866800e+02 9.160392038223512667e-01 3
4 5.576422909568370869e+02 7.616011440159671242e-01 1
8 5.886896643133577527e+02 2.644428470814874643e-01 3
11 5.894411808024481161e+02 4.877975488867798415e-01 4
2 -2.493241116551472203e+02 4.595941358981879832e-01 2
1 -1.369388688024059775e+03 5.428097238966804738e-01 2
11 5.894927759497769557e+02 4.066571598706363311e-01 0
11 5.894186661973564014e+02 6.201263159080948606e-01 0
11 5.894077537445072039e+02 8.095103867634052541e-01 3
14 5.895944810075375244e+02 1.807040010152810572e-01 4
14 5.896004107320998173e+02 7.938959159811233013e-01 4
12 5.895759991158311095e+02 2.358604462050360173e-01 3
1 -8.653037182010973538e+02 9.599740079724805586e-02 2
5 5.571269129007907850e+02 3.697982082408795557e-01 0
10 5.893516775608941316e+02 4.213103097117630869e-01 1
15 5.896065948481275427e+02 5.216585595421996402e-01 3
4 5.491314413030029300e+02 3.980258528546851693e-01 0
15 5.896036186175092553e+02 3.428303418234769362e-01 2
12 5.895180795082860641e+02 1.686414917087017962e-01 1
14 5.895849125961531172e+02 1.393558826461429589e-01 3
5 5.683441012428897920e+02 4.625501528962929765e-01 4
14 5.895800812958939332e+02 1.034568173575573236e-01 0
13 5.895460978132623495e+02 5.970665420841622106e-01 0
16 5.896075680575719389e+02 6.886726495748098920e-01 2
2 5.653820400763395355e+02 5.491445425749663656e-01 3
13 5.895523100929921156e+02 1.082404546487243380e-01 1
0 -1.639173592732111138e+04 1.149026164998137034e-01 3
17 5.896068481289512420e+02 9.778689516604526233e-01 1
18 5.896094510596905138e+02 1.087029342008139811e-02 1
3 3.824031367044133276e+02 7.267835102321836827e-01 3
18 5.896091027082576375e+02 1.549575505199936587e-01 2
18 5.896085813900836001e+02 8.125408668797149403e-01 2
14 5.896010734121985024e+02 1.335508036873036819e-01 1
18 5.896087040074087327e+02 1.057901005604907768e-01 1
12 5.895370274069805419e+02 4.535630447077583227e-01 2
18 5.896083476557760150e+02 3.048143364520541354e-01 1
18 5.896085703290020774e+02 3.140661912450934956e-01 0
18 5.896079578465364648e+02 4.329246586779724737e-01 0
17 5.896088783322741165e+02 2.161990794613453115e-01 0
19 5.896099698784471457e+02 6.373662348990019044e-01 0
16 5.896064668294947069e+02 7.508087746082797720e-01 1
19 5.896095488448613651e+02 8.485555795001844537e-01 0
19 5.896095041249691349e+02 7.399226802240717049e-01 1
17 5.896067939499350814e+02 6.560869175913603968e-01 0
10 5.893996219653406570e+02 7.599773117374759579e-01 2
9 5.892171385808289870e+02 9.896160362553032552e-01 1
12 5.895522170080575961e+02 5.233784423279597142e-01 1
16 5.896047067979591247e+02 2.878644863409978161e-01 0
19 5.896097086131180731e+02 2.540671643641133071e-01 4
21 5.896100532591142382e+02 2.675534588773831671e-02 3
23 5.896100556727116100e+02 8.954751016002499009e-01 3
19 5.896100078307608783e+02 6.421298555562165999e-02 4
20 5.896097512210179730e+02 6.229985614312719688e-01 0
24 5.896100658386114901e+02 7.686008562285491230e-01 4
9 5.893380537196835576e+02 3.914525044649544427e-01 1
12 5.895071964697615385e+02 6.848578993815297444e-01 1
12 5.895172799094578977e+02 2.708532232187021993e-01 1
17 5.896088097502282608e+02 2.490112390226009720e-01 2
16 5.896067057203042623e+02 9.415758274041102771e-01 3
25 5.896100675247375875e+02 1.178362686631697909e-01 4
24 5.896100640787954035e+02 3.151458232280424099e-01 4
17 5.896067800593159518e+02 5.417249271474924299e-01 3
23 5.896100444026676541e+02 2.303559059756312699e-01 0
16 5.896097287152718991e+02 4.687844881008547682e-01 1
22 5.896099856241165753e+02 5.511788426796191409e-01 0
15 5.896019164996293966e+02 4.540240795750375979e-01 3
26 5.896100688600525928e+02 3.295417512586185094e-01 0
18 5.896084858719621025e+02 6.733689114735011971e-01 3
15 5.895961099366846838e+02 6.227185709082244669e-01 2
24 5.896100639150345160e+02 1.124814771306834743e-01 0
14 5.895809018798424859e+02 5.540840208599753236e-01 2
13 5.896031997294307985e+02 7.422083342568099873e-01 4
13 5.896043586693424459e+02 7.374064826230561920e-01 3
24 5.896100612876549576e+02 9.973102075089634866e-02 0
13 5.895416554107562206e+02 8.233334484617780280e-01 4
25 5.896100704722595083e+02 9.022737312086391848e-01 0
18 5.896083615473316968e+02 9.593470869000526591e-01 2
9 5.895519977043675226e+02 9.342978586048431566e-01 4
27 5.896100713234724253e+02 6.032297971618467702e-01 0
9 5.889977705067027500e+02 1.385642230555621524e-01 4
11 5.894208175652290720e+02 5.452352792142612509e-02 3
26 5.896100685757307929e+02 1.521719188358951202e-01 0
3 5.201392147000474324e+02 7.198173741129557657e-01 3
22 5.896100091354853703e+02 2.776201791814618680e-01 2
11 5.895018702918100644e+02 2.165535096728129771e-01 3
3 3.645801021859590492e+02 7.044208867367385274e-01 4
1 -4.259019775725624640e+03 7.836711026890954557e-01 4
8 5.878872864872050741e+02 8.105791512511060226e-01 4
17 5.896094214404121203e+02 2.232623064384475775e-02 2
12 5.895324675037209090e+02 6.121736678758844807e-02 4
29 5.896100715531082415e+02 9.697818839871743535e-01 0
4 5.672741795167028158e+02 1.780643634546288101e-01 3
29 5.896100715252418922e+02 9.811395854755329549e-02 0
19 5.896094656741805693e+02 7.073706903717816852e-01 4
1 5.098863622566049685e+02 1.229311970940398790e-01 1
14 5.895993083750036021e+02 3.065282344652530133e-01 4
11 5.894646845406516604e+02 5.144116673943173179e-01 3
12 5.895269116098279483e+02 5.978355285579943779e-01 3
23 5.896100605055266897e+02 1.038829459023397905e-01 2
26 5.896100689138866073e+02 7.579150276928893482e-02 0
2 -5.426805728977881245e+02 2.423102435521356790e-01 1
24 5.896100600357659687e+02 9.593801803544766971e-01 2
14 5.895809115293311606e+02 6.901176057375789652e-01 3
27 5.896100719196367663e+02 9.705095856516611219e-01 0
27 5.896100708170542930e+02 8.685259524275201759e-01 0
23 5.896100578838552337e+02 1.152063903849368520e-01 2
29 5.896100715156700289e+02 8.800347677079086717e-01 0
8 5.889622154740823134e+02 1.397825465201734119e-01 3
2 -6.275124768212178878e+02 4.392776096204192293e-01 1
3 3.109784841489497467e+02 5.589143822058982858e-01 3
29 5.896100719619544179e+02 1.422409484906063670e-01 0
21 5.896100371581871968e+02 2.604496403152391920e-02 4
25 5.896100659663163697e+02 6.535158228213978626e-01 4
25 5.896100675635181005e+02 8.543552126696611904e-01 4
5 5.811123577273815499e+02 4.605766624108638130e-01 3
26 5.896100685394567336e+02 8.170558427858727324e-01 0
25 5.896100664018749740e+02 3.553217492410247758e-01 4
