# level_assignment log_likelihood tiebreaker ID
0 -2.098062730875993293e+04 1.596773640228092150e-01 1
1 -1.146308237487049553e+02 9.768809137672350706e-01 4
1 -8.421939036083457495e+02 3.723722317543575744e-01 4
0 -2.778397511149312777e+03 6.638169226524812672e-01 3
0 -6.375510076563615257e+03 1.046767122452008092e-01 0
1 5.135068466242209979e+02 3.817877181981927381e-01 2
1 -6.317758821375448406e+02 3.438604189807645817e-01 1
2 7.783008954579189265e+01 8.103063874086255947e-01 3
1 -3.708942734192698936e+03 8.021966617550456702e-01 2
1 -3.361557993743838324e+02 1.047780448921314771e-02 1
0 -1.199558374944329131e+02 7.223081190799389706e-01 2
3 4.451518581559636232e+02 6.017434676107411562e-01 3
1 -3.017778190394686590e+03 4.784504569878347269e-01 2
2 -5.347966260468012933e+02 5.032516484879827612e-01 1
1 -1.737599709742161451e+02 6.876430934821744501e-01 1
3 1.176946256199983054e+02 4.412314393984715366e-01 4
4 4.926887732461003679e+02 8.742457153960184746e-01 4
7 5.799484025975655186e+02 8.459328989123642284e-01 3
2 -9.600039480960258516e+02 6.341279243690165490e-01 1
6 5.568754366147024939e+02 2.857899314322169815e-01 2
4 3.852016971677564925e+02 4.497627460497923835e-01 2
3 -3.762251346677304653e+00 5.446903138023666546e-01 1
6 5.658735742417857182e+02 4.380234540666002596e-01 1
2 -4.499080904501540203e+02 9.786147774286904077e-01 4
1 -5.423189854706422921e+03 6.958741343684227143e-01 0
0 -2.342015735100075108e+04 4.132250875986379079e-01 4
8 5.874780666716096675e+02 5.268256590828778174e-01 0
2 -9.041421571743087497e+02 2.075252227270389382e-01 4
6 5.620567197450374124e+02 4.103564132151151789e-01 0
6 5.810578191840074851e+02 8.521064089758521032e-01 1
5 5.354055121219964803e+02 6.463020090791191663e-01 1
9 5.856400004612264638e+02 3.418301031931179068e-01 3
10 5.894801583646512881e+02 3.107693288418243993e-01 3
2 -7.590716192105538767e+02 4.761431293759114669e-01 2
12 5.897364334248602518e+02 7.263763395157631919e-01 0
12 5.890912005503996625e+02 6.460855894566116531e-01 0
3 3.182734611210622688e+02 8.090743765624855977e-01 2
12 5.892619649728583227e+02 8.886481184817272838e-02 1
4 5.007598781819415308e+02 6.475813974731279288e-01 3
5 5.057356278614884104e+02 3.114774108433623345e-01 3
11 5.884748061038625337e+02 1.358406410935866782e-01 4
4 4.134294833631364554e+02 1.107420556032212566e-01 3
13 5.894897558671304978e+02 2.722235701537409902e-01 2
12 5.891237419093358767e+02 5.283745408811579836e-01 2
10 5.890244455985684908e+02 9.303568092396212741e-01 4
11 5.895368677593999109e+02 4.831830075618648301e-02 1
14 5.896843924915801836e+02 4.179004389659823904e-01 1
1 -2.747454619800656928e+03 1.482808855741301335e-01 3
15 5.897368987574409402e+02 4.112755055075230648e-01 0
1 -2.083146679028021026e+03 9.088859424133595155e-01 2
15 5.897074456153497977e+02 1.069772515309975330e-01 0
11 5.890711224138909756e+02 5.021675331466415315e-01 0
13 5.895043297283544916e+02 3.417697781643508348e-01 2
11 5.896823594731010871e+02 9.652490226082441893e-01 2
11 5.886877671905817806e+02 6.693222912906549027e-01 2
3 2.871390124063698295e+02 5.187142713713353004e-01 3
9 5.858885370850773597e+02 4.350673053049533001e-01 1
9 5.848711483436320577e+02 2.633203110132071867e-01 2
8 5.803371922102188591e+02 7.060789223489618571e-01 4
12 5.893831973527628634e+02 7.344048421984235020e-01 0
7 5.724396723400618612e+02 4.301119735013649303e-01 4
11 5.887297912392189119e+02 6.019016911193020292e-01 0
8 5.807365371871126172e+02 1.430306099802125530e-01 0
7 5.734371503438308082e+02 4.321777188141213699e-01 4
3 3.740061823919557469e+02 7.146174023568230282e-01 0
6 5.841471984847207750e+02 3.245205516913998167e-01 2
7 5.800681732496519771e+02 4.064947514054053634e-01 2
12 5.892605593933878936e+02 2.764803051340026796e-01 2
12 5.891988093251065948e+02 8.619669904987518061e-01 2
5 5.524697003699046718e+02 6.520248765591853957e-01 3
6 5.812742010501393679e+02 4.789963105773519803e-01 2
11 5.884660202664441613e+02 5.743060607974541654e-01 4
9 5.888725992426477660e+02 3.398335163823357763e-01 4
13 5.895125596348166255e+02 3.954477174502908920e-01 3
