# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33115 33115 10500 33115
-1.134742362694257656e+00 -4.033450648594983249e+03 6.650963313486278894e-01 28394 32866 12682 42190
-2.321255524552833904e+00 -1.129898104294678433e+03 2.974075849417587847e-01 25237 32898 19051 45148
-3.192507054169334335e+00 -4.097957756567258230e+02 2.721391771972920051e-02 23522 32919 23783 51319
-3.973636170493283437e+00 -2.402384308729799045e+01 5.965002260207501877e-02 22086 32836 23203 55483
-4.851940136490340727e+00 2.668589363057511719e+02 4.464260618723364105e-01 20995 32930 24787 54572
-5.651605733757846473e+00 4.250434488321732829e+02 8.696984732882221403e-01 19716 32987 22041 56282
-6.592305630458892729e+00 5.201753792722593062e+02 8.211327819185715304e-01 18600 32975 21827 53852
-7.500532930616427230e+00 5.594246442077559323e+02 3.079085481974048188e-01 17225 32911 26469 53575
-8.219976467337769321e+00 5.738255853699033651e+02 2.718179476126448280e-01 16398 32797 26180 57904
-9.023462572295734674e+00 5.816099618959865438e+02 3.929786336582390405e-01 15455 32756 27137 57541
-9.786585591346979029e+00 5.850748150151085838e+02 6.475723203508088055e-01 14881 32737 30609 58371
-1.044756641893724236e+01 5.868970554880847885e+02 5.627930089320473117e-01 14536 32850 24335 62027
-1.138624793601623786e+01 5.882551753510388153e+02 9.815097322934517032e-02 13605 32743 27852 55939
-1.209767475102486856e+01 5.888192212239282526e+02 1.346309153533976621e-01 13195 32700 26801 59161
-1.289907892519461718e+01 5.891901812892265298e+02 6.608601015832994419e-01 12899 32695 13983 58143
-1.429718835832781920e+01 5.895360850560812196e+02 1.757379725108142721e-01 12182 32798 13055 46162
-1.554107385518093842e+01 5.896621718668656058e+02 9.467989003612657939e-01 11536 32852 26115 45237
-1.611446388365343196e+01 5.896912802738809205e+02 9.507762964999618704e-01 11169 32882 26715 57393
-1.689016965719394392e+01 5.897195625166236823e+02 5.440270007532319596e-01 10918 32778 11545 57880
-1.845948161679839927e+01 5.897479781465208362e+02 3.528781831283863135e-01 10236 32716 12858 44068
-1.967393794929891726e+01 5.897565631481520541e+02 2.249263147211238711e-01 9767 32538 25765 44744
-2.025000335013330144e+01 5.897587502752422779e+02 1.928211372498811471e-01 9351 32576 35451 57701
-2.075819169328345737e+01 5.897602071536261974e+02 1.341095535500267388e-01 9339 32553 44982 67369
-2.118245032190570143e+01 5.897611452800974803e+02 6.102436847419636656e-01 9097 32490 35620 76832
-2.195935978867606408e+01 5.897623327086141671e+02 8.438826410466518935e-01 8814 32592 30446 67567
-2.276476614316841562e+01 5.897630335925364307e+02 4.755752485819044750e-01 8669 32618 24054 62416
-2.372047873591015588e+01 5.897635536238021814e+02 8.142563221705056975e-02 8345 32502 20952 55920
-2.470313831722906528e+01 5.897638282749948075e+02 2.776840385960109292e-01 7931 32637 21951 52956
-2.559014628136582203e+01 5.897639574192318150e+02 9.562944436182969632e-01 7764 32677 0 0
