# level_assignment log_likelihood tiebreaker ID
0 -7.607272177782742074e+04 1.440075494667957812e-01 0
1 -4.577076571043692184e+02 6.046590775883149416e-01 0
0 4.966418783540361233e+02 8.272960563098297193e-02 1
1 1.329440646301179640e+02 8.592607241702571175e-01 2
1 -6.621053598622596837e+03 7.386372838423316267e-01 2
2 -3.183483349096470079e+02 7.767574608560963156e-01 4
2 -1.710948358025842253e+03 7.012019788952805754e-02 4
3 4.119751249366780712e+02 2.969021981128632803e-01 0
4 5.006243104736053056e+02 7.591577256829555864e-01 4
2 -1.841525689351690005e+02 1.115258084240071668e-01 2
1 -7.233635549150396400e+03 2.967364616639017183e-01 2
7 5.797633534632677765e+02 3.823474207527741697e-01 1
7 5.762943911456920887e+02 7.450776511440690975e-01 3
5 5.138508233424176979e+02 6.287047847312472459e-01 4
1 -4.216693579130509306e+02 7.060626773268583456e-01 0
5 5.108792436364154810e+02 5.440029923552559543e-01 2
6 5.583173903811746186e+02 2.551725434667595493e-02 2
0 -5.936927889404711459e+04 1.280812225772986201e-01 1
4 5.479744835763901847e+02 4.302274722337091628e-01 1
7 5.778099755800799358e+02 9.940227756869585152e-01 1
2 -1.561124208119746982e+03 1.292823602332646427e-01 3
9 5.888811387959920012e+02 8.664986456338450438e-01 0
1 -1.539540734271262465e+02 7.825055552340305365e-01 3
5 5.752680715928062227e+02 8.150360370556477552e-01 1
5 5.275435383604692561e+02 7.986529926833750848e-01 0
4 3.789615648737010360e+02 7.950129125026859089e-01 1
9 5.873616331748978610e+02 5.592340902676647962e-01 1
2 -9.388021576721009751e+02 8.351317251505676609e-01 0
2 -1.610707444566177173e+03 2.351516159132360784e-02 3
4 5.736076928168195082e+02 2.799835010865653340e-01 4
5 5.264226907605282122e+02 5.840684716321828951e-01 2
8 5.851302657929181805e+02 9.756784218000389419e-01 3
3 -1.373858990326258436e+02 2.754546582299421953e-02 0
8 5.852988494321421058e+02 7.969234419086564936e-01 4
8 5.857756614396403165e+02 4.276538890694474571e-01 2
4 5.409430816115975631e+02 7.484687511370998747e-01 0
5 5.202085785663640536e+02 2.228512541420426540e-01 0
1 -6.363237555799994880e+03 5.952439559254475432e-01 1
8 5.859602970749401720e+02 4.432265755028172993e-01 3
7 5.812833410133609959e+02 7.756118850703391798e-01 3
7 5.811232671677888675e+02 8.244640518667161189e-01 3
7 5.765008756652896409e+02 5.361009207546901800e-01 4
8 5.876872524172849808e+02 5.395858192930772512e-01 3
2 2.841110192686854816e+02 9.667461534145359581e-01 0
6 5.726817598862273826e+02 2.492147758502097910e-01 2
4 4.945088054684892995e+02 5.824154083668295900e-01 0
8 5.841212972523460394e+02 9.454374692139262404e-01 4
8 5.878058588711087395e+02 8.715157426327537760e-01 4
4 4.611683946315710614e+02 8.202534238676040257e-01 0
8 5.847622999295916770e+02 9.242536320214949086e-01 4
7 5.837324491430961189e+02 2.360654806839619368e-01 3
7 5.775225742075235758e+02 2.268853369929190456e-01 4
6 5.705968537804531024e+02 5.951703573142079762e-01 2
4 4.141240939107901795e+02 1.621145851214222944e-01 3
5 5.310180062267571657e+02 6.178144243256974422e-01 4
6 5.671652260996227142e+02 5.851551703015962502e-01 3
13 5.898392890894668881e+02 1.869355601860565874e-02 0
5 5.119430094868096717e+02 5.050341770382225093e-01 3
9 5.871876691398915682e+02 8.408937908255929017e-01 3
14 5.898198011171056123e+02 2.982807615968265380e-01 0
6 5.842650173670124332e+02 1.548086764891000722e-01 4
12 5.896180896697267144e+02 9.034456592520179186e-02 0
0 -1.480595395360556267e+03 8.422113469192511470e-01 3
7 5.836742800178182051e+02 3.106754872945742818e-01 4
1 -1.150799860268696335e+02 3.428416270982599379e-01 3
8 5.877919503308838785e+02 4.823972619625222502e-01 0
1 -6.136906702805951682e+03 8.018692011294596966e-01 1
0 -7.031093329273780910e+03 7.474369858805935962e-01 4
5 5.514004573274174845e+02 3.762305035195773195e-01 4
6 5.652117846130577163e+02 9.035394546200185006e-01 2
7 5.772346587833025069e+02 5.196075121739314184e-01 1
10 5.890131195418161951e+02 6.231947358272712512e-01 1
4 4.667684943624641392e+02 4.338009425959959281e-02 0
6 5.708836217591292552e+02 7.261637464219177218e-01 3
9 5.878540055460052827e+02 2.731366658566633521e-01 4
15 5.899063523719889872e+02 9.272673519439290635e-01 2
10 5.889810897130182639e+02 1.322008048763413934e-01 0
9 5.877564950796897847e+02 2.312886922683613788e-01 0
8 5.852748814960979189e+02 7.533239867004866142e-01 0
11 5.894513071819155812e+02 5.883386159625338951e-01 1
14 5.898178568619346152e+02 6.771697466985981961e-01 4
9 5.882510379444685213e+02 3.325696428635520618e-01 1
9 5.892893204534470897e+02 7.841278203430275540e-02 1
10 5.890271583267847291e+02 6.643839345815830133e-02 3
14 5.898202852390529642e+02 6.905553291039917552e-01 0
14 5.899746003262503109e+02 1.668648040842137803e-01 2
17 5.900093297607036220e+02 4.199042015840515063e-01 2
5 5.134242648279343939e+02 7.859561890801953776e-01 3
6 5.656478147427407066e+02 7.158623579342013876e-01 3
14 5.898085777804378722e+02 8.812652805856187321e-02 4
6 5.669358030457037785e+02 5.351640137384482410e-01 1
3 2.627031340842735858e+02 4.105422618530556456e-01 1
15 5.898577468617482964e+02 6.125856990028246685e-01 4
13 5.897723413980681926e+02 6.605610398604184752e-01 3
15 5.898533638822841567e+02 3.784316948624016352e-01 4
12 5.896524275891400748e+02 8.891351233706258350e-01 4
15 5.898475280455243137e+02 5.526750539363760595e-01 1
13 5.898141886302046260e+02 9.653257408097148939e-01 4
14 5.898359705400944222e+02 1.128377650533161480e-03 3
16 5.900029312165706870e+02 2.887964512947744922e-01 2
12 5.896656618450795122e+02 1.176111670272863285e-01 1
14 5.898323175894415726e+02 2.385247700310857422e-01 3
12 5.897262053035285589e+02 8.050020755300302255e-02 3
15 5.898717665785569579e+02 9.668366939171475494e-01 4
15 5.898680327394606593e+02 7.024749721519674139e-01 4
15 5.898493691941846464e+02 1.795775701952523340e-01 0
15 5.898393455256107245e+02 9.257518760865387497e-01 3
12 5.897557648497727314e+02 8.004480664063020612e-01 0
15 5.898504381577490676e+02 5.703114233050831094e-01 4
12 5.898322544505376754e+02 5.799368045877889566e-02 0
13 5.897799455815683132e+02 4.840608435216555705e-01 3
14 5.898523092370332961e+02 7.698867216753843001e-01 3
14 5.897967572445929818e+02 4.231170735854780096e-01 3
5 5.649912983596079812e+02 1.509409627758035999e-01 1
14 5.898805387494273873e+02 1.218071348409424104e-01 0
15 5.898664656494918290e+02 8.887428838663476993e-01 0
15 5.898685094501192907e+02 3.115470233370132291e-01 0
15 5.898410755500161713e+02 5.651403591869209597e-01 4
14 5.898338584318958056e+02 7.859794272309219565e-01 4
14 5.897928508262153855e+02 1.542900713518000622e-01 3
12 5.897747169447776514e+02 9.555086813068598417e-01 3
4 4.080880080973508939e+02 2.746034419109353308e-01 1
13 5.897925389357088761e+02 9.852592322856628115e-01 4
10 5.891220828997678609e+02 2.618722473574121024e-01 0
7 5.844593601992967251e+02 4.268868771254990535e-01 1
11 5.896216737845541047e+02 6.580176043562846466e-01 4
15 5.898462396202328364e+02 1.497522597135976241e-01 3
15 5.898378501416900690e+02 6.129962870516388884e-01 4
3 -3.314071392042441744e+01 8.972146275256012160e-01 1
12 5.897453641198815149e+02 5.582119807803582745e-01 4
15 5.898924567148023925e+02 4.475728833191077172e-01 0
14 5.898914472508996596e+02 5.757296110174763282e-01 0
8 5.866246096781795814e+02 6.617927223364148404e-01 3
9 5.889376586910914284e+02 1.084413864774269598e-01 3
14 5.898252163428533095e+02 6.965411369106710993e-01 0
15 5.898670470387165778e+02 4.219089633186352550e-01 0
14 5.898286757443743227e+02 2.328412714281640206e-01 4
11 5.896219442799788339e+02 5.072014254363894636e-01 0
3 2.476001491490002024e+02 9.438980328297219557e-01 1
6 5.748216796136954372e+02 7.372564602123011790e-01 3
21 5.900131752933468761e+02 6.420525490415145420e-01 2
2 -3.164531704653729776e+02 2.483969626026306110e-01 3
5 5.820575877781109284e+02 9.141065805279440237e-01 1
8 5.859367990787238796e+02 4.781060641094648234e-01 1
11 5.897174533620877810e+02 4.604364620903100835e-02 4
