# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33023 33023 12850 33023
-9.486424429015010151e-01 -3.892635767225645395e+03 1.587385666700795450e-02 29112 33113 15879 44804
-1.983440206864680366e+00 -2.907586778671886805e+02 6.575068819219328509e-01 26254 33206 16704 47846
-3.032454113014551034e+00 2.747428704190421058e+02 9.125848424147317006e-01 23860 33084 11857 48648
-4.413532623968114521e+00 5.070322697704261827e+02 3.942760267096074855e-01 21792 33064 14297 44174
-5.532532499171511020e+00 5.612112965108765366e+02 9.854119290326410763e-01 20488 32973 14891 46213
-6.656004057588907230e+00 5.792803431572617683e+02 8.194606813432869785e-02 18773 33014 15466 46767
-7.755443775366416048e+00 5.854276303347791099e+02 5.463957185119490134e-01 17554 32717 16254 47297
-8.819144679367919792e+00 5.876298217839703284e+02 2.975902161119221567e-01 16497 32669 14053 47789
-1.002764612958139523e+01 5.886923729482427916e+02 4.428397044921172920e-01 15557 32601 18851 45602
-1.091819470524764490e+01 5.890350117499335738e+02 8.780428995713371876e-01 14787 32573 23024 50146
-1.170845611286638466e+01 5.892143052355972941e+02 7.525657878828164726e-01 14252 32502 21270 54167
-1.264671916137318419e+01 5.893354084938255255e+02 5.045073293181823182e-01 13797 32395 22984 52362
-1.347936464886895180e+01 5.893992818978008472e+02 4.130939876179813286e-01 13212 32268 19642 53989
-1.448985690898683920e+01 5.894427214448789982e+02 6.106256701042794138e-02 12580 32336 17479 50731
-1.555142781393965734e+01 5.894653167621218017e+02 8.284619484161801495e-01 12145 32340 16104 48789
-1.665291801745317102e+01 5.894776897119189698e+02 5.591610936361629536e-01 11354 32415 14854 47397
-1.780239367155011365e+01 5.894833836356232268e+02 1.961939001013845996e-01 10699 32057 16108 45986
-1.884818743664857266e+01 5.894857825131573463e+02 3.255220581059878882e-01 10167 32011 12755 47050
-2.013124164258827875e+01 5.894871783880955718e+02 7.476872247263077753e-02 9829 32052 18402 44142
-2.101408224485280130e+01 5.894876188063719837e+02 3.864329158105778705e-01 9551 31987 25000 49957
-2.172226175143206461e+01 5.894878307326546292e+02 4.044696716171718442e-01 9312 31849 21065 56061
-2.270220841308389836e+01 5.894880033526133047e+02 4.398987665911084366e-01 8866 31623 24832 52095
-2.345629019825772943e+01 5.894880836742150905e+02 4.776282204245543284e-01 8557 31696 25684 55890
-2.424454578150416495e+01 5.894881374709989359e+02 7.157072882979322870e-01 8299 31654 27904 56690
-2.496680904213933871e+01 5.894881632316511286e+02 5.331239495008851526e-01 7824 31673 34393 58940
-2.552447171485156829e+01 5.894881763310083898e+02 2.051666399071587488e-01 7823 31675 24065 65425
-2.652461093165293704e+01 5.894881917921244394e+02 1.630764632501534306e-01 7566 31434 25485 54870
-2.730288260243638376e+01 5.894881984136418396e+02 7.742764043795002937e-02 7369 31120 36899 55951
-2.774311089104465111e+01 5.894882008902551433e+02 7.191032203453773253e-01 7002 31078 0 0
