# level_assignment log_likelihood tiebreaker ID
0 -2.890838205192894748e+04 4.030932871328706257e-01 4
0 -1.129113661755525391e+05 8.229539574371280697e-01 2
0 -1.020630518664227711e+05 5.073895593929906855e-01 0
3 6.263496005723220605e+01 5.406532794279854670e-01 0
1 -3.000043601282173768e+04 4.234104268419820460e-01 0
1 -2.585414013803483613e+02 9.940487169218599206e-01 1
3 -1.996814707890077898e+02 8.900000304628764569e-01 3
1 -4.798672157442935713e+03 5.665579819969590591e-01 2
5 3.462633584445579231e+02 1.160417648264555623e-01 4
5 1.140526753779337525e+02 3.331357760970753423e-01 3
0 -2.114999158788169734e+04 5.913992279830408982e-01 3
3 6.628195376602891997e+01 1.571084493280967276e-01 3
0 -1.270578599548916100e+04 5.747976000109851213e-01 1
0 -1.099756558240377217e+03 7.276824523455551752e-01 1
1 -9.728658721204226367e+02 7.460570500346889178e-01 1
5 3.426841001707862233e+02 9.103541958732286332e-01 2
1 -1.053569355767345223e+04 4.719831297523222752e-02 0
2 -1.301923573231587852e+03 3.774406941653089542e-01 1
4 6.630157273892200465e+01 8.135079685769034397e-01 1
5 2.424633433050019278e+02 7.718524689837282793e-01 0
8 5.666249404117937729e+02 9.065896907670621951e-01 2
8 5.683664350201638626e+02 5.360700871787029698e-01 4
9 5.776051712392475110e+02 1.653880764576288742e-01 2
7 5.445618799007752386e+02 4.286299034808855879e-01 0
8 5.666630343042652385e+02 3.040634390437831347e-01 0
8 5.687689861310660717e+02 3.905041405537249544e-01 4
9 5.708725027572203317e+02 2.896376978729769264e-02 1
7 5.751257581706272504e+02 8.687435347837964006e-01 2
9 5.807781331808682808e+02 8.101126211689859691e-01 1
8 5.756812924923640367e+02 2.976074281112787157e-01 1
8 5.879601301944976512e+02 4.189619878413033405e-01 1
12 5.874190499630517479e+02 6.611506836031315615e-01 2
10 5.815314158144732346e+02 5.368726173772984112e-01 4
6 5.056915616531694582e+02 3.837844045463212339e-01 3
11 5.863617254210068950e+02 4.729953013264849293e-01 2
9 5.840136971598770970e+02 4.021862452644278108e-01 4
10 5.841258527049380973e+02 9.248493440153251477e-01 0
10 5.813364247167189660e+02 4.354909918572316130e-01 0
11 5.854688540703045874e+02 3.053101733253169026e-01 4
7 5.117293317182782175e+02 8.541842166264966840e-01 0
6 4.360789469096948210e+02 2.398701214536518717e-02 4
2 -1.044103975645567061e+03 8.813499242573124004e-01 3
14 5.890483248892124948e+02 7.059428645241022648e-01 2
12 5.876889547304012922e+02 3.834319005367028410e-01 2
8 5.586120181499250066e+02 3.862266497102564422e-01 0
7 5.645036127178477727e+02 2.965040145586065323e-01 1
12 5.891928811433845112e+02 9.917075162716848524e-01 0
4 3.824860155891873319e+02 5.092850473558719893e-01 4
4 2.100645714008888945e+02 2.310129435494445715e-01 3
15 5.896439721563546073e+02 2.787584462586055745e-01 0
9 5.780654863731374462e+02 1.470136388456313725e-01 4
10 5.829631328957797223e+02 2.835843373210485963e-01 3
15 5.898233445627909077e+02 9.717567034730671960e-01 0
11 5.878805322268087821e+02 6.283314998842985943e-01 2
9 5.728297266322410906e+02 3.787487210316081709e-01 4
11 5.862523534006246564e+02 8.447965597967421747e-02 2
9 5.705042795325773568e+02 5.972229326811127059e-01 4
3 -2.686472039487446182e+02 9.413879467748076380e-01 1
9 5.834100760190358415e+02 8.698488058391486977e-01 2
11 5.861892018170376559e+02 6.860490326091052138e-01 0
12 5.879348351935113897e+02 1.746601968940013627e-01 2
13 5.877776468187425962e+02 7.139716033381449112e-01 2
10 5.876298893322941694e+02 6.044963813809900444e-02 2
6 3.935087260838038219e+02 5.932664703486482255e-02 1
11 5.870400589829093860e+02 8.050907767651929170e-01 2
12 5.887213167364939181e+02 9.598314638042645397e-01 0
9 5.850861337303334722e+02 6.734815961260798289e-02 2
11 5.857231631063965551e+02 8.374325477594894984e-01 1
10 5.847344051226200463e+02 1.870534911753841956e-01 4
6 5.865734083175553906e+02 9.335787233445245192e-01 2
6 4.579721786164381001e+02 6.816478236330117957e-01 0
12 5.870675437077269407e+02 6.835833821460944870e-01 4
11 5.869501363005593930e+02 7.107178801944425972e-01 1
9 5.711075893046349847e+02 5.858613517714290619e-01 0
12 5.875503377446964350e+02 8.496662115645374769e-01 1
11 5.885114426699922205e+02 3.950708659655761679e-01 2
7 5.433755462691237881e+02 9.954068888243483570e-02 0
9 5.740810024873885595e+02 8.433499013164952318e-01 4
13 5.880232512727482117e+02 4.349981983073001324e-01 3
12 5.868498660473603650e+02 7.959881103267221203e-01 1
10 5.825752994537529048e+02 7.251699869524047548e-01 2
14 5.894426147994890925e+02 6.218799827303868044e-01 3
13 5.895899490831515095e+02 5.982144489948565402e-01 1
11 5.877841888620920372e+02 3.372756269161288345e-01 2
12 5.868773881813187927e+02 8.402541013571827866e-02 3
11 5.886903182346967469e+02 2.433519224349389720e-01 3
16 5.899224319564755206e+02 5.374645099259505177e-01 4
18 5.899629614044124537e+02 8.377060919352188328e-01 4
15 5.896250210762236748e+02 5.557705736321461032e-01 2
16 5.898889900126882821e+02 9.908848541208037375e-02 4
15 5.896643082772236539e+02 8.320946463826670580e-01 2
18 5.899822084028537574e+02 6.173233598441124625e-01 4
17 5.899612889741986237e+02 6.813803583499192795e-01 4
14 5.895469024568376426e+02 6.949064129711075566e-01 4
11 5.854278708047014561e+02 8.053148356085351178e-01 0
14 5.893397354364582270e+02 5.489493126328988115e-01 2
17 5.899516265941795155e+02 8.011997802941421831e-01 1
7 5.424875652876113463e+02 3.487947403220982845e-01 0
10 5.818322169088371538e+02 1.884434170287799248e-01 0
6 4.279973837103873393e+02 4.937703841062581200e-01 3
18 5.899827741121523559e+02 3.257092555944208767e-01 2
15 5.896949047403945769e+02 6.615579477810142883e-01 4
20 5.899937783261775621e+02 9.518184957097450827e-01 2
6 3.911506219523198524e+02 9.758808931464371117e-01 0
20 5.899963455901897760e+02 4.301963152888079733e-01 1
15 5.897123065569841174e+02 7.409373600100339630e-01 4
21 5.899948560095308494e+02 5.745303029825160612e-01 2
16 5.898495541346153459e+02 7.984684063826887890e-01 4
22 5.899979874218171290e+02 9.442762513838276472e-01 1
16 5.898500402701757821e+02 7.848736486352534403e-01 4
12 5.892695690762743652e+02 1.168457924162424888e-01 4
14 5.893317695101255822e+02 9.681596931007792062e-01 3
21 5.899989243657607858e+02 1.733211494138152953e-01 1
8 5.635482765479662248e+02 8.074279082276412112e-01 0
24 5.900006006211642671e+02 4.010908032314048910e-01 1
12 5.885472505692055165e+02 7.428506870862853217e-01 3
3 5.543049105250514685e+01 6.215636953095814432e-01 4
22 5.899989609217009274e+02 2.916663164102629158e-01 2
4 6.420750085401229512e+01 1.956858305998698810e-02 0
23 5.900004210060380956e+02 3.233464597848737521e-01 1
16 5.899139794468491118e+02 3.951223005226367491e-02 3
6 4.585404003101447188e+02 1.479296020539742074e-01 4
16 5.899044398468957979e+02 7.411717685140066791e-01 3
8 5.641482987447459436e+02 1.355309982869130347e-01 4
22 5.899986425803680277e+02 5.446470207204349157e-01 1
8 5.658455770402640610e+02 6.224929052302239363e-01 4
19 5.899976080185022056e+02 2.523356511373670008e-01 1
8 5.633900755804082792e+02 3.277931246393725462e-01 4
7 5.453431689674935114e+02 5.446440214418011294e-01 0
15 5.897461455088384810e+02 3.477516575419634659e-01 3
13 5.877605997118222376e+02 2.835718029954888489e-02 0
12 5.882291420260118002e+02 3.264165792394821963e-01 0
16 5.898770969739540533e+02 1.757631501205416669e-01 3
18 5.899705116317768443e+02 4.132434245763874081e-01 2
21 5.899961185786705755e+02 9.982443436717360896e-01 2
16 5.898955296086523958e+02 3.223022067972369786e-01 3
22 5.899977357270729499e+02 7.475682039949107516e-01 2
23 5.899998096207430081e+02 9.969329810768925437e-01 1
11 5.898769901583634692e+02 2.036527723178529481e-01 0
21 5.899952167186313545e+02 1.920340943857472560e-01 1
21 5.899992081746942176e+02 2.336466839394848449e-01 2
8 5.829880405081125900e+02 9.014122699095996616e-01 4
19 5.899874510987899612e+02 7.451279949547349180e-01 2
16 5.899040414432621446e+02 9.897747537803623930e-01 3
6 5.257434041319777407e+02 6.029851514111951583e-02 4
22 5.900000736214053632e+02 9.172057836601315017e-01 1
21 5.900005746437536800e+02 1.282736577546334522e-01 2
20 5.899929370407303395e+02 1.651519797766823339e-01 1
22 5.899991301005080686e+02 4.459352814770274342e-01 1
23 5.900000450023154599e+02 5.057226373868362046e-01 2
16 5.898551607593877861e+02 8.877055149966075476e-01 3
16 5.898254100871449737e+02 3.425324697499557702e-01 0
25 5.900006393873575234e+02 6.771121252048040162e-01 2
16 5.898451384739945524e+02 2.189024090662572697e-01 0
