# level_assignment log_likelihood tiebreaker ID
0 -9.088898613472245415e+03 9.313831178604086158e-01 3
0 -1.959543012942538553e+04 8.804839717915541319e-01 4
1 -8.920781399478046296e+02 2.384692587694086097e-01 1
3 5.383980833850826002e+02 6.858249365265497444e-01 1
2 3.035000147148767269e+02 1.411722433520620212e-01 3
2 -1.793282213713870874e+02 3.947680855051685089e-01 0
4 5.113235674391310113e+02 1.504203094236673532e-01 0
5 5.844754897872304582e+02 2.703841063766485031e-01 3
3 3.059409997854719450e+02 2.266998903684345201e-01 1
1 -7.848907025023709139e+02 9.663919575645247839e-01 4
7 5.866183622611729334e+02 9.736175808663496412e-01 4
5 5.517213555955302127e+02 2.361287344816145328e-01 0
4 5.197244108086352981e+02 8.461572052281267631e-01 4
5 5.464401877942511874e+02 2.001354507428345642e-01 4
7 5.853276383226511825e+02 3.590861468956725311e-01 2
4 4.664924277207405225e+02 6.489351785382559967e-01 4
3 5.591245003850534658e+02 1.244557710830103137e-01 4
1 4.381708186667045197e+02 1.930672599170826231e-01 4
5 5.625978805310015787e+02 2.286989573951296040e-01 3
5 5.536778387931067300e+02 2.439499612303102083e-01 0
7 5.861222536146856328e+02 3.034340478697492571e-01 0
9 5.874004593945763872e+02 4.874661967686377828e-02 1
10 5.875819712207027123e+02 1.605318892176765821e-02 2
8 5.869509142233594048e+02 9.122944125325354037e-01 3
10 5.877910023713196779e+02 2.096396504037347230e-01 4
10 5.877649662369456109e+02 8.533841354070337282e-02 0
7 5.864645332840078709e+02 4.274559400113203678e-01 1
6 5.839364180701263649e+02 2.527384086842298094e-01 1
9 5.874104513132735974e+02 8.068067339663337334e-01 2
7 5.871668070199900740e+02 1.290475067955982602e-01 4
9 5.875837747707943208e+02 7.338094371292607221e-01 1
4 5.167105212746644156e+02 2.364227148511582888e-01 4
13 5.879788843802007250e+02 1.509500918736285668e-01 3
2 7.257639270708244794e+01 8.996047335905927866e-01 2
14 5.880100273408777412e+02 8.140512765861456224e-01 3
14 5.880071066939150342e+02 6.088883306734260703e-01 0
14 5.879980868651260835e+02 4.256813387613897492e-01 0
15 5.880134176012402349e+02 7.059730046217289612e-01 4
14 5.879974647227421656e+02 3.599570857302580862e-02 3
12 5.879403601630231151e+02 2.943320648702245079e-01 1
16 5.880191832167424764e+02 5.874299229983908494e-02 4
15 5.880122595071202340e+02 4.445715357470189644e-01 3
10 5.876017684473139298e+02 7.637367664991463467e-01 3
6 5.781245152488022541e+02 2.134336708378459235e-01 0
15 5.880182915423089298e+02 4.382331375606334234e-01 4
6 5.865250617784149654e+02 4.321945369105318902e-01 3
1 -2.010689158077670527e+03 2.970167944480488487e-01 3
10 5.875824468620860443e+02 6.276700944309195895e-01 2
12 5.879240594335808510e+02 1.201690941712800775e-01 0
13 5.879874382150935617e+02 6.746460991791533024e-01 4
0 -3.469549805384695355e+04 7.560392974449213765e-01 0
15 5.880125026627099487e+02 7.456981372352444737e-01 1
