# level_assignment log_likelihood tiebreaker ID
0 -1.609264283036509823e+03 1.440075494667957812e-01 0
1 -1.821909083788160615e+03 9.519409692945696166e-01 2
1 4.260802714445100037e+02 1.227882178765654295e-02 4
3 5.283613557636620044e+02 3.247777080000848193e-01 4
2 5.271184396455962542e+02 8.870869618001617773e-01 1
3 4.817888956700230096e+02 9.380151778140854990e-01 3
4 4.829300994790943378e+02 2.348237601058101864e-01 0
4 5.148996256216771599e+02 5.404400372194047009e-01 3
3 3.255255398835689675e+02 4.369074663761409183e-01 2
1 4.917125053270575563e+02 7.241023383683895531e-01 1
2 2.843785498146015129e+02 7.652311980290706916e-01 0
4 5.046732522140348465e+02 7.723758273907321836e-02 0
1 4.078245446978608015e+02 7.328803717102625459e-01 1
3 4.882446850971687127e+02 5.831903565497320585e-02 0
1 -9.577602605055114964e+02 3.199912227465384618e-02 3
5 5.635406613929320656e+02 8.907365472643439253e-01 3
8 5.853116979879384871e+02 3.015411229521691716e-01 2
8 5.853585256826052046e+02 7.539571685594985695e-01 4
8 5.852363478549349338e+02 8.699910198939617700e-01 4
0 -8.267459851077179337e+03 2.848824700026224566e-01 3
7 5.848179714384341423e+02 1.011376844985823475e-01 4
8 5.847591043687586989e+02 8.214652481438493581e-01 2
6 5.851494702097652407e+02 9.787346797685417821e-01 3
10 5.860267250514096986e+02 5.446950058800904548e-01 0
10 5.862106399658334794e+02 2.628094346036691231e-01 3
10 5.859769651222234188e+02 2.118534027317546808e-01 2
4 4.923755759641115901e+02 2.176567074437557314e-01 1
11 5.868500744155934399e+02 4.923855797640798726e-01 0
0 5.644348256876594405e+01 8.014848202798127152e-01 1
6 5.834325979353470757e+02 8.529369650222724530e-01 4
7 5.833254682058795879e+02 2.427955365472775073e-01 0
3 5.187228937889176450e+02 3.512375446517406741e-01 1
3 4.830973353410116147e+02 5.644609116731115206e-01 1
12 5.865464809995617088e+02 6.471341536257654292e-01 4
10 5.859076986662581703e+02 3.202455295462770524e-01 3
9 5.856551570061340044e+02 8.509737154150092131e-01 1
12 5.865951461509155251e+02 4.027806675163958516e-01 1
7 5.833562821183172673e+02 4.949614079365681485e-02 4
2 5.523982025010108146e+02 9.186249121482565894e-01 0
12 5.870237432313336967e+02 9.373469988743008408e-01 4
14 5.868067743599382311e+02 4.766429880239600458e-01 4
15 5.870303378675554313e+02 9.867091478701480942e-03 4
14 5.869099689839414395e+02 1.831646334933401121e-01 1
12 5.865174171254267321e+02 6.989062853155127153e-02 4
10 5.861674308713442088e+02 4.191309230107521655e-01 4
7 5.843397365615453509e+02 6.436819357066982938e-01 1
14 5.869368924747998335e+02 2.238362964269802191e-02 0
7 5.841335433263353707e+02 7.406307097006242790e-01 1
16 5.871415014832027737e+02 6.747448119903654007e-01 2
18 5.872995342058472943e+02 8.294437294743631783e-01 0
17 5.873875295148776559e+02 3.596487958938370255e-01 2
18 5.875391575993196511e+02 1.491714817279496952e-01 2
15 5.869736093197632272e+02 4.932906994158663405e-01 0
14 5.868332638037918514e+02 4.717939258615103104e-01 1
12 5.867730662006962348e+02 6.019176765569335119e-01 1
19 5.874949675557591036e+02 6.823347487065468675e-01 2
4 5.205587494783260354e+02 8.393661079250712698e-01 4
6 5.832094515151311498e+02 9.663848449701548660e-01 1
13 5.868108978947273044e+02 7.786511690443731482e-01 2
16 5.871111860270970055e+02 4.564493058101479761e-01 0
5 5.811998324980804682e+02 5.088052767639101859e-01 1
16 5.871610973735582775e+02 3.959548661658274238e-01 1
15 5.870843879807837311e+02 1.138254354786754075e-01 3
19 5.875564054492230071e+02 7.335967889023610189e-01 1
18 5.874059974844761882e+02 4.962190450425291166e-01 2
17 5.873906501128676609e+02 2.879352015742321358e-01 3
4 5.263026792873101840e+02 5.566755882707902225e-01 1
19 5.874316815584729738e+02 4.719232662764001329e-01 3
19 5.874538593599913838e+02 1.054733780288433370e-01 3
15 5.871466270644466476e+02 8.183159987520841616e-01 2
7 5.844500155089025384e+02 2.545728325767653288e-01 4
8 5.850903174577850905e+02 5.945969414842309231e-01 4
2 4.042725356198067175e+02 7.844820799780891640e-01 4
22 5.876069523205480891e+02 5.046670192588337267e-01 3
3 4.356310562402734377e+02 4.753663577421801678e-01 4
6 5.750097265147408052e+02 2.043569250624333034e-01 4
9 5.856311523257495537e+02 2.118832301181724220e-01 4
20 5.874939702607381378e+02 9.559525431891078284e-01 3
21 5.876129027975403005e+02 4.265744751719227068e-01 2
19 5.875243549039145137e+02 6.886598866275611686e-01 2
15 5.870509974630381294e+02 8.465316275499552567e-01 4
16 5.875650621346003390e+02 6.041885592505851638e-02 3
12 5.865967997099714921e+02 4.678021600513915246e-01 4
18 5.873365258398955575e+02 2.402117819774272078e-01 2
22 5.876923016400835422e+02 2.377947887317867492e-01 1
15 5.871057812065264443e+02 5.457512172858330901e-01 2
16 5.872875421043021333e+02 7.784780478777995061e-01 2
17 5.872088167475833416e+02 4.008203415633128652e-01 1
26 5.879137805122076088e+02 3.107248050656652438e-02 3
22 5.876029701103585694e+02 7.205094774238673949e-01 1
26 5.878580006594679617e+02 6.383808559023240736e-01 3
17 5.872637663460450312e+02 1.744967720881263062e-01 2
27 5.878982080736519720e+02 3.799323932523262365e-02 3
18 5.873363114184528513e+02 9.928924966007018904e-01 2
21 5.876007369440891352e+02 5.389748491242403183e-01 1
17 5.872191320337851721e+02 7.950968862498165590e-01 2
23 5.877371252461102813e+02 4.590731935269967701e-01 1
19 5.876257313777845184e+02 1.971573927218983613e-01 1
26 5.878669360302835685e+02 5.541499974452974708e-01 3
24 5.877870478801949048e+02 8.894140435635751185e-01 4
24 5.877433730786519845e+02 3.771182650668924996e-01 3
27 5.879290718337299495e+02 8.101380677637417538e-01 0
25 5.879457955266875615e+02 4.258173286026775695e-01 2
26 5.878434617703198910e+02 4.568605386916893552e-01 3
29 5.879611966285065137e+02 7.974277701187286738e-01 0
29 5.879843692543264524e+02 5.907350342091710615e-01 2
