# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32029 32029 15559 32029
-7.440511095013593312e-01 -6.724331177318625123e+03 8.317011370061089259e-01 29061 32104 16683 46243
-1.762310193140034675e+00 -6.865763461739860531e+02 4.908639121447721521e-01 26261 32009 18220 47579
-2.724635948917174755e+00 5.440834213101801708e+01 7.849256245392766118e-01 23622 32099 17265 49031
-3.765700347104611989e+00 3.154909222889450007e+02 3.803551776030626996e-01 21314 32102 17271 48292
-4.792179029303571980e+00 4.623778078211718707e+02 6.368136263377190964e-01 19493 32015 17016 48244
-5.831653929201042530e+00 5.382206617005085718e+02 4.155037243342789566e-01 18204 32041 14595 47989
-7.009072899114370259e+00 5.725878355641973485e+02 8.919790302942397497e-01 16461 32207 14256 45845
-8.165420301580985196e+00 5.830582989635988724e+02 1.578282076090203323e-01 15418 32197 16857 45468
-9.158165644324007815e+00 5.864137383058565547e+02 8.259376265716972254e-01 14605 32169 15148 47989
-1.030109356538108401e+01 5.882377228433367691e+02 7.880387345587973325e-02 13887 32306 13841 46591
-1.149983184788533741e+01 5.890916914087022178e+02 2.546239387704187229e-01 13119 32458 14268 45657
-1.265155774058988847e+01 5.894699911211484959e+02 5.218581145119429721e-01 12721 32469 20671 45966
-1.346250773626794661e+01 5.896069817021711970e+02 4.924701489417575573e-01 12149 32069 16993 51893
-1.457182640534536588e+01 5.897131251075873024e+02 5.947143516208811542e-01 11478 31939 26694 48458
-1.518864288987187905e+01 5.897468336082085898e+02 2.476699441191063111e-02 11129 31958 24490 57422
-1.604800404523126645e+01 5.897757296588705458e+02 6.842099882479102391e-02 10867 31938 26981 55947
-1.679004471179367641e+01 5.897899815717172487e+02 2.935099637354007807e-01 10478 32062 23192 58102
-1.771249029887378867e+01 5.898007253606533595e+02 1.334259452560781489e-01 10001 32107 28706 54767
-1.837487940763191574e+01 5.898052816381750745e+02 9.539401387748713823e-02 9888 32044 27476 60093
-1.916727595988510302e+01 5.898088168414806205e+02 1.672235002682519178e-01 9493 32122 37615 58970
-1.963867798372157836e+01 5.898102193061351954e+02 7.307877749226832087e-02 9347 32116 41164 68977
-2.017184206976117622e+01 5.898114527397315214e+02 3.131931778332326388e-01 9188 32050 46866 72607
-2.062772142408741161e+01 5.898121835652909795e+02 6.546598805996871606e-01 8895 32046 43493 78284
-2.122866771345108461e+01 5.898129078935106691e+02 7.587812246165548391e-02 8848 32028 45404 74873
-2.174492797964639124e+01 5.898133240746101364e+02 4.320311229844282508e-01 8666 31828 44287 76570
-2.230698100393452066e+01 5.898136632822904630e+02 4.057814728977748864e-02 8363 31824 42983 75465
-2.288418851457239001e+01 5.898139168036564115e+02 5.308718782688103266e-01 8263 31880 24354 74240
-2.399384703652858875e+01 5.898142192985421843e+02 5.265467612553722532e-01 8016 32141 15251 55844
-2.527333723663950238e+01 5.898143933005692361e+02 1.962317808639550132e-01 7610 31957 0 0
