# level_assignment log_likelihood tiebreaker ID
0 -4.964259650794929257e+03 9.313831178604086158e-01 3
1 -1.829522005474195566e+03 2.775965487458743053e-01 2
1 -1.796780323635415016e+03 3.694291534931560816e-01 4
0 -3.395403745986328431e+03 9.255693015953777580e-01 3
2 2.918862349219617158e+02 2.448720912269493066e-01 1
2 2.749276805657329987e+02 1.635483694744440109e-01 2
4 4.274367101127492106e+02 9.236608093130931341e-01 4
3 2.653722935569187484e+02 7.023485928139966417e-01 0
4 3.958661950422840050e+02 2.392516474243566726e-01 3
3 8.030853940327284590e+01 2.232944679230634277e-01 2
4 5.034708010663039204e+02 3.465601486327832270e-01 4
3 1.414076922583819282e+02 2.782962710341566059e-01 1
6 5.718168865058760275e+02 8.425851089474526434e-01 3
2 -1.725568704446390598e+02 9.876006392774308029e-01 4
1 -3.918510426744574943e+03 2.481237015654746969e-01 0
2 -4.186856275396909268e+02 6.912235728850364691e-02 2
2 -1.556510613624519408e+02 3.186002517119477240e-01 2
3 1.585400863946654795e+02 2.651456744741982896e-01 0
5 4.804117012919589911e+02 7.249698288004363667e-01 2
9 5.881614875276563907e+02 7.908643384107386654e-01 4
0 -7.065933611599240976e+03 9.309447743748648918e-01 2
8 5.845910005704714649e+02 8.807804153672738057e-01 2
5 5.719233368109809135e+02 2.765058065283145794e-01 3
3 1.581945647666423156e+02 3.050603085318368546e-01 1
9 5.874714957645741151e+02 1.948501195796339402e-01 0
10 5.897281718007582185e+02 4.590481470681484488e-01 4
4 5.021328971410711688e+02 9.084736969237390547e-02 4
10 5.884266473256964218e+02 4.384855766792066234e-01 2
2 2.329799451661034198e+02 1.346799869815465955e-01 1
7 5.772504347146951886e+02 2.451280076446823164e-01 4
2 -3.932211638512538343e+01 6.211048295706165234e-01 1
10 5.887193372333263142e+02 4.511330579268263419e-02 0
7 5.770854280584810567e+02 3.283898427450728241e-01 1
9 5.870673544196961302e+02 5.403354075728309391e-01 1
9 5.877400222561719829e+02 6.875761013446686221e-01 0
9 5.870894902525261614e+02 9.493692865325247254e-01 3
4 3.764404589008801736e+02 6.887182074611775118e-01 1
11 5.891625230942640883e+02 2.600656042815211455e-01 3
6 5.498781421811085011e+02 5.300781055557710064e-02 1
