# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32101 32101 11218 32101
-1.046652252362088253e+00 -3.182173094301505444e+03 8.172340636815966786e-01 27853 32026 16409 42172
-1.994389467412169381e+00 -2.945573917183808703e+02 1.520444024707775788e-01 24847 31969 13861 47211
-3.204180234452788767e+00 3.410755796352602260e+02 6.683929805146243686e-01 22306 32121 16676 45079
-4.198989282879777463e+00 5.036496480598926837e+02 8.233235727941818904e-01 19834 32057 15029 47527
-5.340166413857715177e+00 5.612180019232245058e+02 6.781421589836040820e-01 17885 32034 15641 45930
-6.412231576937364785e+00 5.790725915401524162e+02 9.733503867030505186e-01 16212 31963 16545 46474
-7.442918179920235744e+00 5.849741639094485208e+02 1.758930756807379203e-01 15145 32017 19850 47430
-8.321559173496950734e+00 5.871667552063249786e+02 3.625388643787388343e-01 14323 32020 14369 50576
-9.562762031284581354e+00 5.886346786880118316e+02 2.340880873898121273e-01 13387 32030 12722 45588
-1.081864119828303572e+01 5.892806975931248417e+02 6.241402106557156770e-01 12715 32043 16562 44033
-1.179793983429878779e+01 5.895235517579964153e+02 5.691725355003098841e-01 11987 32101 10190 47368
-1.329100434649391183e+01 5.896860301454903492e+02 7.156203625549505398e-01 11038 32021 9910 41509
-1.468579795140664856e+01 5.897422533100605051e+02 7.159768489728722540e-02 10483 31733 25770 41317
-1.518745410090594916e+01 5.897523744957641156e+02 6.079893936323976789e-02 10300 31703 29034 55537
-1.585212643477732009e+01 5.897631955246531561e+02 6.838520715015744544e-01 10043 31875 35182 59227
-1.639245230952830923e+01 5.897683958482023172e+02 3.537425685820994592e-01 9815 31822 34995 65442
-1.703289843383144131e+01 5.897727642202951301e+02 3.260541094035281362e-01 9544 31930 22997 65658
-1.807968474292873040e+01 5.897766826265137752e+02 7.098273847745351084e-01 8952 31544 24027 53617
-1.889239487078156188e+01 5.897782525043680835e+02 3.247246935352983144e-01 8630 31291 27615 53788
-1.957494919560024726e+01 5.897790371567368766e+02 4.422800280246852456e-01 8370 31126 12573 57512
-2.106042724911799979e+01 5.897800533477773115e+02 2.025493771456705061e-01 7771 31054 16466 43398
-2.203161046076116847e+01 5.897803481320411265e+02 7.806684598427880983e-01 7682 31032 16488 46857
-2.307320765313293620e+01 5.897804909500551958e+02 6.539773669669497469e-01 7230 30885 19116 46698
-2.397282928531861401e+01 5.897805560377105394e+02 4.290939152660647876e-02 7050 30897 13495 48546
-2.523343951428716636e+01 5.897806075479520587e+02 4.526169661720303439e-01 6575 31133 19020 44189
-2.608617515396473152e+01 5.897806230668086300e+02 3.668004594471548918e-01 6594 31149 13074 49529
-2.739475911569785183e+01 5.897806356572916684e+02 7.121691785176031964e-01 6309 31254 16417 43694
-2.837506293663011192e+01 5.897806394885532200e+02 8.576785631719368030e-01 6011 31253 16991 47026
-2.939193503550453457e+01 5.897806415120038537e+02 2.513738536645412358e-01 5850 31253 0 0
