# level_assignment log_likelihood tiebreaker ID
0 -1.953773133767635227e+04 3.798980599434820249e-02 2
1 -7.671437594310119721e+02 8.453147870231230154e-01 3
0 -1.370105588460376566e+03 9.089844121173058511e-01 0
3 4.278650690890245869e+02 2.136036972231654119e-01 2
4 5.830223978191065726e+02 6.717133437423529196e-01 4
1 -4.917149205543071275e+02 8.165869580550406681e-01 1
4 5.025334591604357684e+02 3.411072316622385525e-01 3
4 5.280849493031456632e+02 8.216613342320888691e-02 2
6 5.834642170319225443e+02 9.982369209890951112e-01 3
0 -4.996941622910246224e+03 3.729826802533864338e-02 1
4 5.057728190741354979e+02 6.748462952829310524e-01 1
0 -1.119758971139309324e+03 5.328245085415999061e-01 4
1 -2.310638404761821675e+03 4.676243039712573157e-01 0
4 5.309344605692014056e+02 4.902641565173385119e-01 3
2 3.196481914986178481e+02 4.148858955051206721e-01 0
6 5.794888678671679827e+02 3.719080098746386787e-01 4
2 5.295068960339286832e+02 7.176993535724041084e-01 4
2 3.433885799451249454e+01 6.325022362785657215e-01 3
3 3.578407116229412850e+02 2.968365354225546149e-01 4
8 5.880458783441911237e+02 2.269942695123816079e-01 4
6 5.836109124491546254e+02 8.876713983973782973e-02 0
9 5.880835127397635915e+02 2.641289284327933418e-01 4
3 5.371015492157871449e+02 5.567815058889991064e-02 0
10 5.880053821873093511e+02 4.506147447761568170e-01 4
10 5.881413206486989793e+02 8.149572902283716003e-01 3
0 -3.195591648976896522e+03 6.232394927299852450e-01 1
8 5.871484242570431888e+02 7.339076066798141951e-02 4
11 5.880948380486058795e+02 3.593093579454974540e-01 3
9 5.878920458941033758e+02 6.255057024956480749e-01 2
11 5.881771644855903105e+02 9.576439632388540346e-01 4
10 5.880489679917074000e+02 4.138803919737675807e-01 4
8 5.871137347476028481e+02 9.370050352934196081e-01 0
6 5.783971722560604576e+02 1.473667672310270405e-01 4
6 5.868516788084007203e+02 7.518741113238209817e-01 2
13 5.881693240669565057e+02 5.577360978543328685e-01 0
12 5.881608783014063420e+02 8.959912921240871242e-01 0
2 5.282200361921552485e+02 8.005700203914698498e-01 4
11 5.880994842495548482e+02 8.806340074135250440e-01 0
12 5.881608554181343607e+02 3.720722409280305953e-01 3
7 5.872553127243422750e+02 7.399837588330875349e-01 2
12 5.881540088302897402e+02 3.308825392769720874e-01 1
14 5.881808955814999536e+02 4.531078665367390124e-01 3
7 5.867669855110885919e+02 8.855076014914473603e-01 2
10 5.881222233015456595e+02 2.743703362960240311e-01 3
14 5.881819153093581463e+02 9.417824747848094757e-01 4
10 5.879600791393390864e+02 3.785174664669010980e-01 2
14 5.881810865005921869e+02 6.703282239675862897e-01 1
11 5.881779762830843765e+02 8.060641341243328650e-01 4
14 5.881790073361310078e+02 9.962351703664141800e-01 4
9 5.878926465356264544e+02 3.093772558670818684e-01 2
11 5.880974041445226703e+02 2.056179961716160243e-01 4
15 5.881829919394181161e+02 4.873760084617717037e-01 1
7 5.880930170345611714e+02 2.905972740368681362e-01 3
14 5.881820112125731157e+02 9.651498425836115835e-01 4
12 5.881733555840166900e+02 3.783575021909192926e-01 3
14 5.881816496162522299e+02 7.331878058329746040e-01 3
0 -4.195094655374829745e+04 1.462408695275828063e-01 1
16 5.881831484978977187e+02 1.460789358251955161e-01 4
18 5.881831475932978037e+02 4.306961613104247633e-01 4
17 5.881830547387389743e+02 8.832588917193280320e-01 4
12 5.881656954372155042e+02 2.505785202822589652e-01 3
4 5.770028689067912637e+02 3.364576475518592513e-01 3
9 5.878438910869074334e+02 9.184917263378755692e-01 0
19 5.881831251644937311e+02 3.590539362519359901e-01 2
14 5.881813552108153544e+02 5.080501396249350599e-01 3
0 -2.463616699476557551e+04 9.863347955894568031e-01 1
5 5.648592428894983186e+02 1.866644089973034382e-01 1
20 5.881831514208042790e+02 9.874798470963295216e-01 4
19 5.881831356406950135e+02 6.821652182887534277e-01 4
12 5.881815131063915487e+02 7.657935089564043007e-01 3
8 5.875790447806145949e+02 9.984971345680454524e-01 0
20 5.881831379204010091e+02 4.147155651893603134e-01 4
17 5.881830177686423440e+02 6.514324697017535026e-01 2
15 5.881826400803588513e+02 7.679594917706125123e-01 2
8 5.877935197184665412e+02 9.566419583400912474e-01 2
10 5.881314242041222542e+02 9.634753075002749911e-01 3
12 5.881520362492535696e+02 1.222213836109107277e-01 3
23 5.881831512598853351e+02 7.380446061404644098e-01 1
6 5.808732203088436563e+02 9.988695653733921098e-01 2
23 5.881831512756227767e+02 4.638820010632104807e-01 1
7 5.855770006892164474e+02 6.312914717203290671e-01 0
23 5.881831516904677528e+02 1.250335688182589444e-01 1
6 5.828496941058640459e+02 9.326319436807010144e-01 0
7 5.867089543866222812e+02 9.392590520952437405e-01 3
15 5.881820392834997620e+02 1.716281090051051395e-01 2
11 5.880914525009224008e+02 3.545847564752357961e-02 3
10 5.880306151735304638e+02 8.573416848003603818e-02 0
18 5.881830846224219158e+02 1.104008081050912304e-01 0
17 5.881830749052069223e+02 6.344126678206621905e-01 0
21 5.881831479483950034e+02 8.095272602331657907e-01 0
25 5.881831516495926735e+02 6.624793101408391616e-01 4
16 5.881831452803620550e+02 5.526909308524988740e-01 2
26 5.881831517179767843e+02 4.686251371369403174e-01 1
15 5.881831494621370666e+02 3.269406474657715611e-01 4
25 5.881831516685410861e+02 1.581014714063538051e-01 0
20 5.881831461496335578e+02 9.694679296664743262e-01 4
22 5.881831500557769914e+02 2.984583875266031555e-02 0
23 5.881831510426553677e+02 2.854458022249126148e-01 0
16 5.881828270930823237e+02 3.596943877876613849e-01 2
25 5.881831516658050987e+02 4.045192198947962225e-01 3
23 5.881831507927693110e+02 8.325294602010545608e-01 1
22 5.881831511596258224e+02 3.637753478673300123e-01 4
24 5.881831513406468730e+02 9.662991953827315683e-02 1
24 5.881831513376390603e+02 6.426233109163751456e-01 0
24 5.881831516697601501e+02 7.879768345286914943e-01 3
26 5.881831517104869818e+02 3.572861012150074789e-01 1
23 5.881831506881680980e+02 9.829285059107406575e-01 2
27 5.881831517167209995e+02 5.405141747734094615e-01 3
23 5.881831513966827742e+02 7.707507768089394418e-02 0
27 5.881831517192928231e+02 7.624833596429959615e-01 2
24 5.881831514092743873e+02 6.746621097369036590e-01 3
19 5.881831262214366234e+02 1.612047469102344532e-01 0
17 5.881830766722066528e+02 7.595802194538121555e-01 1
13 5.881712604357246619e+02 2.603292955808746978e-01 4
19 5.881831420822512655e+02 5.733482365747735177e-01 0
3 3.285771906533216224e+02 5.910916168982479624e-01 4
29 5.881831517201762836e+02 5.464822073034039107e-01 2
0 -2.256481669723604136e+04 2.876909843238403819e-01 4
29 5.881831517199689188e+02 4.314800270803957338e-01 2
5 5.716273493201094880e+02 7.065634919906446099e-01 4
7 5.879995885606645061e+02 1.775812514349495164e-02 3
4 5.675039430191658312e+02 2.544628723962953920e-01 1
8 5.881395226568206454e+02 5.919847812018587119e-01 3
5 5.874970066372416113e+02 5.278186875344598183e-01 3
16 5.881828949618155775e+02 4.564626403877491967e-01 0
14 5.881817483806343034e+02 3.880323862341697461e-01 0
3 5.413063444558417814e+02 3.443911934720309542e-01 3
7 5.878891278903101920e+02 4.928991422759807506e-01 1
18 5.881830708580635019e+02 5.454350605955808895e-01 1
17 5.881830668276056713e+02 9.678113925364529857e-01 1
18 5.881831179084260839e+02 5.616393802931501922e-01 1
11 5.881633820730512525e+02 4.099516061695255842e-01 0
8 5.879666047560807556e+02 5.041020604463877230e-01 0
4 5.872343516949207469e+02 2.370742692218543723e-01 0
27 5.881831517173112616e+02 1.269119026758924740e-02 2
19 5.881831288208004480e+02 9.595085815149331232e-01 4
29 5.881831517204470856e+02 5.910608640037233463e-02 2
15 5.881828761450424281e+02 2.670390710214152752e-01 4
4 5.825863272203785073e+02 1.401034372623065072e-01 3
4 5.186629959262569400e+02 6.784822827360769137e-01 3
14 5.881808665339581239e+02 3.871984664607404647e-01 1
2 -3.438285067734327072e+00 3.582994650631175527e-05 0
0 -8.588606367180627785e+03 6.193497035223887170e-01 0
5 5.821857520097025827e+02 4.735080767375720590e-01 3
