# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33431 33431 12259 33355
-1.000865260856201644e+00 -2.812185198223436237e+04 5.692496470042297529e-01 27817 33402 15843 44605
-2.033620256017508510e+00 -1.820249514913544408e+04 2.924568747828253379e-01 24972 33341 17442 48082
-3.046775812406467665e+00 -1.520082229134833324e+04 6.675619465043510781e-01 22303 33358 17760 49797
-4.075903320527025642e+00 -1.364695838716102480e+04 7.322768517263826826e-01 20476 33354 21336 50091
-4.937476162126460011e+00 -1.285248546273541251e+04 9.758694762233631748e-01 19025 33366 21558 53150
-5.845083877773403103e+00 -1.231802622288360726e+04 7.989958252159119478e-01 17931 33456 24081 53771
-6.658361211020778825e+00 -1.200541183744438058e+04 8.093293277594948432e-01 16990 33508 20292 56229
-7.676535248865744343e+00 -1.174773880807598471e+04 4.696777766903109663e-01 15897 33621 20491 52922
-8.628184777956493079e+00 -1.160498146922837805e+04 1.126792437663394764e-01 14824 33608 17878 53007
-9.709942901411542593e+00 -1.151196466000131659e+04 3.634200736519263009e-01 13851 33632 17402 50444
-1.077031316889591039e+01 -1.145620950794917007e+04 2.862149561714733004e-01 13076 33449 17750 49813
-1.180027134245078635e+01 -1.142305428058729012e+04 1.405869639316484621e-01 12051 33385 17232 50046
-1.286238845100089456e+01 -1.140318006999404133e+04 7.607021108368426932e-01 11243 33400 21825 49640
-1.369395496547076085e+01 -1.139348879655218843e+04 7.839120525128863148e-01 10695 33421 28049 54466
-1.437337590489190831e+01 -1.138794758454635303e+04 4.895226691989166823e-01 10312 33499 25455 59967
-1.523695965735611502e+01 -1.138311666772454919e+04 3.693229315527890577e-01 9752 33311 24380 57507
-1.610202001802860394e+01 -1.137985129321882050e+04 6.368252526406851244e-01 9164 33191 21296 56423
-1.707772200361064918e+01 -1.137756237173199406e+04 4.979324875960252084e-01 8589 33139 27748 53756
-1.775510337244267944e+01 -1.137659030607201930e+04 9.689186474451573217e-01 8277 33123 22858 59551
-1.871473391291426935e+01 -1.137561031032228129e+04 5.908805248266866261e-01 7614 32705 13733 54438
-2.006714799805578053e+01 -1.137483730202024708e+04 5.971078057117358284e-01 7021 32624 14559 46019
-2.120757942880548086e+01 -1.137450605274921327e+04 2.216446697485405792e-01 6615 32531 18078 46538
-2.215652874030032393e+01 -1.137434368877226734e+04 6.571896597945170448e-01 6164 32428 20048 49945
-2.307430650222881496e+01 -1.137424483020320258e+04 4.293759208930115201e-01 5804 32443 20009 51884
-2.402978505781857521e+01 -1.137418379763232224e+04 3.168551496078122476e-01 5703 32493 28252 51938
-2.465742204360945067e+01 -1.137415401920067598e+04 6.164931984949324484e-01 5538 32317 20041 59988
-2.574873397629019323e+01 -1.137412471301922415e+04 1.332787997330129037e-01 4931 31987 19314 51427
-2.672925260236126732e+01 -1.137410864114969263e+04 5.320652606816551611e-01 4874 31985 19940 50710
-2.766643712832402713e+01 -1.137409810852136252e+04 7.558012888953571373e-01 4614 31941 0 0
