# level_assignment log_likelihood tiebreaker ID
0 -2.046856705244620389e+04 4.617489682452907696e-01 0
0 -2.409099906255729366e+04 1.718765092993089216e-01 4
0 -2.039129359709970231e+04 6.604225873313185335e-02 2
2 -1.235672777239095922e+04 3.019434001981848303e-01 1
0 -4.949687466580673936e+04 3.678438578341151066e-01 4
0 -3.870950527997956669e+04 3.731482502717858862e-01 0
2 -1.348357319629541598e+04 9.013519187230983887e-01 0
5 -1.239046410207324516e+04 9.810895455815863420e-01 2
4 -1.202271720361148800e+04 9.186720360235511862e-02 3
6 -1.228803646041030152e+04 8.331957706691957011e-01 0
2 -1.766680724710873619e+04 7.528979421960120266e-01 0
3 -1.507696385191972149e+04 7.250657838652484199e-02 2
7 -1.151446336173884811e+04 9.809908884922373673e-01 3
8 -1.160027297827540679e+04 7.062159616733370004e-01 3
9 -1.151742886209277276e+04 7.241193889803129169e-01 1
7 -1.147166488197249600e+04 5.784598748758771336e-01 1
9 -1.147734039583168305e+04 8.694756725098429229e-01 1
1 -1.661198097303340910e+04 6.212551782827376856e-01 0
10 -1.146297989067965500e+04 2.914422366666640993e-02 1
2 -1.513632376820841091e+04 4.151608211110096036e-01 3
7 -1.194042350717711088e+04 1.425290663336993280e-01 4
7 -1.185280102367817017e+04 8.319357574711706560e-01 4
12 -1.142109070384489314e+04 6.379221016093840069e-01 0
8 -1.173440206221776498e+04 4.723657030821559744e-01 1
12 -1.139779440655616418e+04 6.876453720568446171e-01 1
13 -1.140181776760649518e+04 5.509059028198495245e-01 2
3 -1.451046723051096160e+04 2.124203143600136567e-01 4
11 -1.145350525981630017e+04 8.477933488674316287e-01 0
9 -1.152446546706018125e+04 1.669365138058528097e-01 1
11 -1.144077991348399519e+04 7.638296549228996701e-01 0
9 -1.146015574446361825e+04 7.193110091594354660e-01 2
3 -1.416141759366591214e+04 9.557600872739895337e-01 4
10 -1.139912470837044748e+04 7.877282155023779264e-01 2
7 -1.181951467116526146e+04 2.883855675499261695e-01 4
15 -1.138029290955304896e+04 8.135599081676576638e-01 3
4 -1.276890378935843910e+04 7.386710855997034031e-01 0
16 -1.138135620080105946e+04 7.684544697773025845e-01 3
16 -1.138004269940480845e+04 1.167924773522440661e-04 2
6 -1.169284482954901614e+04 1.833985114472667932e-01 0
1 -1.921646177712393546e+04 9.595857911531842088e-01 0
1 -2.720741118810042826e+04 7.370893483227211052e-01 3
14 -1.139190544655042140e+04 6.881701517346691110e-01 1
8 -1.173652297928505868e+04 8.320306065543323637e-01 1
15 -1.138336791898710544e+04 2.986905451426492553e-01 2
5 -1.251534512640093089e+04 9.910815364157199436e-01 0
13 -1.139833340227972985e+04 2.451623763757433405e-01 1
16 -1.138246266440342879e+04 7.977964967898846238e-01 1
14 -1.138422139087310279e+04 3.487984449993287162e-01 4
18 -1.137607941844806192e+04 3.914655810988074691e-01 1
16 -1.138270666290709050e+04 3.558160712001345871e-01 0
10 -1.147586963027632555e+04 9.455311473428509306e-01 2
20 -1.137530819916235851e+04 2.775180705601351661e-01 4
20 -1.137543845758395219e+04 7.683943236247900987e-01 1
12 -1.141416924360140001e+04 6.992209938737417030e-01 0
9 -1.152349148088947186e+04 3.785186438416143773e-02 0
6 -1.186373465221107654e+04 1.197829176836018306e-02 0
19 -1.137596056592064269e+04 6.485225711322203379e-01 3
10 -1.146830400795746027e+04 6.594336064530923469e-01 0
14 -1.139293284192047940e+04 6.151420602469737098e-01 4
19 -1.137577419831448424e+04 7.262192517940934122e-01 3
17 -1.137913376760237225e+04 3.172287026102444951e-01 4
15 -1.138353211175469914e+04 6.147662672421733143e-01 3
10 -1.149853646189991923e+04 9.929484874874024980e-01 0
14 -1.138173128369322694e+04 5.299131561897558740e-01 3
20 -1.137479925758622812e+04 9.246471896018055858e-01 0
21 -1.137473628825660489e+04 9.328156359557029376e-01 1
5 -1.266102051405143720e+04 7.793079877073161299e-01 3
17 -1.137720877556964842e+04 9.499863561307151372e-01 4
8 -1.165937041169868826e+04 6.444774809964369522e-02 2
20 -1.137514718635304234e+04 8.642581808039113966e-02 1
17 -1.137905147210311407e+04 2.824088028878422030e-01 4
8 -1.170222414844355080e+04 9.053743408863210718e-01 2
16 -1.138265942410526259e+04 4.636916495655254433e-01 3
13 -1.138162011585118307e+04 5.879881119349974483e-01 2
11 -1.144289162254674739e+04 3.247827765469395445e-01 2
17 -1.137529811797579532e+04 9.744807215090739438e-02 3
14 -1.139110169373276949e+04 7.885102802691176249e-01 2
25 -1.137409377405282612e+04 8.306731796330482087e-01 4
26 -1.137409809879225577e+04 5.456669333400721023e-01 1
24 -1.137423190939356937e+04 5.925316668716049673e-01 0
27 -1.137412028616955649e+04 2.581022595183730672e-01 3
22 -1.137441327444024682e+04 3.978304704457120700e-01 1
26 -1.137412590298898067e+04 4.799978046980897806e-01 0
20 -1.137528356945846099e+04 4.242596765641698520e-02 1
24 -1.137420391975902749e+04 5.670507028173116248e-01 2
14 -1.139223505303177444e+04 2.897562537599622789e-01 1
28 -1.137410093163745842e+04 3.557750657920797505e-02 3
13 -1.139737026844538013e+04 6.824628816472482207e-01 1
28 -1.137410545060395998e+04 6.985670186395898096e-01 4
25 -1.137417610021391738e+04 2.671617501680433882e-01 2
29 -1.137409673547783132e+04 5.491402239393077256e-01 3
27 -1.137409650180892822e+04 3.697382957094073053e-01 4
28 -1.137410686712934876e+04 3.764497361085324956e-01 3
7 -1.153918083166790893e+04 9.815054945859289504e-01 1
25 -1.137414402268462436e+04 2.835555117413299797e-01 3
22 -1.137432453905918192e+04 9.754477700434522891e-01 0
28 -1.137410691108705032e+04 6.301674883836370089e-01 4
3 -1.373355978304584642e+04 6.809742176468465136e-01 1
25 -1.137417910289773863e+04 6.334399961425889458e-01 0
10 -1.150342017660564670e+04 5.237596906174672995e-01 1
29 -1.137409500713431044e+04 9.964133478475645234e-01 2
0 -6.853819395997998072e+04 4.610529346810632867e-01 1
26 -1.137409905498589978e+04 3.022824707599822691e-01 2
22 -1.137443571916540532e+04 2.773325719157790914e-01 1
24 -1.137412430738960757e+04 4.914301470547666195e-01 2
23 -1.137432982207126406e+04 4.955567738809630307e-01 0
27 -1.137412150316986481e+04 6.081224167644283529e-01 1
19 -1.137523757015628689e+04 4.072152829606157098e-01 4
14 -1.137855332847270074e+04 1.870738259907427370e-01 0
19 -1.137468559607841962e+04 8.526999690143641231e-02 3
18 -1.137711900093039003e+04 3.124402392171143905e-01 0
28 -1.137410812068475934e+04 1.287166617984525641e-01 1
19 -1.137586846632214292e+04 4.813049670522298595e-01 2
16 -1.138165752799897382e+04 5.442907312304408052e-01 2
17 -1.137748937201697845e+04 7.771189098674088358e-01 2
26 -1.137413751933632739e+04 6.943197203117149607e-01 1
9 -1.152871631895404789e+04 6.633600234537944118e-01 3
27 -1.137411029359164240e+04 4.616483208558230245e-01 1
2 -1.681991746463051823e+04 2.622295226901352194e-01 3
4 -1.218308887791591224e+04 6.829048316835524268e-01 4
14 -1.138838178600496394e+04 5.849103387764634787e-01 4
29 -1.137408901621318546e+04 9.206107697484841035e-01 1
10 -1.139811045987621037e+04 8.507172247955061550e-01 4
12 -1.140093742993993692e+04 4.197231461186849977e-01 4
25 -1.137417143426358962e+04 7.971629362271730468e-01 2
29 -1.137409758402226362e+04 3.269102796855508641e-01 1
16 -1.138304679172391843e+04 8.478081063960922759e-01 2
10 -1.150082127292880614e+04 5.517258181948081486e-02 4
3 -1.489439675775217802e+04 5.249653377203770122e-01 3
1 -1.400397040858572655e+04 7.476278473921718071e-01 4
14 -1.139254365030443660e+04 4.205912539949563378e-01 2
28 -1.137410690740736027e+04 3.283346159071998116e-04 0
25 -1.137412434917532482e+04 1.851030414576597671e-01 0
0 -2.797502005883606034e+04 2.465599613760013631e-01 4
16 -1.137728961055299260e+04 3.953156173680185681e-01 1
8 -1.152868311577525492e+04 5.745419142071558349e-01 2
0 -6.302127521077090933e+04 9.525990232413944492e-01 1
3 -1.350284414804156040e+04 3.213938731581804376e-02 1
19 -1.137426255517390382e+04 7.697501141071246833e-01 0
6 -1.183850752947048750e+04 8.725488364581686085e-01 1
0 -2.276127888456985238e+04 2.899946200156513498e-01 3
3 -1.396376744382471588e+04 5.461457728428880110e-01 3
14 -1.138532895538398770e+04 1.923629832341526014e-01 1
1 -2.105706580023467541e+04 7.883782149904061676e-01 3
25 -1.137413248062247840e+04 8.654363078413062071e-01 0
13 -1.139082066103683610e+04 2.256865665698315482e-01 1
16 -1.138180402361358574e+04 3.176401026407824069e-01 1
6 -1.187181441731767700e+04 9.278155972611016322e-01 1
8 -1.145832980649979800e+04 6.409859383492181317e-01 3
2 -1.490400028893113631e+04 8.779444366204627315e-01 1
21 -1.137460958545455105e+04 8.475945283402133157e-01 4
15 -1.137994270524133390e+04 8.154656512217277609e-01 2
29 -1.137409744425342797e+04 9.639180900383474970e-01 0
28 -1.137410312155688916e+04 8.211670886788802193e-01 4
28 -1.137410110842705217e+04 9.211363476386360549e-01 0
11 -1.143282501061068615e+04 1.881601545312284185e-01 1
14 -1.139266521158179603e+04 4.865732331219163598e-01 1
23 -1.137434174626621825e+04 6.841264621832102710e-01 4
10 -1.141163372098990294e+04 5.784324365565183257e-01 1
26 -1.137412164569635206e+04 6.283674572061900276e-01 4
13 -1.139285528990095554e+04 2.768808893873950794e-01 1
9 -1.157882410507689929e+04 9.055423639274493564e-01 1
10 -1.151011484159267638e+04 6.408652704367362452e-01 3
1 -1.578641556388540448e+04 6.157872738524585721e-01 1
24 -1.137422270390030826e+04 8.476136005745740221e-01 4
0 -6.419710038866323885e+04 5.580089537375616526e-01 1
3 -1.353032769410046058e+04 8.007044346344575070e-01 1
9 -1.158057299392298228e+04 8.007863133186625682e-01 3
22 -1.137450447367285233e+04 8.167786348179850719e-01 2
10 -1.141668408632509636e+04 8.150491001395974155e-01 0
15 -1.138740178921242114e+04 4.151526392518172792e-01 0
10 -1.145664314706096957e+04 6.288047453868512715e-01 3
28 -1.137410402127361522e+04 1.565109417219768054e-02 4
26 -1.137410531878436086e+04 4.470367784487316865e-01 4
16 -1.137763096568771289e+04 9.579184665192730375e-01 2
7 -1.195187052942065202e+04 9.384797577268508828e-01 1
11 -1.142364311949697912e+04 4.856929154769381585e-01 0
16 -1.138079135889630197e+04 3.479711367327370519e-01 0
0 -1.863940841271991667e+04 8.717867075726093429e-01 2
3 -1.465091648792959859e+04 4.025717226697000939e-02 1
26 -1.137411192077704618e+04 7.355445160873950172e-01 3
16 -1.138305118994290024e+04 4.164602803052615543e-01 4
14 -1.138982107162844477e+04 6.040038373515684844e-01 4
29 -1.137409160624189099e+04 5.175999163812485815e-01 3
29 -1.137409695008559720e+04 1.067399272531668331e-01 3
20 -1.137532653435338216e+04 4.382621898637841795e-01 2
21 -1.137467067250151013e+04 6.879860205663184125e-01 0
14 -1.137993030867998823e+04 9.571007676404739151e-01 1
22 -1.137449646706864405e+04 2.564998295868872180e-01 0
1 -2.700270837788671633e+04 4.296600115920270468e-01 4
29 -1.137409247076590691e+04 2.764311359817988034e-01 3
5 -1.228626620694439407e+04 5.018055942928931756e-01 4
24 -1.137417794599846638e+04 9.750223031519869021e-01 0
24 -1.137423654753468145e+04 9.164945141741692725e-01 1
4 -1.318725255320449287e+04 3.032922544662569608e-01 4
20 -1.137518092878175412e+04 2.630734206049856749e-01 3
17 -1.137844297411586740e+04 3.716195409132736494e-01 3
8 -1.143120354293822675e+04 7.987293842878245842e-01 0
10 -1.146423730492482900e+04 9.069186411050682572e-01 0
13 -1.138692575769133146e+04 6.430981243857446517e-01 1
8 -1.161230454542882217e+04 4.336318325381585126e-01 3
20 -1.137506564011221781e+04 1.076079430524069930e-01 3
13 -1.138268063507260013e+04 7.415763248717560652e-02 3
18 -1.137592575010691144e+04 7.546518671422876023e-01 1
10 -1.146145325688419689e+04 7.631314724316453635e-01 2
24 -1.137424251262191683e+04 4.637760549383688202e-01 1
9 -1.149609013757910725e+04 3.282029337858674012e-01 3
4 -1.238966185347105420e+04 1.371814481380262407e-01 2
0 -2.882714501885961727e+04 9.359318856416010135e-02 4
23 -1.137428643115426530e+04 9.020359910750475052e-02 1
7 -1.152719422607084198e+04 2.778090443335397564e-01 3
